Email address,State,Started on,Completed,Time taken,Grade/100.00,Q. 1 /6.67,Q. 2 /6.67,Q. 3 /6.67,Q. 4 /6.67,Q. 5 /6.67,Q. 6 /6.67,Q. 7 /6.67,Q. 8 /6.67,Q. 9 /6.67,Q. 10 /6.67,Q. 11 /6.67,Q. 12 /6.67,Q. 13 /6.67,Q. 14 /6.67,Q. 15 /6.67
0,Finished,9 November 2020  1:02 PM,9 November 2020  1:47 PM,45 mins,21.67,-,-1.67,6.67,6.67,-1.67,-1.67,-,-,6.67,0.00,6.67,0.00,0.00,-,-
1,Finished,9 November 2020  1:08 PM,9 November 2020  1:44 PM,36 mins 44 secs,32.5,-1.67,6.67,6.67,3.33,6.67,-1.67,6.67,-0.83,6.67,0.00,0.00,0.00,0.00,0.00,0.00
2,Finished,9 November 2020  1:09 PM,9 November 2020  1:46 PM,37 mins 26 secs,41.39,-1.67,6.67,6.67,6.67,6.67,6.67,-1.11,-0.83,-1.67,6.67,0.00,0.00,0.00,0.00,6.67
3,Finished,9 November 2020  1:11 PM,9 November 2020  1:58 PM,46 mins 20 secs,9.72,-1.67,6.67,-1.67,3.33,-,6.67,-1.11,-0.83,-1.67,-,0.00,0.00,0.00,-,0.00
4,Finished,9 November 2020  1:14 PM,9 November 2020  1:59 PM,45 mins,35.0,-,6.67,6.67,3.33,6.67,-1.67,-,6.67,6.67,0.00,-,0.00,0.00,-,-
5,Finished,9 November 2020  1:15 PM,9 November 2020  2:00 PM,45 mins,41.39,6.67,6.67,-1.67,6.67,-1.67,6.67,-1.11,-0.83,6.67,6.67,6.67,0.00,0.00,0.00,0.00
6,Finished,9 November 2020  1:15 PM,9 November 2020  1:47 PM,31 mins 37 secs,15.06,-1.67,6.67,6.67,2.00,6.67,-1.67,-1.11,-0.83,-1.67,0.00,0.00,0.00,0.00,0.00,0.00
7,Finished,9 November 2020  1:15 PM,9 November 2020  2:00 PM,45 mins,37.22,-,6.67,6.67,6.67,-1.67,-,-1.11,6.67,6.67,-,0.00,6.67,-,0.00,0.00
8,Finished,9 November 2020  1:15 PM,9 November 2020  2:00 PM,45 mins 1 sec,29.72,6.67,6.67,-1.67,3.33,-1.67,6.67,-1.11,-0.83,-1.67,0.00,6.67,0.00,0.00,0.00,6.67
9,Finished,9 November 2020  1:16 PM,9 November 2020  1:47 PM,30 mins 53 secs,13.39,-1.67,6.67,-1.67,2.00,6.67,-1.67,-1.11,-0.83,-1.67,0.00,0.00,0.00,0.00,0.00,6.67
10,Finished,9 November 2020  1:16 PM,9 November 2020  2:01 PM,44 mins 13 secs,30.83,6.67,-1.67,6.67,3.33,-1.67,6.67,6.67,-0.83,-1.67,0.00,0.00,0.00,0.00,0.00,6.67
11,Finished,9 November 2020  1:16 PM,9 November 2020  2:01 PM,45 mins,53.06,-1.67,6.67,6.67,3.33,6.67,6.67,-1.11,-0.83,6.67,6.67,6.67,0.00,0.00,0.00,6.67
12,Finished,9 November 2020  1:17 PM,9 November 2020  2:01 PM,43 mins 44 secs,24.72,-1.67,6.67,-1.67,3.33,6.67,6.67,-1.11,-0.83,6.67,0.00,0.00,0.00,0.00,0.00,0.00
13,Finished,9 November 2020  1:17 PM,9 November 2020  2:02 PM,45 mins 1 sec,6.17,-1.67,-1.67,-1.67,2.00,-1.67,-1.67,6.67,-0.83,6.67,0.00,-,-,-,0.00,-
