Email address,State,Started on,Completed,Time taken,Grade/100.00,Q. 1 /6.67,Q. 2 /6.67,Q. 3 /6.67,Q. 4 /6.67,Q. 5 /6.67,Q. 6 /6.67,Q. 7 /6.67,Q. 8 /6.67,Q. 9 /6.67,Q. 10 /6.67,Q. 11 /6.67,Q. 12 /6.67,Q. 13 /6.67,Q. 14 /6.67,Q. 15 /6.67
22,Finished,8 November 2020  7:47 AM,8 November 2020  8:32 AM,44 mins 59 secs,24.22,6.67,-1.67,6.67,6.67,2.22,-1.67,-1.67,6.67,0.00,0.00,-1.33,-1.67,-1.67,-1.67,6.67
1,Finished,8 November 2020  9:05 AM,8 November 2020  9:27 AM,21 mins 56 secs,14.22,-1.67,-1.67,-1.33,0.00,2.22,-1.67,-1.67,-1.67,0.00,0.00,6.67,6.67,6.67,-1.67,3.33
87,Finished,8 November 2020  9:19 AM,8 November 2020  10:04 AM,45 mins,63.33,6.67,6.67,6.67,0.00,6.67,6.67,6.67,6.67,0.00,6.67,-,6.67,-1.67,-1.67,6.67
42,Finished,8 November 2020  11:02 AM,8 November 2020  11:47 AM,44 mins 32 secs,22.33,6.67,-1.67,-1.33,0.00,6.67,-1.67,6.67,-1.67,0.00,0.00,-1.33,6.67,-1.67,-1.67,6.67
282,Finished,8 November 2020  11:18 AM,8 November 2020  12:05 PM,46 mins 25 secs,28.67,-,-,6.67,-,-,6.67,6.67,6.67,-,-,-1.33,-,-,-,3.33
74,Finished,8 November 2020  11:19 AM,8 November 2020  12:04 PM,45 mins 1 sec,42.56,6.67,6.67,-1.33,0.00,2.22,6.67,6.67,6.67,-,0.00,6.67,-1.67,-1.67,-1.67,6.67
21,Finished,8 November 2020  11:26 AM,8 November 2020  12:11 PM,45 mins,68.67,6.67,-1.67,-1.33,6.67,6.67,6.67,6.67,6.67,0.00,6.67,6.67,6.67,-1.67,6.67,6.67
70,Finished,8 November 2020  12:23 PM,8 November 2020  1:03 PM,40 mins 18 secs,68.67,-1.67,-1.67,-1.33,6.67,0.00,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67
73,Finished,8 November 2020  12:28 PM,8 November 2020  1:13 PM,45 mins,58.67,6.67,-,-1.33,0.00,6.67,-,6.67,-,6.67,6.67,6.67,-,6.67,6.67,6.67
95,Finished,8 November 2020  12:39 PM,8 November 2020  1:26 PM,46 mins 35 secs,-1.33,-,-,-,-,-,-,-,-,-,-,-1.33,-,-,-,-
14,Finished,8 November 2020  12:44 PM,8 November 2020  1:27 PM,42 mins 30 secs,22.0,-1.67,6.67,-1.33,0.00,0.00,-1.67,-1.67,6.67,0.00,6.67,6.67,-1.67,-1.67,-1.67,6.67
73,Finished,8 November 2020  1:15 PM,8 November 2020  2:00 PM,45 mins 1 sec,78.67,6.67,6.67,-1.33,0.00,6.67,6.67,6.67,-,6.67,6.67,6.67,6.67,6.67,6.67,6.67
44,Finished,8 November 2020  1:18 PM,8 November 2020  2:03 PM,45 mins,45.33,6.67,-1.67,6.67,-,6.67,-,6.67,-,6.67,6.67,-1.33,-,-,6.67,1.67
14,Finished,8 November 2020  1:27 PM,8 November 2020  2:12 PM,44 mins 24 secs,38.67,-1.67,6.67,-1.33,0.00,0.00,-1.67,6.67,6.67,0.00,6.67,6.67,-1.67,6.67,-1.67,6.67
37,Finished,8 November 2020  1:45 PM,8 November 2020  2:29 PM,43 mins 28 secs,30.67,-1.67,6.67,-1.33,0.00,0.00,6.67,6.67,-1.67,0.00,0.00,-1.33,6.67,-1.67,6.67,5.00
73,Finished,8 November 2020  2:00 PM,8 November 2020  2:09 PM,9 mins 15 secs,77.0,6.67,6.67,-1.33,0.00,6.67,-1.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67
19,Finished,8 November 2020  2:01 PM,8 November 2020  2:46 PM,45 mins 1 sec,19.78,-,-,-1.33,0.00,4.44,-,-,6.67,6.67,6.67,-,-,-1.67,-1.67,-
32,Finished,8 November 2020  2:11 PM,8 November 2020  2:56 PM,45 mins,32.0,-1.67,-1.67,-1.33,-,6.67,-,6.67,6.67,0.00,0.00,6.67,-1.67,-1.67,6.67,6.67
23,Finished,8 November 2020  2:22 PM,8 November 2020  3:07 PM,45 mins,33.67,6.67,6.67,-,0.00,0.00,6.67,-1.67,6.67,0.00,0.00,-1.33,6.67,-1.67,-1.67,6.67
61,Finished,8 November 2020  2:46 PM,8 November 2020  3:21 PM,34 mins 57 secs,42.33,-1.67,6.67,-1.33,0.00,6.67,6.67,6.67,6.67,0.00,0.00,-1.33,6.67,6.67,-1.67,1.67
19,Finished,8 November 2020  2:47 PM,8 November 2020  3:26 PM,39 mins 1 sec,64.78,6.67,6.67,-1.33,0.00,4.44,6.67,6.67,6.67,6.67,6.67,6.67,6.67,-1.67,-1.67,5.00
11,Finished,8 November 2020  2:50 PM,8 November 2020  3:35 PM,45 mins,58.11,6.67,6.67,-1.33,0.00,4.44,-1.67,6.67,-1.67,6.67,6.67,6.67,-1.67,6.67,6.67,6.67
283,Finished,8 November 2020  2:51 PM,8 November 2020  3:13 PM,22 mins 3 secs,12.0,6.67,-1.67,6.67,0.00,0.00,6.67,-1.67,-1.67,0.00,0.00,-1.33,-1.67,-1.67,-1.67,3.33
95,Finished,8 November 2020  3:16 PM,8 November 2020  3:56 PM,40 mins 39 secs,22.0,-1.67,-1.67,-1.33,0.00,0.00,6.67,-1.67,-1.67,0.00,6.67,6.67,-1.67,-1.67,6.67,6.67
41,Finished,8 November 2020  3:20 PM,8 November 2020  3:28 PM,7 mins 48 secs,17.56,6.67,-1.67,-1.33,0.00,2.22,-1.67,6.67,-1.67,0.00,0.00,6.67,-1.67,-1.67,-1.67,6.67
28,Finished,8 November 2020  3:22 PM,8 November 2020  3:55 PM,33 mins 31 secs,-2.11,-1.67,-1.67,-1.33,0.00,2.22,6.67,-1.67,-1.67,0.00,0.00,-1.33,-1.67,-1.67,-1.67,3.33
91,Finished,8 November 2020  3:23 PM,8 November 2020  4:08 PM,45 mins 3 secs,21.67,6.67,6.67,-,-,0.00,-,-1.67,-,0.00,-,-,-1.67,-1.67,6.67,6.67
284,Finished,8 November 2020  3:43 PM,8 November 2020  4:28 PM,44 mins 28 secs,33.44,6.67,6.67,-1.33,0.00,4.44,-1.67,6.67,6.67,6.67,0.00,-1.33,-1.67,-1.67,-1.67,5.00
33,Finished,8 November 2020  4:05 PM,8 November 2020  4:48 PM,42 mins 57 secs,25.33,6.67,6.67,-1.33,0.00,0.00,-1.67,6.67,6.67,0.00,0.00,6.67,-1.67,-1.67,-1.67,0.00
72,Finished,8 November 2020  4:05 PM,8 November 2020  4:35 PM,29 mins 46 secs,10.33,-1.67,-,-1.33,-,0.00,6.67,-1.67,-1.67,-,-,-,-1.67,-1.67,6.67,6.67
91,Finished,8 November 2020  4:09 PM,8 November 2020  4:54 PM,45 mins 1 sec,65.0,6.67,6.67,-,0.00,6.67,6.67,6.67,6.67,0.00,6.67,-,6.67,-1.67,6.67,6.67
285,Finished,8 November 2020  4:17 PM,8 November 2020  5:02 PM,44 mins 58 secs,10.89,6.67,-,-1.33,-,2.22,-,-1.67,-,0.00,0.00,-,-,-,-1.67,6.67
9,Finished,8 November 2020  4:17 PM,8 November 2020  5:02 PM,45 mins 1 sec,-5.0,-,-,-,-,-,-,-1.67,-,-,0.00,-,-1.67,-1.67,-1.67,1.67
56,Finished,8 November 2020  4:33 PM,8 November 2020  5:18 PM,45 mins 1 sec,57.0,6.67,6.67,-1.33,-,0.00,-,-1.67,6.67,-,6.67,6.67,6.67,6.67,6.67,6.67
60,Finished,8 November 2020  4:35 PM,8 November 2020  5:12 PM,36 mins 57 secs,48.67,6.67,-1.67,6.67,0.00,0.00,6.67,6.67,6.67,0.00,0.00,-1.33,-1.67,6.67,6.67,6.67
286,Finished,8 November 2020  4:36 PM,8 November 2020  5:21 PM,45 mins 1 sec,35.33,6.67,-1.67,-1.33,0.00,0.00,6.67,6.67,6.67,0.00,0.00,6.67,-1.67,-1.67,6.67,1.67
48,Finished,8 November 2020  4:40 PM,8 November 2020  5:25 PM,44 mins 55 secs,76.67,6.67,-1.67,6.67,6.67,6.67,6.67,6.67,6.67,0.00,6.67,6.67,6.67,-1.67,6.67,6.67
25,Finished,8 November 2020  4:47 PM,8 November 2020  5:32 PM,44 mins 34 secs,30.33,6.67,6.67,-1.33,-,6.67,6.67,-1.67,-1.67,0.00,-,6.67,-1.67,-1.67,-1.67,6.67
50,Finished,8 November 2020  4:52 PM,8 November 2020  5:34 PM,42 mins 15 secs,12.33,6.67,-1.67,-1.33,0.00,0.00,-1.67,-1.67,-1.67,0.00,0.00,-1.33,-1.67,6.67,6.67,3.33
29,Finished,8 November 2020  4:59 PM,8 November 2020  5:36 PM,37 mins 14 secs,76.11,6.67,6.67,6.67,0.00,4.44,6.67,-1.67,6.67,0.00,6.67,6.67,6.67,6.67,6.67,6.67
