Email address,State,Started on,Completed,Time taken,Grade/100.00,Q. 1 /12.50,Q. 2 /12.50,Q. 3 /12.50,Q. 4 /12.50,Q. 5 /12.50,Q. 6 /12.50,Q. 7 /12.50,Q. 8 /12.50
5,Finished,9 November 2020  1:00 PM,9 November 2020  1:15 PM,15 mins 1 sec,42.71,-4.17,-,12.50,-3.13,12.50,12.50,-,12.50
9,Finished,9 November 2020  1:00 PM,9 November 2020  1:15 PM,14 mins 44 secs,11.46,-4.17,12.50,-3.13,-3.13,0.00,-3.13,0.00,12.50
21,Finished,9 November 2020  1:01 PM,9 November 2020  1:16 PM,15 mins,84.38,12.50,12.50,12.50,-3.13,12.50,12.50,12.50,12.50
11,Finished,9 November 2020  1:01 PM,9 November 2020  1:16 PM,15 mins,71.88,12.50,-3.13,12.50,12.50,12.50,12.50,0.00,12.50
55,Finished,9 November 2020  1:01 PM,9 November 2020  1:16 PM,14 mins 46 secs,71.88,12.50,12.50,12.50,12.50,0.00,-3.13,12.50,12.50
13,Finished,9 November 2020  1:01 PM,9 November 2020  1:16 PM,15 mins 1 sec,5.21,-4.17,-,-,-3.13,-,12.50,0.00,-
28,Finished,9 November 2020  1:01 PM,9 November 2020  1:11 PM,9 mins 45 secs,31.25,-4.17,-3.13,12.50,-3.13,12.50,12.50,0.00,4.17
10,Finished,9 November 2020  1:01 PM,9 November 2020  1:16 PM,15 mins 1 sec,34.38,12.50,12.50,-,-3.13,-,12.50,-,-
3,Finished,9 November 2020  1:02 PM,9 November 2020  1:10 PM,8 mins 22 secs,43.75,12.50,12.50,12.50,-3.13,0.00,-3.13,0.00,12.50
12,Finished,9 November 2020  1:02 PM,9 November 2020  1:17 PM,15 mins 1 sec,46.88,-,-3.13,12.50,-,-,12.50,12.50,12.50
15,Finished,9 November 2020  1:02 PM,9 November 2020  1:17 PM,15 mins 1 sec,52.08,-4.17,-3.13,12.50,-3.13,12.50,12.50,12.50,12.50
