Email address,State,Started on,Completed,Time taken,Grade/100.00,Q. 1 /6.67,Q. 2 /6.67,Q. 3 /6.67,Q. 4 /6.67,Q. 5 /6.67,Q. 6 /6.67,Q. 7 /6.67,Q. 8 /6.67,Q. 9 /6.67,Q. 10 /6.67,Q. 11 /6.67,Q. 12 /6.67,Q. 13 /6.67,Q. 14 /6.67,Q. 15 /6.67
119,Finished,9 November 2020  1:01 PM,9 November 2020  1:46 PM,45 mins,19.17,-1.67,-1.67,-,6.67,-1.67,6.67,6.67,-0.83,-1.67,6.67,0.00,-,0.00,0.00,-
288,Finished,9 November 2020  1:01 PM,9 November 2020  1:46 PM,44 mins 46 secs,46.39,-1.67,6.67,-1.67,6.67,6.67,6.67,-1.11,-0.83,-1.67,6.67,6.67,6.67,0.00,0.00,6.67
2703,Finished,9 November 2020  1:02 PM,9 November 2020  1:44 PM,41 mins 41 secs,0.39,-1.67,-1.67,-1.67,4.00,-1.67,-1.67,-1.11,-0.83,6.67,0.00,0.00,0.00,0.00,0.00,0.00
5,Finished,9 November 2020  1:05 PM,9 November 2020  1:07 PM,1 min 48 secs,28.06,6.67,-1.67,-1.67,0.00,6.67,6.67,-1.11,-0.83,6.67,0.00,6.67,0.00,0.00,0.00,0.00
205,Finished,9 November 2020  1:05 PM,9 November 2020  1:52 PM,46 mins 6 secs,37.5,-1.67,6.67,6.67,0.00,6.67,6.67,6.67,-0.83,6.67,0.00,0.00,0.00,0.00,0.00,0.00
2694,Finished,9 November 2020  1:06 PM,9 November 2020  1:38 PM,32 mins 43 secs,11.39,-1.67,-1.67,6.67,0.00,6.67,-1.67,-1.11,-0.83,-1.67,0.00,0.00,6.67,0.00,0.00,0.00
289,Finished,9 November 2020  1:06 PM,9 November 2020  1:51 PM,44 mins 56 secs,28.39,-1.67,6.67,-1.67,2.00,6.67,6.67,-1.11,-0.83,-1.67,6.67,0.00,0.00,0.00,0.00,6.67
4049,Finished,9 November 2020  1:09 PM,9 November 2020  1:52 PM,42 mins 40 secs,23.06,-1.67,6.67,-1.67,3.33,6.67,6.67,-1.11,-0.83,-1.67,0.00,0.00,0.00,0.00,0.00,6.67
4050,Finished,9 November 2020  1:09 PM,9 November 2020  1:28 PM,19 mins 2 secs,12.5,6.67,-1.67,-1.67,0.00,6.67,-1.67,6.67,-0.83,-1.67,0.00,0.00,0.00,0.00,0.00,0.00
171,Finished,9 November 2020  1:09 PM,9 November 2020  1:49 PM,39 mins 35 secs,22.22,-1.67,6.67,-1.67,3.33,-1.67,-1.67,-1.11,6.67,6.67,0.00,0.00,6.67,0.00,0.00,0.00
