Email address,State,Started on,Completed,Time taken,Grade/100.00,Q. 1 /6.67,Q. 2 /6.67,Q. 3 /6.67,Q. 4 /6.67,Q. 5 /6.67,Q. 6 /6.67,Q. 7 /6.67,Q. 8 /6.67,Q. 9 /6.67,Q. 10 /6.67,Q. 11 /6.67,Q. 12 /6.67,Q. 13 /6.67,Q. 14 /6.67,Q. 15 /6.67
0,Finished,8 November 2020  7:38 AM,8 November 2020  8:25 AM,46 mins 28 secs,17.33,-1.67,6.67,-1.33,0.00,0.00,-1.67,-1.67,6.67,0.00,0.00,-1.33,0.00,-1.67,6.67,6.67
1,Finished,8 November 2020  7:58 AM,8 November 2020  8:32 AM,33 mins 55 secs,39.0,6.67,-1.67,-1.33,0.00,6.67,-1.67,6.67,-1.67,0.00,0.00,-1.33,6.67,6.67,6.67,6.67
2,Finished,8 November 2020  8:54 AM,8 November 2020  9:13 AM,18 mins 50 secs,3.33,-1.67,-1.67,6.67,0.00,0.00,-1.67,-1.67,-1.67,0.00,0.00,6.67,3.33,-1.67,-1.67,-1.67
3,Finished,8 November 2020  9:01 AM,8 November 2020  9:38 AM,37 mins 26 secs,12.33,6.67,6.67,-1.33,0.00,0.00,-1.67,-1.67,-1.67,0.00,0.00,-1.33,3.33,6.67,-1.67,-1.67
4,Finished,8 November 2020  9:07 AM,8 November 2020  9:51 AM,43 mins 51 secs,20.33,-1.67,6.67,6.67,0.00,0.00,-1.67,6.67,6.67,0.00,0.00,-1.33,3.33,-1.67,-1.67,-1.67
5,Finished,8 November 2020  9:09 AM,8 November 2020  9:47 AM,37 mins 48 secs,40.67,-1.67,-1.67,-1.33,0.00,6.67,6.67,6.67,6.67,6.67,6.67,-1.33,3.33,6.67,-1.67,-1.67
6,Finished,8 November 2020  9:12 AM,8 November 2020  9:57 AM,44 mins 44 secs,-12.67,-1.67,-1.67,-1.33,0.00,0.00,-1.67,-1.67,-1.67,0.00,0.00,-1.33,3.33,-1.67,-1.67,-1.67
7,Finished,8 November 2020  9:23 AM,8 November 2020  10:10 AM,46 mins 21 secs,5.33,-,-,-1.33,-,-,-,-,-,-,0.00,-,0.00,-,-,6.67
8,Finished,8 November 2020  9:34 AM,8 November 2020  10:17 AM,42 mins 56 secs,20.67,6.67,6.67,-1.33,0.00,0.00,-1.67,-1.67,-1.67,0.00,0.00,-1.33,3.33,-1.67,6.67,6.67
9,Finished,8 November 2020  9:35 AM,8 November 2020  10:20 AM,45 mins 2 secs,-1.0,-1.67,-1.67,-1.33,0.00,0.00,-1.67,-1.67,-1.67,0.00,0.00,-1.33,6.67,-1.67,-1.67,6.67
10,Finished,8 November 2020  9:38 AM,8 November 2020  10:23 AM,45 mins 2 secs,-2.44,-1.67,-1.67,-1.33,0.00,2.22,-1.67,-1.67,-1.67,0.00,0.00,6.67,3.33,-1.67,-1.67,-1.67
11,Finished,8 November 2020  9:39 AM,8 November 2020  10:24 AM,45 mins,44.78,6.67,6.67,-1.33,0.00,4.44,-1.67,6.67,-1.67,0.00,0.00,6.67,6.67,-1.67,6.67,6.67
12,Finished,8 November 2020  9:41 AM,8 November 2020  10:25 AM,43 mins 44 secs,35.33,6.67,-1.67,-1.33,0.00,6.67,-1.67,6.67,6.67,0.00,0.00,6.67,3.33,6.67,-1.67,-1.67
13,Finished,8 November 2020  9:44 AM,8 November 2020  9:53 AM,9 mins 46 secs,-4.33,-1.67,-1.67,-1.33,0.00,0.00,6.67,-1.67,-1.67,0.00,0.00,-1.33,3.33,-1.67,-1.67,-1.67
14,Finished,8 November 2020  9:47 AM,8 November 2020  10:25 AM,37 mins 11 secs,27.33,6.67,-1.67,-1.33,0.00,0.00,6.67,-1.67,6.67,0.00,6.67,-1.33,3.33,-1.67,-1.67,6.67
15,Finished,8 November 2020  9:48 AM,8 November 2020  10:33 AM,45 mins,62.0,6.67,6.67,-1.33,-,0.00,6.67,6.67,6.67,6.67,6.67,6.67,6.67,-1.67,-1.67,6.67
16,Finished,8 November 2020  10:00 AM,8 November 2020  10:45 AM,45 mins 1 sec,15.33,6.67,-1.67,-1.33,-,0.00,-,-1.67,-1.67,0.00,0.00,6.67,3.33,6.67,-,-1.67
17,Finished,8 November 2020  10:02 AM,8 November 2020  10:47 AM,44 mins 58 secs,34.56,6.67,6.67,-1.33,0.00,2.22,6.67,-1.67,6.67,0.00,0.00,-1.33,6.67,6.67,-1.67,-1.67
18,Finished,8 November 2020  10:04 AM,8 November 2020  10:23 AM,19 mins 17 secs,34.78,6.67,-1.67,-1.33,0.00,4.44,-1.67,6.67,-1.67,0.00,6.67,6.67,6.67,-1.67,-1.67,6.67
19,Finished,8 November 2020  10:10 AM,8 November 2020  10:55 AM,44 mins 55 secs,89.78,6.67,6.67,-1.33,6.67,4.44,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67
20,Finished,8 November 2020  10:10 AM,8 November 2020  10:53 AM,43 mins 1 sec,58.89,6.67,-1.67,6.67,0.00,2.22,6.67,6.67,6.67,0.00,0.00,6.67,6.67,6.67,-1.67,6.67
21,Finished,8 November 2020  10:13 AM,8 November 2020  10:57 AM,43 mins 22 secs,62.0,6.67,6.67,-1.33,0.00,6.67,6.67,6.67,6.67,0.00,6.67,6.67,6.67,6.67,-1.67,-1.67
22,Finished,8 November 2020  10:14 AM,8 November 2020  10:40 AM,26 mins,-6.0,-1.67,6.67,-1.33,0.00,0.00,-1.67,-1.67,-1.67,0.00,0.00,-1.33,1.67,-1.67,-1.67,-1.67
