Email address,State,Started on,Completed,Time taken,Grade/100.00,Q. 1 /12.50,Q. 2 /12.50,Q. 3 /12.50,Q. 4 /12.50,Q. 5 /12.50,Q. 6 /12.50,Q. 7 /12.50,Q. 8 /12.50
2396,Finished,9 November 2020  1:00 PM,9 November 2020  1:11 PM,11 mins 13 secs,10.42,-,-3.13,-,-3.13,-,-,12.50,4.17
80,Finished,9 November 2020  1:00 PM,9 November 2020  1:15 PM,14 mins 52 secs,31.25,-4.17,-3.13,12.50,-3.13,0.00,12.50,12.50,4.17
233,Finished,9 November 2020  1:01 PM,9 November 2020  1:15 PM,14 mins 48 secs,62.5,12.50,-,12.50,-,-,12.50,12.50,12.50
84,Finished,9 November 2020  1:01 PM,9 November 2020  1:15 PM,14 mins 43 secs,31.25,-4.17,-3.13,12.50,-3.13,12.50,12.50,0.00,4.17
105,Finished,9 November 2020  1:01 PM,9 November 2020  1:15 PM,14 mins 33 secs,39.58,12.50,-3.13,-3.13,12.50,0.00,12.50,0.00,8.33
2397,Finished,9 November 2020  1:01 PM,9 November 2020  1:12 PM,11 mins 20 secs,51.04,12.50,-3.13,12.50,12.50,0.00,12.50,0.00,4.17
42,Finished,9 November 2020  1:01 PM,9 November 2020  1:16 PM,15 mins,26.04,-,-,-,-3.13,-,12.50,12.50,4.17
68,Finished,9 November 2020  1:01 PM,9 November 2020  1:16 PM,15 mins,42.71,-4.17,-3.13,12.50,-,0.00,12.50,12.50,12.50
244,Finished,9 November 2020  1:01 PM,9 November 2020  1:14 PM,13 mins 30 secs,71.88,12.50,12.50,12.50,-3.13,0.00,12.50,12.50,12.50
140,Finished,9 November 2020  1:01 PM,9 November 2020  1:16 PM,15 mins,23.96,-4.17,-3.13,12.50,-3.13,0.00,-3.13,12.50,12.50
2398,Finished,9 November 2020  1:01 PM,9 November 2020  1:14 PM,13 mins 16 secs,31.25,-4.17,-3.13,12.50,-3.13,12.50,12.50,0.00,4.17
69,Finished,9 November 2020  1:01 PM,9 November 2020  1:16 PM,14 mins 59 secs,42.71,-4.17,-3.13,12.50,-,0.00,12.50,12.50,12.50
186,Finished,9 November 2020  1:01 PM,9 November 2020  1:16 PM,15 mins 1 sec,26.04,12.50,-,-,-3.13,-,12.50,0.00,4.17
2399,Finished,9 November 2020  1:01 PM,9 November 2020  1:16 PM,15 mins,56.25,12.50,-3.13,12.50,-3.13,-,12.50,12.50,12.50
106,Finished,9 November 2020  1:01 PM,9 November 2020  1:16 PM,15 mins,25.0,12.50,-,-,12.50,-,-,0.00,-
2400,Finished,9 November 2020  1:01 PM,9 November 2020  1:16 PM,15 mins 2 secs,38.54,-,-,12.50,-3.13,-,12.50,12.50,4.17
323,Finished,9 November 2020  1:01 PM,9 November 2020  1:16 PM,15 mins,68.75,12.50,-3.13,12.50,-3.13,12.50,12.50,12.50,12.50
102,Finished,9 November 2020  1:01 PM,9 November 2020  1:16 PM,15 mins,50.0,12.50,-,12.50,-,0.00,12.50,0.00,12.50
