Email address,State,Started on,Completed,Time taken,Grade/100.00,Q. 1 /6.67,Q. 2 /6.67,Q. 3 /6.67,Q. 4 /6.67,Q. 5 /6.67,Q. 6 /6.67,Q. 7 /6.67,Q. 8 /6.67,Q. 9 /6.67,Q. 10 /6.67,Q. 11 /6.67,Q. 12 /6.67,Q. 13 /6.67,Q. 14 /6.67,Q. 15 /6.67
0,Finished,9 November 2020  10:03 AM,9 November 2020  10:48 AM,45 mins,46.67,-1.67,6.67,6.67,6.67,6.67,-1.67,-1.67,6.67,-,6.67,6.67,6.67,-1.67,0.00,-
1,Finished,9 November 2020  10:03 AM,9 November 2020  10:48 AM,44 mins 47 secs,20.0,-1.67,6.67,-1.67,6.67,-1.67,-1.67,-1.67,-1.67,-1.67,6.67,6.67,6.67,-1.67,0.00,0.00
2,Finished,9 November 2020  10:05 AM,9 November 2020  10:50 AM,45 mins,20.0,-1.67,-1.67,6.67,6.67,6.67,-1.67,-1.67,-1.67,-1.67,6.67,6.67,-1.67,-1.67,0.00,0.00
3,Finished,9 November 2020  10:11 AM,9 November 2020  10:33 AM,22 mins 31 secs,36.67,-1.67,-1.67,6.67,6.67,6.67,6.67,-1.67,6.67,-1.67,6.67,6.67,-1.67,-1.67,0.00,0.00
4,Finished,9 November 2020  10:12 AM,9 November 2020  10:45 AM,32 mins 37 secs,26.67,-1.67,-1.67,6.67,6.67,6.67,-1.67,-1.67,-1.67,-1.67,6.67,6.67,-1.67,-1.67,6.67,0.00
5,Finished,9 November 2020  10:13 AM,9 November 2020  10:35 AM,21 mins 27 secs,3.33,6.67,-1.67,6.67,-1.67,-1.67,6.67,-1.67,-1.67,-1.67,-1.67,-1.67,-1.67,-1.67,0.00,0.00
6,Finished,9 November 2020  10:14 AM,9 November 2020  10:46 AM,32 mins 36 secs,51.67,6.67,-1.67,6.67,6.67,6.67,6.67,-1.67,-1.67,6.67,6.67,6.67,-1.67,-1.67,6.67,0.00
7,Finished,9 November 2020  10:15 AM,9 November 2020  10:52 AM,37 mins 19 secs,20.0,-1.67,-1.67,-1.67,6.67,6.67,-1.67,-1.67,-1.67,6.67,6.67,6.67,-1.67,-1.67,0.00,0.00
8,Finished,9 November 2020  10:15 AM,9 November 2020  11:00 AM,44 mins 38 secs,85.0,6.67,-1.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,0.00
9,Finished,9 November 2020  10:16 AM,9 November 2020  10:55 AM,39 mins 22 secs,51.67,6.67,6.67,6.67,6.67,6.67,-1.67,-1.67,6.67,-1.67,6.67,6.67,-1.67,-1.67,0.00,6.67
10,Finished,9 November 2020  10:16 AM,9 November 2020  10:57 AM,41 mins 18 secs,60.0,6.67,6.67,6.67,-1.67,6.67,6.67,6.67,6.67,-1.67,6.67,6.67,-1.67,-1.67,6.67,0.00
