Email address,State,Started on,Completed,Time taken,Grade/100.00,Q. 1 /6.67,Q. 2 /6.67,Q. 3 /6.67,Q. 4 /6.67,Q. 5 /6.67,Q. 6 /6.67,Q. 7 /6.67,Q. 8 /6.67,Q. 9 /6.67,Q. 10 /6.67,Q. 11 /6.67,Q. 12 /6.67,Q. 13 /6.67,Q. 14 /6.67,Q. 15 /6.67
55,Finished,8 November 2020  9:07 AM,8 November 2020  9:34 AM,26 mins 49 secs,44.78,6.67,0.56,6.67,0.00,0.00,6.67,0.56,6.67,6.67,-1.33,0.00,-1.67,6.67,6.67,0.00
8,Finished,8 November 2020  9:41 AM,8 November 2020  10:28 AM,46 mins 28 secs,67.78,-1.67,0.00,6.67,6.67,6.67,6.67,2.22,6.67,6.67,6.67,0.00,6.67,6.67,0.56,6.67
18,Finished,8 November 2020  9:49 AM,8 November 2020  10:36 AM,46 mins 8 secs,0.56,-,-,-,-,-,-,0.56,-,-,-,-,-,-,-,-
16,Finished,8 November 2020  10:06 AM,8 November 2020  10:23 AM,16 mins 52 secs,71.67,6.67,0.00,-1.67,6.67,6.67,6.67,0.00,6.67,6.67,6.67,6.67,6.67,6.67,6.67,0.00
21,Finished,8 November 2020  10:18 AM,8 November 2020  10:56 AM,38 mins 12 secs,32.56,-1.67,0.00,-1.67,6.67,6.67,6.67,0.56,6.67,0.00,-1.33,2.78,-1.67,6.67,2.22,0.00
23,Finished,8 November 2020  10:39 AM,8 November 2020  10:57 AM,17 mins 59 secs,76.11,6.67,0.00,6.67,6.67,6.67,6.67,0.00,6.67,6.67,6.67,2.78,6.67,6.67,0.00,6.67
86,Finished,8 November 2020  10:50 AM,8 November 2020  11:11 AM,20 mins 28 secs,45.0,6.67,2.22,6.67,6.67,6.67,-1.67,0.56,-1.67,6.67,6.67,6.67,-1.67,-1.67,2.22,0.00
169,Finished,8 November 2020  10:51 AM,8 November 2020  11:22 AM,30 mins 7 secs,61.67,6.67,2.78,-1.67,6.67,6.67,6.67,0.00,-1.67,6.67,6.67,6.67,6.67,6.67,2.22,0.00
176,Finished,8 November 2020  10:53 AM,8 November 2020  11:40 AM,46 mins 51 secs,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
178,Finished,8 November 2020  10:53 AM,8 November 2020  11:40 AM,46 mins 39 secs,0.0,-,-,-,-,-,-,-,-,0.00,-,-,-,-,-,-
18,Finished,8 November 2020  11:06 AM,8 November 2020  11:34 AM,27 mins 47 secs,0.33,-1.67,0.00,-1.67,0.00,0.00,-1.67,0.56,-1.67,6.67,-1.33,2.22,-1.67,-1.67,2.22,0.00
67,Finished,8 November 2020  11:12 AM,8 November 2020  11:44 AM,32 mins 17 secs,64.44,-1.67,0.56,6.67,6.67,6.67,6.67,0.56,6.67,6.67,6.67,6.67,-1.67,6.67,6.67,0.00
7,Finished,8 November 2020  11:13 AM,8 November 2020  11:57 AM,44 mins 23 secs,21.44,-1.67,0.00,6.67,0.00,6.67,-1.67,0.56,6.67,0.00,-1.33,6.67,-1.67,-1.67,2.22,0.00
78,Finished,8 November 2020  11:26 AM,8 November 2020  12:02 PM,36 mins 28 secs,50.0,6.67,0.00,6.67,6.67,6.67,-1.67,2.22,6.67,0.00,6.67,2.22,-1.67,6.67,2.22,0.00
15,Finished,8 November 2020  11:37 AM,8 November 2020  12:12 PM,35 mins 36 secs,93.33,6.67,6.67,6.67,6.67,6.67,6.67,0.00,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67
4,Finished,8 November 2020  12:13 PM,8 November 2020  12:46 PM,32 mins 52 secs,30.56,6.67,2.78,-1.67,0.00,0.00,-1.67,4.44,-1.67,6.67,6.67,6.67,-1.67,-1.67,5.00,0.00
46,Finished,8 November 2020  12:50 PM,8 November 2020  1:35 PM,45 mins,58.89,6.67,0.56,6.67,6.67,6.67,6.67,0.00,6.67,-,-,6.67,-1.67,6.67,6.67,0.00
12,Finished,8 November 2020  12:53 PM,8 November 2020  1:37 PM,44 mins 14 secs,52.78,6.67,0.00,6.67,6.67,6.67,-1.67,2.22,6.67,6.67,6.67,6.67,-1.67,-1.67,2.22,0.00
17,Finished,8 November 2020  1:00 PM,8 November 2020  1:43 PM,43 mins 35 secs,25.56,6.67,0.56,-1.67,0.00,0.00,6.67,0.56,-1.67,6.67,6.67,2.22,-1.67,-1.67,2.22,0.00
63,Finished,8 November 2020  1:37 PM,8 November 2020  2:14 PM,37 mins 16 secs,38.11,6.67,0.00,6.67,0.00,6.67,-1.67,0.00,6.67,0.00,-1.33,6.67,-1.67,6.67,2.78,0.00
46,Finished,8 November 2020  1:38 PM,8 November 2020  1:49 PM,10 mins 6 secs,71.67,6.67,0.00,6.67,6.67,6.67,6.67,0.00,6.67,6.67,6.67,6.67,-1.67,6.67,6.67,0.00
19,Finished,8 November 2020  1:48 PM,8 November 2020  2:14 PM,25 mins 58 secs,48.33,6.67,4.44,6.67,6.67,6.67,-1.67,0.00,6.67,6.67,6.67,0.00,-1.67,-1.67,2.22,0.00
46,Finished,8 November 2020  1:54 PM,8 November 2020  2:12 PM,18 mins 22 secs,80.0,6.67,0.00,6.67,6.67,6.67,6.67,0.00,6.67,6.67,6.67,6.67,6.67,6.67,6.67,0.00
44,Finished,8 November 2020  1:55 PM,8 November 2020  2:40 PM,45 mins,30.56,-1.67,0.00,6.67,0.00,0.00,6.67,2.78,-1.67,0.00,6.67,4.44,6.67,-,-,-
40,Finished,8 November 2020  1:58 PM,8 November 2020  2:41 PM,43 mins,63.67,6.67,0.56,6.67,0.00,6.67,6.67,2.22,6.67,6.67,-1.33,6.67,6.67,6.67,2.22,0.00
65,Finished,8 November 2020  2:04 PM,8 November 2020  2:46 PM,42 mins 13 secs,72.22,6.67,0.00,6.67,6.67,6.67,6.67,0.56,-1.67,6.67,6.67,6.67,6.67,6.67,0.00,6.67
75,Finished,8 November 2020  2:06 PM,8 November 2020  2:51 PM,45 mins,64.78,6.67,2.22,6.67,6.67,0.00,6.67,2.78,6.67,6.67,-1.33,6.67,-1.67,6.67,2.78,6.67
46,Finished,8 November 2020  2:13 PM,8 November 2020  2:19 PM,6 mins 19 secs,73.33,6.67,0.00,6.67,6.67,6.67,6.67,0.00,6.67,6.67,6.67,6.67,6.67,6.67,0.00,0.00
41,Finished,8 November 2020  2:15 PM,8 November 2020  3:00 PM,45 mins,89.44,6.67,2.78,6.67,6.67,6.67,6.67,0.00,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67
73,Finished,8 November 2020  2:26 PM,8 November 2020  3:11 PM,45 mins,53.33,6.67,0.56,6.67,-,6.67,6.67,0.56,6.67,0.00,6.67,6.67,-1.67,6.67,0.56,0.00
34,Finished,8 November 2020  3:06 PM,8 November 2020  3:53 PM,46 mins 44 secs,67.78,6.67,0.00,6.67,6.67,6.67,-,2.78,6.67,6.67,6.67,6.67,-1.67,6.67,6.67,0.00
61,Finished,8 November 2020  3:06 PM,8 November 2020  3:51 PM,45 mins,49.78,6.67,0.00,6.67,0.00,6.67,-1.67,0.56,6.67,6.67,-1.33,6.67,-1.67,6.67,0.56,6.67
5,Finished,8 November 2020  3:30 PM,8 November 2020  3:48 PM,18 mins 37 secs,-4.67,-1.67,2.22,-1.67,0.00,0.00,-1.67,2.22,-1.67,0.00,-1.33,0.00,-1.67,-1.67,2.22,0.00
50,Finished,8 November 2020  3:53 PM,8 November 2020  4:23 PM,30 mins 5 secs,48.33,-1.67,0.00,6.67,6.67,0.00,-1.67,2.22,6.67,6.67,6.67,4.44,-1.67,6.67,6.67,0.00
79,Finished,8 November 2020  4:03 PM,8 November 2020  4:33 PM,30 mins 29 secs,22.0,6.67,0.56,-1.67,0.00,6.67,6.67,0.56,-1.67,0.00,-1.33,6.67,-1.67,-1.67,2.22,0.00
55,Finished,8 November 2020  4:10 PM,8 November 2020  4:28 PM,18 mins 20 secs,66.11,6.67,2.22,6.67,6.67,6.67,-1.67,0.56,6.67,6.67,6.67,6.67,-1.67,6.67,6.67,0.00
0,Finished,8 November 2020  4:25 PM,8 November 2020  5:10 PM,45 mins,47.22,6.67,0.00,6.67,-,6.67,-,2.78,6.67,6.67,-,4.44,-,6.67,-,0.00
58,Finished,8 November 2020  4:28 PM,8 November 2020  4:51 PM,23 mins 59 secs,37.0,6.67,0.56,-1.67,0.00,6.67,6.67,0.56,6.67,6.67,-1.33,6.67,-1.67,-1.67,2.22,0.00
53,Finished,8 November 2020  4:34 PM,8 November 2020  5:19 PM,45 mins 1 sec,55.56,6.67,0.56,-1.67,6.67,6.67,-1.67,2.22,6.67,6.67,6.67,6.67,-1.67,6.67,4.44,0.00
62,Finished,8 November 2020  4:55 PM,8 November 2020  5:40 PM,44 mins 49 secs,41.67,6.67,0.00,-1.67,6.67,0.00,-1.67,0.00,6.67,6.67,6.67,4.44,-1.67,6.67,2.22,0.00
3,Finished,8 November 2020  4:57 PM,8 November 2020  5:14 PM,16 mins 51 secs,48.89,-1.67,0.56,-1.67,0.00,6.67,-1.67,2.22,6.67,6.67,6.67,6.67,6.67,6.67,4.44,0.00
82,Finished,8 November 2020  5:15 PM,8 November 2020  6:02 PM,46 mins 20 secs,18.11,6.67,-,-,0.00,6.67,-1.67,-,-,-,-1.33,6.67,-1.67,-,2.78,-
52,Finished,8 November 2020  5:20 PM,8 November 2020  6:05 PM,45 mins 1 sec,72.56,6.67,0.00,6.67,6.67,6.67,6.67,0.56,6.67,6.67,-1.33,6.67,6.67,6.67,6.67,0.00
51,Finished,8 November 2020  5:20 PM,8 November 2020  6:05 PM,45 mins 1 sec,72.56,6.67,0.00,6.67,6.67,6.67,6.67,0.56,6.67,6.67,-1.33,6.67,6.67,6.67,6.67,0.00
6,Finished,8 November 2020  5:28 PM,8 November 2020  5:55 PM,26 mins 47 secs,48.89,6.67,0.00,6.67,0.00,6.67,-1.67,0.56,6.67,6.67,6.67,6.67,-1.67,-1.67,6.67,0.00
39,Finished,8 November 2020  5:33 PM,8 November 2020  6:04 PM,30 mins 36 secs,60.89,6.67,0.56,6.67,0.00,6.67,6.67,2.78,6.67,6.67,-1.33,6.67,-1.67,6.67,0.56,6.67
4,Finished,8 November 2020  5:36 PM,8 November 2020  5:41 PM,5 mins 39 secs,53.89,6.67,2.78,-1.67,0.00,6.67,-1.67,4.44,6.67,6.67,6.67,6.67,-1.67,6.67,5.00,0.00
72,Finished,8 November 2020  5:38 PM,8 November 2020  6:00 PM,21 mins 56 secs,45.0,6.67,2.78,-1.67,0.00,0.00,-1.67,2.78,-1.67,6.67,6.67,6.67,6.67,6.67,4.44,0.00
47,Finished,8 November 2020  5:38 PM,8 November 2020  6:23 PM,45 mins 1 sec,5.0,-1.67,-,-,-,-,-,-,-,6.67,-,-,-,-,-,-
68,Finished,8 November 2020  6:00 PM,8 November 2020  6:37 PM,37 mins 33 secs,53.11,6.67,0.00,6.67,6.67,0.00,6.67,0.56,6.67,6.67,-1.33,6.67,-1.67,6.67,2.22,0.00
32,Finished,8 November 2020  6:02 PM,8 November 2020  6:46 PM,43 mins 42 secs,71.11,6.67,0.56,6.67,6.67,6.67,-1.67,0.56,6.67,6.67,6.67,6.67,-1.67,6.67,6.67,6.67
29,Finished,8 November 2020  6:22 PM,8 November 2020  6:59 PM,36 mins 35 secs,54.22,6.67,2.78,-1.67,6.67,0.00,-1.67,4.44,6.67,6.67,-1.33,6.67,-1.67,6.67,6.67,6.67
82,Finished,8 November 2020  6:24 PM,8 November 2020  7:01 PM,36 mins 8 secs,19.22,-,-,-1.67,-,6.67,6.67,2.78,-1.67,0.00,-1.33,6.67,-1.67,-,2.78,0.00
53,Finished,8 November 2020  6:34 PM,8 November 2020  6:56 PM,22 mins 37 secs,61.67,6.67,0.00,-1.67,6.67,6.67,6.67,0.56,6.67,6.67,6.67,6.67,-1.67,6.67,4.44,0.00
73,Finished,8 November 2020  6:44 PM,8 November 2020  7:01 PM,16 mins 14 secs,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
