Email address,State,Started on,Completed,Time taken,Grade/100.00,Q. 1 /9.09,Q. 2 /9.09,Q. 3 /9.09,Q. 4 /9.09,Q. 5 /9.09,Q. 6 /9.09,Q. 7 /9.09,Q. 8 /36.36
34,Finished,9 November 2020  10:00 AM,9 November 2020  10:15 AM,15 mins,29.55,-2.27,9.09,-2.27,9.09,9.09,9.09,-2.27,0.00
10,Finished,9 November 2020  10:00 AM,9 November 2020  10:15 AM,15 mins,3.03,-2.27,9.09,-2.27,0.00,-2.27,3.03,-2.27,0.00
8,Finished,9 November 2020  10:00 AM,9 November 2020  10:15 AM,15 mins,71.21,9.09,9.09,-2.27,9.09,9.09,3.03,-2.27,36.36
13,Finished,9 November 2020  10:00 AM,9 November 2020  10:15 AM,14 mins 40 secs,52.27,9.09,9.09,9.09,9.09,9.09,9.09,-2.27,0.00
24,Finished,9 November 2020  10:00 AM,9 November 2020  10:15 AM,15 mins,59.09,9.09,9.09,-2.27,0.00,-2.27,9.09,-,36.36
55,Finished,9 November 2020  10:00 AM,9 November 2020  10:15 AM,14 mins 59 secs,37.88,9.09,9.09,-2.27,9.09,9.09,6.06,-2.27,0.00
62,Finished,9 November 2020  10:00 AM,9 November 2020  10:15 AM,15 mins,68.18,9.09,9.09,-2.27,0.00,9.09,9.09,-2.27,36.36
23,Finished,9 November 2020  10:00 AM,9 November 2020  10:13 AM,12 mins 31 secs,73.48,9.09,9.09,9.09,0.00,9.09,3.03,-2.27,36.36
73,Finished,9 November 2020  10:00 AM,9 November 2020  10:15 AM,15 mins 1 sec,27.27,-,9.09,9.09,-,-,9.09,-,0.00
48,Finished,9 November 2020  10:00 AM,9 November 2020  10:14 AM,13 mins 35 secs,-4.55,-,-,-2.27,-,-2.27,-,-,0.00
25,Finished,9 November 2020  10:00 AM,9 November 2020  10:15 AM,15 mins,22.73,9.09,9.09,-,0.00,-2.27,9.09,-2.27,0.00
14,Finished,9 November 2020  10:00 AM,9 November 2020  10:15 AM,15 mins,65.15,9.09,9.09,-2.27,-,9.09,6.06,-2.27,36.36
12,Finished,9 November 2020  10:01 AM,9 November 2020  10:16 AM,15 mins,62.12,9.09,9.09,-2.27,-,9.09,3.03,-2.27,36.36
16,Finished,9 November 2020  10:01 AM,9 November 2020  10:16 AM,14 mins 59 secs,79.55,9.09,9.09,9.09,0.00,9.09,9.09,-2.27,36.36
15,Finished,9 November 2020  10:01 AM,9 November 2020  10:16 AM,14 mins 58 secs,88.64,9.09,9.09,9.09,9.09,9.09,9.09,-2.27,36.36
11,Finished,9 November 2020  10:01 AM,9 November 2020  10:16 AM,15 mins,47.73,9.09,9.09,-2.27,-,-2.27,-,-2.27,36.36
35,Finished,9 November 2020  10:01 AM,9 November 2020  10:16 AM,15 mins,14.39,-2.27,9.09,-2.27,9.09,-2.27,3.03,-,-
4,Finished,9 November 2020  10:01 AM,9 November 2020  10:12 AM,10 mins 56 secs,74.24,9.09,9.09,-2.27,9.09,9.09,6.06,-2.27,36.36
63,Finished,9 November 2020  10:01 AM,9 November 2020  10:15 AM,13 mins 47 secs,37.12,9.09,9.09,9.09,0.00,-2.27,3.03,9.09,0.00
18,Finished,9 November 2020  10:01 AM,9 November 2020  10:16 AM,15 mins 1 sec,5.3,9.09,-2.27,-2.27,0.00,-2.27,3.03,-,0.00
20,Finished,9 November 2020  10:01 AM,9 November 2020  10:16 AM,15 mins,31.82,9.09,9.09,-2.27,9.09,-2.27,9.09,-,0.00
17,Finished,9 November 2020  10:01 AM,9 November 2020  10:16 AM,15 mins,28.03,-2.27,-2.27,-2.27,0.00,-2.27,3.03,-2.27,36.36
6,Finished,9 November 2020  10:01 AM,9 November 2020  10:12 AM,11 mins 30 secs,39.39,-2.27,9.09,-2.27,0.00,-2.27,3.03,-2.27,36.36
79,Finished,9 November 2020  10:01 AM,9 November 2020  10:14 AM,12 mins 29 secs,29.55,-2.27,9.09,-2.27,9.09,-2.27,9.09,9.09,0.00
21,Finished,9 November 2020  10:01 AM,9 November 2020  10:16 AM,15 mins,34.09,9.09,9.09,-2.27,0.00,9.09,9.09,-,0.00
3,Finished,9 November 2020  10:01 AM,9 November 2020  10:10 AM,9 mins 8 secs,71.21,9.09,9.09,-2.27,9.09,-2.27,3.03,9.09,36.36
22,Finished,9 November 2020  10:01 AM,9 November 2020  10:16 AM,15 mins,0.76,-,-,-2.27,0.00,-,3.03,-,0.00
65,Finished,9 November 2020  10:01 AM,9 November 2020  10:15 AM,13 mins 26 secs,88.64,9.09,9.09,9.09,9.09,9.09,9.09,-2.27,36.36
9,Finished,9 November 2020  10:01 AM,9 November 2020  10:15 AM,13 mins 35 secs,14.39,9.09,9.09,-2.27,0.00,-2.27,3.03,-2.27,0.00
37,Finished,9 November 2020  10:01 AM,9 November 2020  10:16 AM,15 mins 1 sec,18.18,9.09,9.09,-,-,-,-,-,0.00
19,Finished,9 November 2020  10:01 AM,9 November 2020  10:15 AM,13 mins 47 secs,20.45,9.09,-2.27,-2.27,0.00,9.09,9.09,-2.27,0.00
33,Finished,9 November 2020  10:01 AM,9 November 2020  10:16 AM,15 mins 1 sec,28.03,9.09,9.09,9.09,-,-2.27,3.03,-,-
41,Finished,9 November 2020  10:02 AM,9 November 2020  10:17 AM,15 mins 1 sec,88.64,9.09,-2.27,9.09,9.09,9.09,9.09,9.09,36.36
26,Finished,9 November 2020  10:02 AM,9 November 2020  10:17 AM,15 mins 1 sec,77.27,9.09,9.09,-2.27,9.09,9.09,9.09,-2.27,36.36
