Email address,State,Started on,Completed,Time taken,Grade/100.00,Q. 1 /6.67,Q. 2 /6.67,Q. 3 /6.67,Q. 4 /6.67,Q. 5 /6.67,Q. 6 /6.67,Q. 7 /6.67,Q. 8 /6.67,Q. 9 /6.67,Q. 10 /6.67,Q. 11 /6.67,Q. 12 /6.67,Q. 13 /6.67,Q. 14 /6.67,Q. 15 /6.67
89,Finished,9 November 2020  10:00 AM,9 November 2020  10:45 AM,45 mins,35.0,6.67,-,6.67,-1.67,-,6.67,-,6.67,-1.67,6.67,6.67,-,-1.67,-,-
165,Finished,9 November 2020  10:02 AM,9 November 2020  10:46 AM,43 mins 50 secs,20.0,-1.67,6.67,6.67,-1.67,-1.67,6.67,-1.67,-1.67,-1.67,6.67,6.67,-1.67,-1.67,0.00,0.00
3481,Finished,9 November 2020  10:06 AM,9 November 2020  10:51 AM,45 mins,40.0,-,6.67,-,6.67,-,-,-,-,-,6.67,6.67,-,6.67,-,6.67
3539,Finished,9 November 2020  10:10 AM,9 November 2020  10:23 AM,12 mins 40 secs,-5.0,-1.67,-1.67,-1.67,-1.67,-1.67,6.67,-1.67,-1.67,-1.67,-1.67,6.67,-1.67,-1.67,0.00,0.00
81,Finished,9 November 2020  10:11 AM,9 November 2020  10:55 AM,44 mins 24 secs,36.67,-1.67,-1.67,6.67,6.67,-1.67,6.67,6.67,6.67,-1.67,6.67,6.67,-1.67,-1.67,0.00,0.00
188,Finished,9 November 2020  10:11 AM,9 November 2020  10:56 AM,45 mins,3.33,-1.67,-1.67,-1.67,6.67,6.67,-1.67,-1.67,-1.67,-1.67,-1.67,6.67,-1.67,-1.67,0.00,0.00
5102,Finished,9 November 2020  10:12 AM,9 November 2020  10:57 AM,45 mins,51.67,-1.67,-1.67,6.67,6.67,6.67,6.67,-1.67,6.67,-1.67,6.67,6.67,-1.67,6.67,0.00,6.67
3510,Finished,9 November 2020  10:12 AM,9 November 2020  10:57 AM,45 mins,28.33,-1.67,-1.67,-1.67,6.67,6.67,6.67,-1.67,6.67,-1.67,6.67,6.67,-1.67,-1.67,-,0.00
3473,Finished,9 November 2020  10:13 AM,9 November 2020  10:45 AM,32 mins 7 secs,3.33,-1.67,-1.67,-1.67,6.67,6.67,-1.67,-1.67,-1.67,-1.67,-1.67,6.67,-1.67,-1.67,0.00,0.00
192,Finished,9 November 2020  10:13 AM,9 November 2020  10:56 AM,43 mins 36 secs,60.0,-1.67,6.67,6.67,6.67,6.67,-1.67,6.67,6.67,6.67,6.67,6.67,-1.67,-1.67,0.00,6.67
184,Finished,9 November 2020  10:13 AM,9 November 2020  10:52 AM,39 mins 33 secs,35.0,-1.67,-1.67,6.67,6.67,-1.67,6.67,-1.67,-1.67,6.67,6.67,6.67,-1.67,-1.67,6.67,0.00
164,Finished,9 November 2020  10:13 AM,9 November 2020  10:36 AM,23 mins 16 secs,26.67,-1.67,-1.67,6.67,6.67,6.67,-1.67,-1.67,-1.67,-1.67,6.67,6.67,-1.67,-1.67,6.67,0.00
3484,Finished,9 November 2020  10:13 AM,9 November 2020  10:56 AM,43 mins 9 secs,51.67,6.67,6.67,6.67,6.67,6.67,-1.67,-1.67,6.67,-1.67,6.67,6.67,-1.67,-1.67,6.67,0.00
297,Finished,9 November 2020  10:14 AM,9 November 2020  10:53 AM,39 mins 48 secs,36.67,-1.67,-1.67,-1.67,6.67,6.67,6.67,6.67,-1.67,-1.67,6.67,6.67,-1.67,6.67,0.00,0.00
3508,Finished,9 November 2020  10:14 AM,9 November 2020  10:38 AM,24 mins 7 secs,26.67,-1.67,-1.67,6.67,6.67,-1.67,-1.67,-1.67,-1.67,-1.67,6.67,6.67,6.67,-1.67,6.67,0.00
144,Finished,9 November 2020  10:14 AM,9 November 2020  10:54 AM,39 mins 50 secs,35.0,6.67,-1.67,6.67,6.67,-1.67,-1.67,-1.67,-1.67,6.67,6.67,6.67,-1.67,-1.67,6.67,0.00
3457,Finished,9 November 2020  10:14 AM,9 November 2020  10:59 AM,45 mins 1 sec,28.33,-1.67,-1.67,-1.67,6.67,6.67,6.67,-1.67,-1.67,-1.67,6.67,6.67,-1.67,6.67,0.00,0.00
195,Finished,9 November 2020  10:14 AM,9 November 2020  10:45 AM,30 mins 39 secs,35.0,-1.67,-1.67,-1.67,6.67,6.67,6.67,-1.67,-1.67,-1.67,6.67,6.67,6.67,-1.67,6.67,0.00
235,Finished,9 November 2020  10:15 AM,9 November 2020  10:57 AM,41 mins 58 secs,50.0,-1.67,-1.67,-1.67,6.67,-1.67,6.67,-1.67,6.67,6.67,6.67,6.67,-1.67,6.67,6.67,6.67
3492,Finished,9 November 2020  10:15 AM,9 November 2020  10:52 AM,36 mins 54 secs,43.33,6.67,-1.67,6.67,6.67,-1.67,-1.67,-1.67,-1.67,6.67,6.67,6.67,-1.67,6.67,6.67,0.00
171,Finished,9 November 2020  10:15 AM,9 November 2020  10:59 AM,44 mins 34 secs,66.67,6.67,6.67,6.67,6.67,-1.67,-1.67,6.67,6.67,6.67,6.67,6.67,-1.67,-1.67,6.67,6.67
172,Finished,9 November 2020  10:15 AM,9 November 2020  11:00 AM,44 mins 54 secs,11.67,-1.67,6.67,6.67,6.67,-1.67,-1.67,-1.67,-1.67,-1.67,6.67,-1.67,-1.67,-1.67,0.00,0.00
3442,Finished,9 November 2020  10:15 AM,9 November 2020  10:49 AM,33 mins 44 secs,26.67,-1.67,-1.67,6.67,6.67,-1.67,-1.67,-1.67,-1.67,-1.67,6.67,6.67,6.67,-1.67,0.00,6.67
3463,Finished,9 November 2020  10:15 AM,9 November 2020  10:56 AM,41 mins 9 secs,-3.33,-1.67,-1.67,-1.67,-,-1.67,-1.67,-1.67,-1.67,6.67,6.67,-1.67,-1.67,-1.67,0.00,0.00
211,Finished,9 November 2020  10:15 AM,9 November 2020  11:00 AM,44 mins 27 secs,35.0,6.67,6.67,6.67,6.67,-1.67,-1.67,-1.67,-1.67,-1.67,6.67,6.67,-1.67,-1.67,6.67,0.00
26,Finished,9 November 2020  10:15 AM,9 November 2020  11:00 AM,45 mins 1 sec,83.33,6.67,6.67,6.67,6.67,6.67,-1.67,6.67,6.67,6.67,6.67,6.67,-1.67,6.67,6.67,6.67
97,Finished,9 November 2020  10:15 AM,9 November 2020  11:00 AM,45 mins,28.33,-1.67,6.67,6.67,6.67,-1.67,-1.67,-1.67,6.67,-1.67,6.67,6.67,-1.67,-1.67,0.00,0.00
264,Finished,9 November 2020  10:15 AM,9 November 2020  10:51 AM,35 mins 14 secs,43.33,-1.67,-1.67,6.67,6.67,6.67,-1.67,-1.67,6.67,-1.67,6.67,6.67,6.67,-1.67,6.67,0.00
74,Finished,9 November 2020  10:16 AM,9 November 2020  10:50 AM,34 mins 35 secs,26.67,-1.67,-1.67,6.67,6.67,-1.67,-1.67,-1.67,6.67,-1.67,6.67,6.67,-1.67,-1.67,6.67,0.00
326,Finished,9 November 2020  10:16 AM,9 November 2020  10:51 AM,35 mins 33 secs,43.33,-1.67,6.67,-1.67,6.67,6.67,6.67,-1.67,6.67,-1.67,6.67,6.67,-1.67,-1.67,6.67,0.00
309,Finished,9 November 2020  10:16 AM,9 November 2020  11:01 AM,45 mins 1 sec,28.33,-1.67,6.67,6.67,6.67,-1.67,-1.67,-1.67,-1.67,-1.67,6.67,6.67,-1.67,6.67,-,0.00
146,Finished,9 November 2020  10:16 AM,9 November 2020  10:58 AM,42 mins 38 secs,36.67,6.67,6.67,6.67,-1.67,-1.67,-1.67,-1.67,6.67,-1.67,6.67,6.67,-1.67,6.67,0.00,0.00
318,Finished,9 November 2020  10:16 AM,9 November 2020  10:54 AM,38 mins 25 secs,33.33,-1.67,-1.67,6.67,6.67,6.67,-1.67,-1.67,-1.67,-1.67,6.67,6.67,-1.67,-1.67,6.67,6.67
323,Finished,9 November 2020  10:16 AM,9 November 2020  11:01 AM,45 mins 1 sec,11.67,-1.67,-1.67,6.67,6.67,-1.67,-1.67,-1.67,-1.67,-1.67,6.67,6.67,-1.67,-1.67,0.00,0.00
185,Finished,9 November 2020  10:16 AM,9 November 2020  11:01 AM,45 mins,6.67,-1.67,-1.67,6.67,6.67,-,-1.67,-,-1.67,-1.67,-1.67,6.67,-1.67,-1.67,-,-
3445,Finished,9 November 2020  10:16 AM,9 November 2020  10:59 AM,43 mins 34 secs,58.33,6.67,-1.67,6.67,6.67,6.67,-1.67,-1.67,6.67,6.67,6.67,6.67,-1.67,-1.67,6.67,6.67
0,Finished,9 November 2020  10:16 AM,9 November 2020  10:58 AM,42 mins,51.67,6.67,-1.67,6.67,6.67,6.67,-1.67,-1.67,6.67,6.67,6.67,6.67,-1.67,-1.67,6.67,0.00
210,Finished,9 November 2020  10:16 AM,9 November 2020  11:01 AM,44 mins 58 secs,43.33,-1.67,-1.67,6.67,6.67,6.67,-1.67,-1.67,6.67,-1.67,6.67,6.67,6.67,-1.67,6.67,0.00
