Email address,State,Started on,Completed,Time taken,Grade/100.00,Q. 1 /6.67,Q. 2 /6.67,Q. 3 /6.67,Q. 4 /6.67,Q. 5 /6.67,Q. 6 /6.67,Q. 7 /6.67,Q. 8 /6.67,Q. 9 /6.67,Q. 10 /6.67,Q. 11 /6.67,Q. 12 /6.67,Q. 13 /6.67,Q. 14 /6.67,Q. 15 /6.67
0,Finished,8 November 2020  7:10 AM,8 November 2020  7:36 AM,25 mins 57 secs,57.22,-1.67,6.67,-1.67,6.67,6.67,-1.67,2.22,6.67,6.67,6.67,0.00,6.67,6.67,6.67,0.00
1,Finished,8 November 2020  7:42 AM,8 November 2020  8:27 AM,45 mins,49.22,6.67,6.67,6.67,0.00,6.67,6.67,4.44,6.67,0.00,-1.33,2.78,-1.67,6.67,-1.67,0.00
2,Finished,8 November 2020  7:46 AM,8 November 2020  8:18 AM,31 mins 33 secs,50.33,6.67,2.22,6.67,6.67,0.00,6.67,2.22,6.67,0.00,-1.33,2.22,-1.67,6.67,6.67,0.00
3,Finished,8 November 2020  7:48 AM,8 November 2020  8:32 AM,43 mins 40 secs,84.44,6.67,6.67,6.67,6.67,6.67,6.67,4.44,6.67,0.00,6.67,6.67,6.67,6.67,6.67,0.00
4,Finished,8 November 2020  7:58 AM,8 November 2020  8:37 AM,38 mins 44 secs,58.33,6.67,2.22,6.67,0.00,0.00,6.67,0.56,6.67,0.00,6.67,2.22,6.67,6.67,6.67,0.00
5,Finished,8 November 2020  8:00 AM,8 November 2020  8:41 AM,40 mins 43 secs,78.89,6.67,6.67,6.67,6.67,6.67,6.67,2.22,6.67,6.67,6.67,6.67,-1.67,6.67,-1.67,6.67
6,Finished,8 November 2020  8:01 AM,8 November 2020  8:48 AM,46 mins 57 secs,20.89,6.67,0.00,-1.67,0.00,6.67,-1.67,2.22,6.67,0.00,-1.33,0.00,-1.67,6.67,-1.67,0.00
7,Finished,8 November 2020  8:04 AM,8 November 2020  8:25 AM,21 mins 7 secs,17.0,-,-,-,0.00,-,6.67,-,-1.67,6.67,-1.33,-,-,6.67,-,0.00
8,Finished,8 November 2020  8:06 AM,8 November 2020  8:49 AM,42 mins 41 secs,39.44,6.67,2.22,6.67,6.67,0.00,-1.67,2.22,6.67,0.00,6.67,0.00,-1.67,6.67,-1.67,0.00
9,Finished,8 November 2020  8:10 AM,8 November 2020  8:55 AM,45 mins 1 sec,62.78,6.67,2.22,6.67,6.67,6.67,6.67,-,6.67,-,6.67,2.22,6.67,6.67,-1.67,0.00
