Email address,State,Started on,Completed,Time taken,Grade/100.00,Q. 1 /9.09,Q. 2 /9.09,Q. 3 /9.09,Q. 4 /9.09,Q. 5 /9.09,Q. 6 /9.09,Q. 7 /9.09,Q. 8 /36.36
171,Finished,9 November 2020  10:00 AM,9 November 2020  10:15 AM,15 mins,79.55,9.09,9.09,-2.27,9.09,9.09,9.09,-,36.36
26,Finished,9 November 2020  10:00 AM,9 November 2020  10:15 AM,15 mins 1 sec,50.0,9.09,9.09,-2.27,-,-,-,-2.27,36.36
180,Finished,9 November 2020  10:00 AM,9 November 2020  10:15 AM,15 mins 1 sec,65.15,9.09,9.09,-2.27,9.09,-2.27,6.06,-,36.36
3441,Finished,9 November 2020  10:00 AM,9 November 2020  10:15 AM,14 mins 52 secs,9.09,-2.27,-2.27,-2.27,0.00,-2.27,9.09,9.09,0.00
264,Finished,9 November 2020  10:00 AM,9 November 2020  10:14 AM,13 mins 51 secs,9.09,-2.27,9.09,-2.27,0.00,-2.27,9.09,-2.27,0.00
3442,Finished,9 November 2020  10:00 AM,9 November 2020  10:15 AM,14 mins 44 secs,39.39,-2.27,9.09,-2.27,0.00,-2.27,3.03,-2.27,36.36
74,Finished,9 November 2020  10:00 AM,9 November 2020  10:14 AM,14 mins 8 secs,20.45,9.09,9.09,-2.27,0.00,-2.27,9.09,-2.27,0.00
165,Finished,9 November 2020  10:00 AM,9 November 2020  10:02 AM,1 min 26 secs,39.39,-2.27,-2.27,-2.27,0.00,9.09,3.03,-2.27,36.36
323,Finished,9 November 2020  10:00 AM,9 November 2020  10:15 AM,15 mins,5.3,-2.27,9.09,-2.27,0.00,-2.27,3.03,-,-
146,Finished,9 November 2020  10:00 AM,9 November 2020  10:13 AM,13 mins 2 secs,6.06,-2.27,9.09,-2.27,0.00,-2.27,6.06,-2.27,0.00
196,Finished,9 November 2020  10:00 AM,9 November 2020  10:15 AM,14 mins 29 secs,59.85,9.09,9.09,-2.27,9.09,-2.27,3.03,-2.27,36.36
235,Finished,9 November 2020  10:00 AM,9 November 2020  10:14 AM,13 mins 54 secs,52.27,9.09,9.09,-2.27,9.09,9.09,9.09,9.09,0.00
88,Finished,9 November 2020  10:00 AM,9 November 2020  10:14 AM,13 mins 35 secs,20.45,-2.27,9.09,-2.27,0.00,9.09,9.09,-2.27,0.00
3443,Finished,9 November 2020  10:00 AM,9 November 2020  10:15 AM,14 mins 38 secs,12.12,-2.27,9.09,-2.27,9.09,-2.27,3.03,-2.27,0.00
269,Finished,9 November 2020  10:00 AM,9 November 2020  10:15 AM,15 mins,65.91,-2.27,9.09,-2.27,9.09,9.09,9.09,-2.27,36.36
3444,Finished,9 November 2020  10:00 AM,9 November 2020  10:15 AM,15 mins,13.64,-,9.09,-2.27,0.00,-2.27,9.09,-,0.00
191,Finished,9 November 2020  10:00 AM,9 November 2020  10:15 AM,15 mins 1 sec,77.27,-2.27,9.09,-2.27,9.09,9.09,9.09,9.09,36.36
3445,Finished,9 November 2020  10:00 AM,9 November 2020  10:15 AM,15 mins,73.48,-2.27,9.09,9.09,9.09,9.09,3.03,-,36.36
125,Finished,9 November 2020  10:00 AM,9 November 2020  10:15 AM,14 mins 59 secs,56.82,-2.27,9.09,-2.27,0.00,9.09,9.09,-2.27,36.36
326,Finished,9 November 2020  10:00 AM,9 November 2020  10:15 AM,15 mins,59.09,9.09,-,9.09,0.00,-2.27,9.09,-2.27,36.36
204,Finished,9 November 2020  10:00 AM,9 November 2020  10:15 AM,14 mins 43 secs,65.91,9.09,9.09,-2.27,9.09,-2.27,9.09,-2.27,36.36
174,Finished,9 November 2020  10:00 AM,9 November 2020  10:16 AM,15 mins 1 sec,14.39,-2.27,9.09,-2.27,0.00,9.09,3.03,-2.27,0.00
242,Finished,9 November 2020  10:01 AM,9 November 2020  10:15 AM,14 mins 33 secs,68.18,-2.27,9.09,-2.27,0.00,9.09,9.09,9.09,36.36
309,Finished,9 November 2020  10:01 AM,9 November 2020  10:16 AM,15 mins,15.91,-,9.09,-2.27,-,-,9.09,-,0.00
49,Finished,9 November 2020  10:01 AM,9 November 2020  10:16 AM,15 mins 1 sec,34.09,9.09,9.09,-2.27,-,9.09,9.09,-,-
210,Finished,9 November 2020  10:01 AM,9 November 2020  10:16 AM,15 mins,65.15,-2.27,9.09,-2.27,9.09,9.09,6.06,-,36.36
185,Finished,9 November 2020  10:01 AM,9 November 2020  10:15 AM,14 mins 53 secs,65.91,9.09,-2.27,-2.27,9.09,9.09,9.09,-2.27,36.36
98,Finished,9 November 2020  10:01 AM,9 November 2020  10:15 AM,14 mins 32 secs,56.82,-2.27,9.09,-2.27,9.09,-2.27,9.09,-,36.36
290,Finished,9 November 2020  10:01 AM,9 November 2020  10:16 AM,15 mins 1 sec,43.94,-2.27,9.09,-,0.00,-2.27,3.03,-,36.36
318,Finished,9 November 2020  10:01 AM,9 November 2020  10:15 AM,14 mins 48 secs,37.12,9.09,9.09,-2.27,0.00,9.09,3.03,9.09,0.00
211,Finished,9 November 2020  10:01 AM,9 November 2020  10:15 AM,14 mins 3 secs,23.48,9.09,9.09,-2.27,9.09,-2.27,3.03,-2.27,0.00
313,Finished,9 November 2020  10:01 AM,9 November 2020  10:16 AM,15 mins 1 sec,12.12,-2.27,9.09,-2.27,9.09,-2.27,3.03,-2.27,0.00
134,Finished,9 November 2020  10:01 AM,9 November 2020  10:16 AM,15 mins,41.67,-2.27,-,-2.27,-,9.09,3.03,-2.27,36.36
3446,Finished,9 November 2020  10:01 AM,9 November 2020  10:16 AM,15 mins 1 sec,22.73,-2.27,-,9.09,-,-2.27,9.09,9.09,0.00
3447,Finished,9 November 2020  10:01 AM,9 November 2020  10:16 AM,15 mins 1 sec,25.0,-2.27,-,9.09,9.09,9.09,-,-,0.00
3448,Finished,9 November 2020  10:01 AM,9 November 2020  10:16 AM,14 mins 57 secs,34.85,9.09,9.09,-2.27,9.09,9.09,3.03,-2.27,0.00
291,Finished,9 November 2020  10:01 AM,9 November 2020  10:16 AM,15 mins,27.27,9.09,9.09,-,9.09,-,-,-,-
192,Finished,9 November 2020  10:01 AM,9 November 2020  10:11 AM,10 mins 38 secs,74.24,9.09,9.09,9.09,9.09,-2.27,6.06,-2.27,36.36
3449,Finished,9 November 2020  10:01 AM,9 November 2020  10:16 AM,15 mins 1 sec,50.76,9.09,9.09,-2.27,-,-2.27,3.03,-2.27,36.36
81,Finished,9 November 2020  10:01 AM,9 November 2020  10:10 AM,9 mins 28 secs,50.76,-2.27,9.09,9.09,0.00,-2.27,3.03,-2.27,36.36
248,Finished,9 November 2020  10:01 AM,9 November 2020  10:16 AM,15 mins 1 sec,43.18,9.09,9.09,9.09,0.00,9.09,9.09,-2.27,0.00
275,Finished,9 November 2020  10:01 AM,9 November 2020  10:16 AM,15 mins,63.64,9.09,9.09,-,-,-,9.09,-,36.36
266,Finished,9 November 2020  10:01 AM,9 November 2020  10:16 AM,15 mins 1 sec,62.88,-2.27,9.09,-2.27,9.09,9.09,6.06,-2.27,36.36
3450,Finished,9 November 2020  10:01 AM,9 November 2020  10:16 AM,15 mins,11.36,-2.27,9.09,-2.27,0.00,-2.27,0.00,9.09,0.00
3451,Finished,9 November 2020  10:01 AM,9 November 2020  10:16 AM,15 mins,81.82,9.09,9.09,-,9.09,9.09,9.09,-,36.36
177,Finished,9 November 2020  10:01 AM,9 November 2020  10:16 AM,15 mins,73.48,-,9.09,9.09,9.09,9.09,3.03,-2.27,36.36
