Email address,State,Started on,Completed,Time taken,Grade/100.00,Q. 1 /8.33,Q. 2 /8.33,Q. 3 /8.33,Q. 4 /8.33,Q. 5 /8.33,Q. 6 /8.33,Q. 7 /8.33,Q. 8 /8.33,Q. 9 /8.33,Q. 10 /8.33,Q. 11 /8.33,Q. 12 /8.33
0,Finished,9 November 2020  7:57 AM,9 November 2020  8:21 AM,23 mins 29 secs,79.86,8.33,8.33,8.33,8.33,-1.39,8.33,8.33,8.33,8.33,8.33,-2.08,8.33
1,Finished,9 November 2020  7:57 AM,9 November 2020  8:07 AM,9 mins 43 secs,38.19,-2.08,-2.08,8.33,8.33,-1.39,-2.08,8.33,8.33,8.33,-2.08,8.33,-2.08
2,Finished,9 November 2020  7:57 AM,9 November 2020  8:23 AM,25 mins 34 secs,69.44,8.33,8.33,8.33,8.33,-1.39,8.33,8.33,8.33,8.33,8.33,-2.08,-2.08
3,Finished,9 November 2020  7:57 AM,9 November 2020  8:25 AM,27 mins 29 secs,79.86,8.33,8.33,8.33,8.33,-1.39,8.33,8.33,8.33,8.33,8.33,-2.08,8.33
4,Finished,9 November 2020  7:57 AM,9 November 2020  8:15 AM,18 mins,-3.47,-2.08,-2.08,8.33,-2.08,-1.39,-2.08,-2.08,-2.08,8.33,-2.08,-2.08,-2.08
5,Finished,9 November 2020  7:57 AM,9 November 2020  8:21 AM,23 mins 12 secs,59.03,-2.08,8.33,8.33,8.33,-1.39,8.33,8.33,-2.08,8.33,8.33,-2.08,8.33
6,Finished,9 November 2020  7:57 AM,9 November 2020  8:12 AM,14 mins 12 secs,59.03,8.33,-2.08,8.33,8.33,-1.39,8.33,8.33,8.33,8.33,8.33,-2.08,-2.08
7,Finished,9 November 2020  7:57 AM,9 November 2020  8:16 AM,18 mins 35 secs,59.03,-2.08,8.33,8.33,8.33,-1.39,-2.08,8.33,8.33,-2.08,8.33,8.33,8.33
8,Finished,9 November 2020  7:57 AM,9 November 2020  8:39 AM,41 mins 12 secs,79.17,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,-2.08,8.33,8.33,-2.08
9,Finished,9 November 2020  7:57 AM,9 November 2020  8:17 AM,19 mins 12 secs,79.86,8.33,8.33,8.33,8.33,-1.39,8.33,8.33,8.33,-2.08,8.33,8.33,8.33
10,Finished,9 November 2020  7:57 AM,9 November 2020  8:07 AM,10 mins 5 secs,59.03,8.33,8.33,8.33,8.33,-1.39,-2.08,8.33,8.33,8.33,8.33,-2.08,-2.08
11,Finished,9 November 2020  7:57 AM,9 November 2020  8:09 AM,11 mins 35 secs,6.94,-2.08,-2.08,-2.08,8.33,-1.39,-2.08,-2.08,-2.08,8.33,-2.08,8.33,-2.08
12,Finished,9 November 2020  7:57 AM,9 November 2020  8:15 AM,17 mins 17 secs,69.44,8.33,-2.08,8.33,8.33,-1.39,8.33,8.33,8.33,8.33,8.33,-2.08,8.33
13,Finished,9 November 2020  7:57 AM,9 November 2020  8:25 AM,27 mins 36 secs,69.44,8.33,-2.08,8.33,8.33,-1.39,8.33,8.33,8.33,8.33,8.33,-2.08,8.33
14,Finished,9 November 2020  7:57 AM,9 November 2020  8:12 AM,14 mins 45 secs,69.44,8.33,-2.08,8.33,8.33,-1.39,8.33,8.33,8.33,8.33,8.33,-2.08,8.33
15,Finished,9 November 2020  7:57 AM,9 November 2020  8:37 AM,40 mins,21.53,-2.08,-2.08,8.33,8.33,-1.39,-2.08,-,8.33,-,8.33,-2.08,-2.08
16,Finished,9 November 2020  7:57 AM,9 November 2020  8:22 AM,24 mins 30 secs,89.58,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,-2.08,8.33
17,Finished,9 November 2020  7:57 AM,9 November 2020  8:14 AM,16 mins 45 secs,59.03,-2.08,-2.08,8.33,8.33,-1.39,8.33,-2.08,8.33,8.33,8.33,8.33,8.33
18,Finished,9 November 2020  7:57 AM,9 November 2020  8:17 AM,19 mins 14 secs,59.03,-2.08,-2.08,8.33,8.33,-1.39,8.33,8.33,8.33,8.33,8.33,8.33,-2.08
19,Finished,9 November 2020  7:57 AM,9 November 2020  8:28 AM,30 mins 12 secs,79.86,8.33,8.33,8.33,8.33,-1.39,8.33,8.33,8.33,8.33,8.33,-2.08,8.33
20,Finished,9 November 2020  7:57 AM,9 November 2020  8:17 AM,19 mins 6 secs,48.61,-2.08,-2.08,8.33,8.33,-1.39,8.33,-2.08,8.33,8.33,8.33,-2.08,8.33
21,Finished,9 November 2020  7:57 AM,9 November 2020  8:09 AM,11 mins 34 secs,59.03,-2.08,-2.08,8.33,8.33,-1.39,8.33,8.33,8.33,8.33,8.33,-2.08,8.33
22,Finished,9 November 2020  7:57 AM,9 November 2020  8:18 AM,20 mins 27 secs,69.44,-2.08,8.33,8.33,8.33,-1.39,8.33,8.33,8.33,8.33,8.33,-2.08,8.33
23,Finished,9 November 2020  7:57 AM,9 November 2020  8:14 AM,16 mins 18 secs,17.36,-2.08,-2.08,-2.08,8.33,-1.39,8.33,-2.08,-2.08,8.33,-2.08,-2.08,8.33
24,Finished,9 November 2020  7:58 AM,9 November 2020  8:20 AM,22 mins 36 secs,69.44,-2.08,8.33,8.33,8.33,-1.39,8.33,8.33,8.33,8.33,8.33,-2.08,8.33
25,Finished,9 November 2020  7:58 AM,9 November 2020  8:16 AM,18 mins 34 secs,58.33,-2.08,8.33,8.33,8.33,8.33,8.33,-2.08,8.33,8.33,8.33,-2.08,-2.08
26,Finished,9 November 2020  7:58 AM,9 November 2020  8:22 AM,24 mins 12 secs,79.86,8.33,8.33,8.33,8.33,-1.39,8.33,8.33,8.33,8.33,8.33,-2.08,8.33
27,Finished,9 November 2020  7:58 AM,9 November 2020  8:26 AM,28 mins 1 sec,27.78,-2.08,-2.08,8.33,8.33,-1.39,8.33,-2.08,-2.08,-2.08,8.33,-2.08,8.33
28,Finished,9 November 2020  7:58 AM,9 November 2020  8:19 AM,20 mins 57 secs,48.61,8.33,-2.08,8.33,8.33,-1.39,8.33,8.33,-2.08,8.33,8.33,-2.08,-2.08
29,Finished,9 November 2020  7:58 AM,9 November 2020  8:17 AM,19 mins 36 secs,48.61,-2.08,-2.08,8.33,8.33,-1.39,8.33,8.33,8.33,8.33,8.33,-2.08,-2.08
30,Finished,9 November 2020  7:58 AM,9 November 2020  8:17 AM,19 mins 25 secs,59.03,8.33,8.33,8.33,8.33,-1.39,-2.08,8.33,8.33,-2.08,8.33,-2.08,8.33
31,Finished,9 November 2020  7:58 AM,9 November 2020  8:19 AM,21 mins 18 secs,48.61,-2.08,8.33,8.33,8.33,-1.39,8.33,-2.08,8.33,8.33,8.33,-2.08,-2.08
32,Finished,9 November 2020  7:58 AM,9 November 2020  8:21 AM,23 mins 12 secs,48.61,-2.08,8.33,8.33,8.33,-1.39,8.33,8.33,8.33,8.33,-2.08,-2.08,-2.08
33,Finished,9 November 2020  7:58 AM,9 November 2020  8:27 AM,29 mins 25 secs,79.86,8.33,8.33,8.33,8.33,-1.39,8.33,8.33,8.33,8.33,8.33,-2.08,8.33
34,Finished,9 November 2020  7:58 AM,9 November 2020  8:12 AM,14 mins 14 secs,48.61,-2.08,8.33,8.33,8.33,-1.39,-2.08,8.33,8.33,8.33,8.33,-2.08,-2.08
35,Finished,9 November 2020  7:58 AM,9 November 2020  8:16 AM,18 mins 28 secs,58.33,-2.08,8.33,8.33,8.33,8.33,8.33,-2.08,8.33,8.33,8.33,-2.08,-2.08
36,Finished,9 November 2020  7:58 AM,9 November 2020  8:21 AM,23 mins 9 secs,48.61,-2.08,-2.08,8.33,8.33,-1.39,8.33,8.33,8.33,8.33,8.33,-2.08,-2.08
37,Finished,9 November 2020  7:58 AM,9 November 2020  8:34 AM,35 mins 48 secs,48.61,-2.08,8.33,8.33,8.33,-1.39,-2.08,8.33,8.33,8.33,8.33,-2.08,-2.08
38,Finished,9 November 2020  7:58 AM,9 November 2020  8:13 AM,15 mins 46 secs,48.61,-2.08,8.33,-2.08,8.33,-1.39,-2.08,8.33,8.33,8.33,8.33,-2.08,8.33
39,Finished,9 November 2020  7:58 AM,9 November 2020  8:19 AM,21 mins 4 secs,59.03,-2.08,8.33,-2.08,8.33,-1.39,8.33,8.33,8.33,8.33,8.33,-2.08,8.33
40,Finished,9 November 2020  7:58 AM,9 November 2020  8:15 AM,17 mins 25 secs,59.03,-2.08,8.33,8.33,8.33,-1.39,8.33,8.33,8.33,8.33,8.33,-2.08,-2.08
