Email address,State,Started on,Completed,Time taken,Grade/100.00,Q. 1 /26.67,Q. 2 /6.67,Q. 3 /6.67,Q. 4 /6.67,Q. 5 /6.67,Q. 6 /6.67,Q. 7 /6.67,Q. 8 /6.67,Q. 9 /6.67,Q. 10 /6.67,Q. 11 /6.67,Q. 12 /6.67
21,Finished,8 November 2020  8:34 AM,8 November 2020  8:54 AM,19 mins 47 secs,19.33,2.67,-1.67,3.33,-1.67,-1.67,6.67,0.00,6.67,-1.67,0.00,0.00,6.67
127,Finished,8 November 2020  8:35 AM,8 November 2020  9:01 AM,26 mins 39 secs,13.0,8.00,-1.67,3.33,-1.67,-1.67,0.00,0.00,0.00,-1.67,3.33,6.67,-1.67
81,Finished,8 November 2020  8:36 AM,8 November 2020  9:16 AM,40 mins,40.0,13.33,6.67,-,-1.67,-1.67,6.67,6.67,3.33,-,6.67,0.00,-
236,Finished,8 November 2020  8:38 AM,8 November 2020  9:18 AM,40 mins,28.33,0.00,-1.67,3.33,-,6.67,0.00,6.67,-,6.67,6.67,0.00,-
59,Finished,8 November 2020  8:40 AM,8 November 2020  9:20 AM,40 mins,31.67,0.00,6.67,1.67,-,-,-,6.67,3.33,-,6.67,0.00,6.67
94,Finished,8 November 2020  8:42 AM,8 November 2020  9:09 AM,27 mins 19 secs,45.0,13.33,-1.67,6.67,-1.67,-1.67,6.67,6.67,5.00,-1.67,6.67,0.00,6.67
9,Finished,8 November 2020  8:47 AM,8 November 2020  9:27 AM,40 mins,30.0,-,6.67,6.67,-1.67,-1.67,0.00,-,-,6.67,6.67,-,6.67
186,Finished,8 November 2020  8:56 AM,8 November 2020  9:27 AM,31 mins 12 secs,9.67,8.00,-1.67,0.00,-1.67,-1.67,0.00,0.00,0.00,-1.67,1.67,0.00,6.67
183,Finished,8 November 2020  8:56 AM,8 November 2020  9:10 AM,13 mins 27 secs,41.67,0.00,-1.67,6.67,6.67,6.67,6.67,6.67,5.00,-1.67,0.00,0.00,6.67
349,Finished,8 November 2020  8:58 AM,8 November 2020  9:24 AM,26 mins 2 secs,74.67,8.00,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,0.00,6.67
245,Finished,8 November 2020  8:59 AM,8 November 2020  9:34 AM,35 mins 1 sec,20.0,0.00,-1.67,3.33,-1.67,-1.67,0.00,0.00,5.00,6.67,3.33,0.00,6.67
102,Finished,8 November 2020  9:02 AM,8 November 2020  9:41 AM,39 mins 16 secs,5.0,-,-,-,-,-,-,-,5.00,-,-,-,-
123,Finished,8 November 2020  9:05 AM,8 November 2020  9:45 AM,40 mins,16.67,13.33,-1.67,3.33,-1.67,-1.67,0.00,0.00,0.00,6.67,0.00,0.00,-1.67
182,Finished,8 November 2020  9:09 AM,8 November 2020  9:46 AM,36 mins 33 secs,76.33,21.33,6.67,3.33,6.67,-1.67,6.67,6.67,6.67,6.67,6.67,0.00,6.67
156,Finished,8 November 2020  9:18 AM,8 November 2020  9:38 AM,19 mins 55 secs,31.67,0.00,-1.67,6.67,-1.67,6.67,0.00,0.00,1.67,6.67,6.67,0.00,6.67
81,Finished,8 November 2020  9:18 AM,8 November 2020  9:46 AM,27 mins 46 secs,53.0,8.00,6.67,3.33,6.67,-1.67,6.67,6.67,5.00,6.67,6.67,0.00,-1.67
59,Finished,8 November 2020  9:21 AM,8 November 2020  10:03 AM,41 mins 57 secs,35.0,0.00,6.67,1.67,-,-,-,6.67,-,6.67,6.67,0.00,6.67
236,Finished,8 November 2020  9:21 AM,8 November 2020  10:03 AM,41 mins 56 secs,36.67,0.00,-1.67,6.67,-1.67,6.67,0.00,6.67,0.00,6.67,6.67,0.00,6.67
140,Finished,8 November 2020  9:21 AM,8 November 2020  10:03 AM,41 mins 31 secs,13.33,13.33,-,-,-,-,-,-,-,-,-,-,-
