Email address,State,Started on,Completed,Time taken,Grade/100.00,Q. 1 /25.00,Q. 2 /25.00,Q. 3 /25.00,Q. 4 /25.00
42,Finished,9 November 2020  7:30 AM,9 November 2020  7:36 AM,6 mins 50 secs,75.0,25.00,25.00,0.00,25.00
103,Finished,9 November 2020  7:30 AM,9 November 2020  7:34 AM,4 mins 2 secs,75.0,25.00,25.00,0.00,25.00
96,Finished,9 November 2020  7:30 AM,9 November 2020  7:41 AM,11 mins 7 secs,12.5,25.00,-6.25,0.00,-6.25
59,Finished,9 November 2020  7:30 AM,9 November 2020  7:39 AM,9 mins 41 secs,75.0,25.00,25.00,0.00,25.00
87,Finished,9 November 2020  7:30 AM,9 November 2020  7:42 AM,11 mins 54 secs,13.75,-5.00,25.00,0.00,-6.25
14,Finished,9 November 2020  7:30 AM,9 November 2020  7:33 AM,3 mins 43 secs,22.5,25.00,-6.25,10.00,-6.25
182,Finished,9 November 2020  7:30 AM,9 November 2020  7:43 AM,12 mins 52 secs,23.75,-5.00,25.00,10.00,-6.25
6,Finished,9 November 2020  7:30 AM,9 November 2020  7:36 AM,6 mins 10 secs,43.75,25.00,25.00,0.00,-6.25
140,Finished,9 November 2020  7:30 AM,9 November 2020  7:39 AM,8 mins 55 secs,7.5,-5.00,-6.25,25.00,-6.25
72,Finished,9 November 2020  7:30 AM,9 November 2020  7:38 AM,8 mins 33 secs,13.75,-5.00,-6.25,0.00,25.00
52,Finished,9 November 2020  7:30 AM,9 November 2020  7:38 AM,7 mins 40 secs,12.5,25.00,-6.25,0.00,-6.25
70,Finished,9 November 2020  7:30 AM,9 November 2020  7:43 AM,13 mins 25 secs,43.75,25.00,25.00,0.00,-6.25
194,Finished,9 November 2020  7:30 AM,9 November 2020  7:41 AM,10 mins 37 secs,-17.5,-5.00,-6.25,0.00,-6.25
80,Finished,9 November 2020  7:30 AM,9 November 2020  7:45 AM,14 mins 53 secs,12.5,25.00,-6.25,0.00,-6.25
191,Finished,9 November 2020  7:30 AM,9 November 2020  7:37 AM,6 mins 57 secs,12.5,25.00,-6.25,0.00,-6.25
21,Finished,9 November 2020  7:30 AM,9 November 2020  7:38 AM,7 mins 39 secs,13.75,-5.00,25.00,0.00,-6.25
2,Finished,9 November 2020  7:30 AM,9 November 2020  7:37 AM,6 mins 49 secs,-17.5,-5.00,-6.25,0.00,-6.25
441,Finished,9 November 2020  7:30 AM,9 November 2020  7:34 AM,4 mins 13 secs,-17.5,-5.00,-6.25,0.00,-6.25
132,Finished,9 November 2020  7:30 AM,9 November 2020  7:40 AM,10 mins 16 secs,13.75,-5.00,-6.25,0.00,25.00
136,Finished,9 November 2020  7:30 AM,9 November 2020  7:44 AM,14 mins 9 secs,43.75,25.00,25.00,0.00,-6.25
230,Finished,9 November 2020  7:30 AM,9 November 2020  7:34 AM,3 mins 50 secs,22.5,25.00,-6.25,10.00,-6.25
161,Finished,9 November 2020  7:30 AM,9 November 2020  7:45 AM,15 mins,43.75,25.00,25.00,0.00,-6.25
233,Finished,9 November 2020  7:30 AM,9 November 2020  7:40 AM,9 mins 50 secs,75.0,25.00,25.00,0.00,25.00
236,Finished,9 November 2020  7:30 AM,9 November 2020  7:40 AM,10 mins 10 secs,12.5,25.00,-6.25,0.00,-6.25
159,Finished,9 November 2020  7:30 AM,9 November 2020  7:43 AM,13 mins,53.75,25.00,-6.25,10.00,25.00
150,Finished,9 November 2020  7:30 AM,9 November 2020  7:45 AM,14 mins 59 secs,13.75,-5.00,25.00,0.00,-6.25
193,Finished,9 November 2020  7:30 AM,9 November 2020  7:39 AM,9 mins 11 secs,43.75,25.00,25.00,0.00,-6.25
176,Finished,9 November 2020  7:30 AM,9 November 2020  7:45 AM,14 mins 59 secs,22.5,25.00,-6.25,10.00,-6.25
181,Finished,9 November 2020  7:30 AM,9 November 2020  7:37 AM,6 mins 55 secs,45.0,-5.00,25.00,0.00,25.00
36,Finished,9 November 2020  7:30 AM,9 November 2020  7:45 AM,15 mins 7 secs,0.0,-,-,-,-
240,Finished,9 November 2020  7:30 AM,9 November 2020  7:41 AM,11 mins 4 secs,-17.5,-5.00,-6.25,0.00,-6.25
239,Finished,9 November 2020  7:30 AM,9 November 2020  7:42 AM,11 mins 49 secs,43.75,25.00,-6.25,0.00,25.00
29,Finished,9 November 2020  7:30 AM,9 November 2020  7:37 AM,6 mins 45 secs,12.5,25.00,-6.25,0.00,-6.25
12,Finished,9 November 2020  7:30 AM,9 November 2020  7:35 AM,5 mins 13 secs,13.75,-5.00,25.00,0.00,-6.25
111,Finished,9 November 2020  7:30 AM,9 November 2020  7:40 AM,10 mins 3 secs,75.0,25.00,25.00,0.00,25.00
