Email address,State,Started on,Completed,Time taken,Grade/100.00,Q. 1 /8.33,Q. 2 /8.33,Q. 3 /8.33,Q. 4 /8.33,Q. 5 /8.33,Q. 6 /8.33,Q. 7 /8.33,Q. 8 /8.33,Q. 9 /8.33,Q. 10 /8.33,Q. 11 /8.33,Q. 12 /8.33
1929,Finished,9 November 2020  7:30 AM,9 November 2020  8:10 AM,40 mins 1 sec,40.28,-2.08,8.33,8.33,8.33,-2.08,8.33,8.33,-2.08,-,-2.08,8.33,-1.39
1997,Finished,9 November 2020  7:30 AM,9 November 2020  7:38 AM,7 mins 42 secs,-3.47,-2.08,-2.08,-2.08,8.33,-2.08,8.33,-2.08,-2.08,-2.08,-2.08,-2.08,-1.39
69,Finished,9 November 2020  7:30 AM,9 November 2020  7:51 AM,20 mins 35 secs,27.78,-2.08,-2.08,8.33,8.33,-2.08,8.33,8.33,8.33,-2.08,-2.08,-2.08,-1.39
35,Finished,9 November 2020  7:30 AM,9 November 2020  7:52 AM,22 mins 11 secs,27.78,-2.08,-2.08,8.33,8.33,8.33,-2.08,-2.08,8.33,8.33,-2.08,-2.08,-1.39
386,Finished,9 November 2020  7:30 AM,9 November 2020  7:50 AM,19 mins 56 secs,38.19,-2.08,-2.08,8.33,8.33,8.33,8.33,8.33,-2.08,8.33,-2.08,-2.08,-1.39
2754,Finished,9 November 2020  7:30 AM,9 November 2020  8:08 AM,37 mins 17 secs,38.19,-2.08,8.33,8.33,8.33,-2.08,8.33,8.33,8.33,-2.08,-2.08,-2.08,-1.39
411,Finished,9 November 2020  7:31 AM,9 November 2020  7:59 AM,28 mins 26 secs,38.19,-2.08,8.33,8.33,8.33,-2.08,-2.08,8.33,8.33,8.33,-2.08,-2.08,-1.39
349,Finished,9 November 2020  7:31 AM,9 November 2020  7:51 AM,19 mins 48 secs,38.19,-2.08,-2.08,8.33,8.33,8.33,-2.08,-2.08,8.33,8.33,-2.08,8.33,-1.39
416,Finished,9 November 2020  7:31 AM,9 November 2020  7:43 AM,12 mins 26 secs,17.36,-2.08,-2.08,8.33,8.33,-2.08,8.33,8.33,-2.08,-2.08,-2.08,-2.08,-1.39
233,Finished,9 November 2020  7:31 AM,9 November 2020  8:05 AM,34 mins 8 secs,79.86,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,-2.08,8.33,-1.39
