Email address,State,Started on,Completed,Time taken,Grade/100.00,Q. 1 /6.67,Q. 2 /26.67,Q. 3 /6.67,Q. 4 /6.67,Q. 5 /6.67,Q. 6 /6.67,Q. 7 /6.67,Q. 8 /6.67,Q. 9 /6.67,Q. 10 /6.67,Q. 11 /6.67,Q. 12 /6.67
0,Finished,8 November 2020  7:37 AM,8 November 2020  8:17 AM,40 mins 1 sec,41.67,6.67,-,-1.67,6.67,6.67,6.67,6.67,0.00,6.67,3.33,0.00,-
1,Finished,8 November 2020  7:39 AM,8 November 2020  8:16 AM,37 mins,30.0,6.67,13.33,-1.67,3.33,-1.67,6.67,6.67,0.00,-1.67,0.00,0.00,-1.67
2,Finished,8 November 2020  7:41 AM,8 November 2020  8:23 AM,41 mins 31 secs,18.0,-,8.00,6.67,-,-1.67,-,-,-,-,6.67,-,-1.67
3,Finished,8 November 2020  7:47 AM,8 November 2020  8:08 AM,20 mins 33 secs,23.33,-1.67,13.33,-1.67,3.33,-1.67,0.00,6.67,0.00,6.67,0.00,0.00,-1.67
4,Finished,8 November 2020  7:48 AM,8 November 2020  8:08 AM,20 mins 15 secs,18.33,-1.67,13.33,-1.67,3.33,-1.67,0.00,0.00,1.67,6.67,0.00,0.00,-1.67
5,Finished,8 November 2020  7:50 AM,8 November 2020  8:19 AM,29 mins 33 secs,28.0,-1.67,8.00,-1.67,3.33,6.67,0.00,0.00,6.67,6.67,1.67,0.00,-1.67
6,Finished,8 November 2020  7:50 AM,8 November 2020  8:09 AM,19 mins 43 secs,3.33,-1.67,0.00,-1.67,3.33,-1.67,0.00,-,-,6.67,0.00,-,-1.67
7,Finished,8 November 2020  7:51 AM,8 November 2020  8:10 AM,19 mins 22 secs,26.67,6.67,0.00,-1.67,3.33,-1.67,0.00,0.00,3.33,6.67,3.33,0.00,6.67
8,Finished,8 November 2020  7:56 AM,8 November 2020  8:21 AM,24 mins 39 secs,58.33,6.67,26.67,-1.67,5.00,6.67,0.00,6.67,0.00,6.67,3.33,0.00,-1.67
9,Finished,8 November 2020  8:00 AM,8 November 2020  8:26 AM,26 mins 48 secs,28.33,6.67,0.00,-1.67,3.33,6.67,0.00,6.67,1.67,6.67,0.00,0.00,-1.67
10,Finished,8 November 2020  8:02 AM,8 November 2020  8:40 AM,37 mins 51 secs,73.0,6.67,8.00,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,-1.67
11,Finished,8 November 2020  8:07 AM,8 November 2020  8:35 AM,28 mins 20 secs,53.0,6.67,8.00,6.67,5.00,-1.67,6.67,6.67,3.33,6.67,6.67,0.00,-1.67
12,Finished,8 November 2020  8:08 AM,8 November 2020  8:33 AM,25 mins 56 secs,51.67,6.67,13.33,6.67,3.33,6.67,6.67,0.00,0.00,6.67,3.33,0.00,-1.67
13,Finished,8 November 2020  8:09 AM,8 November 2020  8:32 AM,23 mins 24 secs,40.0,-1.67,13.33,-1.67,3.33,-1.67,6.67,6.67,6.67,6.67,3.33,0.00,-1.67
3,Finished,8 November 2020  8:09 AM,8 November 2020  8:47 AM,38 mins 3 secs,58.33,6.67,13.33,6.67,3.33,6.67,0.00,6.67,6.67,6.67,3.33,0.00,-1.67
14,Finished,8 November 2020  8:12 AM,8 November 2020  8:54 AM,41 mins 58 secs,15.0,-1.67,0.00,6.67,3.33,-1.67,0.00,0.00,0.00,6.67,3.33,0.00,-1.67
15,Finished,8 November 2020  8:13 AM,8 November 2020  8:48 AM,34 mins 42 secs,51.67,6.67,13.33,-1.67,5.00,6.67,6.67,0.00,3.33,6.67,6.67,0.00,-1.67
16,Finished,8 November 2020  8:17 AM,8 November 2020  8:33 AM,16 mins 36 secs,35.0,-1.67,0.00,6.67,6.67,-1.67,6.67,6.67,0.00,6.67,6.67,0.00,-1.67
0,Finished,8 November 2020  8:18 AM,8 November 2020  8:47 AM,29 mins 11 secs,66.67,6.67,26.67,-1.67,6.67,-1.67,6.67,6.67,0.00,6.67,3.33,0.00,6.67
17,Finished,8 November 2020  8:19 AM,8 November 2020  9:01 AM,41 mins 23 secs,1.67,-1.67,0.00,6.67,0.00,-1.67,0.00,0.00,1.67,-1.67,0.00,0.00,-1.67
18,Finished,8 November 2020  8:20 AM,8 November 2020  8:50 AM,30 mins 28 secs,74.67,6.67,8.00,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,0.00,6.67
19,Finished,8 November 2020  8:20 AM,8 November 2020  9:02 AM,41 mins 34 secs,0.0,-,-,-,-,-,-,-,-,-,-,-,-
20,Finished,8 November 2020  8:20 AM,8 November 2020  8:58 AM,37 mins 26 secs,-5.0,-1.67,0.00,-1.67,3.33,-1.67,0.00,0.00,0.00,-1.67,0.00,0.00,-1.67
21,Finished,8 November 2020  8:21 AM,8 November 2020  8:46 AM,25 mins 40 secs,23.33,-1.67,0.00,6.67,3.33,6.67,0.00,0.00,0.00,-1.67,3.33,0.00,6.67
22,Finished,8 November 2020  8:26 AM,8 November 2020  8:37 AM,10 mins 50 secs,16.67,-1.67,0.00,-1.67,3.33,-1.67,6.67,6.67,0.00,6.67,0.00,0.00,-1.67
9,Finished,8 November 2020  8:27 AM,8 November 2020  9:09 AM,41 mins 57 secs,0.0,-,-,-,-,-,-,-,-,-,-,-,-
23,Finished,8 November 2020  8:30 AM,8 November 2020  8:47 AM,16 mins 25 secs,18.33,-1.67,0.00,6.67,3.33,6.67,0.00,0.00,6.67,-1.67,0.00,0.00,-1.67
24,Finished,8 November 2020  8:31 AM,8 November 2020  9:10 AM,39 mins 39 secs,44.67,6.67,8.00,6.67,3.33,-1.67,0.00,6.67,1.67,6.67,0.00,0.00,6.67
13,Finished,8 November 2020  8:34 AM,8 November 2020  9:05 AM,31 mins 45 secs,51.33,-1.67,8.00,6.67,3.33,6.67,6.67,6.67,6.67,6.67,3.33,0.00,-1.67
25,Finished,8 November 2020  8:34 AM,8 November 2020  9:14 AM,40 mins 2 secs,56.67,6.67,13.33,6.67,1.67,-1.67,0.00,6.67,3.33,6.67,6.67,0.00,6.67
26,Finished,8 November 2020  8:36 AM,8 November 2020  9:01 AM,25 mins 37 secs,11.67,-1.67,13.33,-1.67,3.33,-1.67,0.00,0.00,0.00,-1.67,3.33,0.00,-1.67
27,Finished,8 November 2020  8:36 AM,8 November 2020  9:16 AM,40 mins 1 sec,-1.67,-,0.00,-1.67,-,-,-,-,-,-,-,-,-
28,Finished,8 November 2020  8:36 AM,8 November 2020  9:01 AM,25 mins 1 sec,36.67,-1.67,13.33,-1.67,3.33,-1.67,6.67,6.67,0.00,-1.67,6.67,0.00,6.67
22,Finished,8 November 2020  8:37 AM,8 November 2020  8:41 AM,3 mins 11 secs,25.0,-1.67,0.00,6.67,3.33,-1.67,6.67,6.67,0.00,6.67,0.00,0.00,-1.67
29,Finished,8 November 2020  8:39 AM,8 November 2020  8:52 AM,12 mins 59 secs,53.0,6.67,21.33,-1.67,1.67,6.67,6.67,6.67,0.00,6.67,0.00,0.00,-1.67
30,Finished,8 November 2020  8:40 AM,8 November 2020  9:20 AM,40 mins,36.67,-1.67,13.33,6.67,3.33,-1.67,6.67,0.00,1.67,-1.67,3.33,0.00,6.67
31,Finished,8 November 2020  8:41 AM,8 November 2020  9:22 AM,41 mins,0.0,-,-,-,-,-,-,-,-,-,-,-,-
32,Finished,8 November 2020  8:44 AM,8 November 2020  9:20 AM,35 mins 57 secs,76.67,6.67,26.67,6.67,6.67,-1.67,6.67,6.67,6.67,6.67,6.67,0.00,-1.67
33,Finished,8 November 2020  8:44 AM,8 November 2020  9:05 AM,20 mins 52 secs,85.0,6.67,26.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,0.00,-1.67
34,Finished,8 November 2020  8:45 AM,8 November 2020  9:10 AM,24 mins 25 secs,28.33,6.67,13.33,-1.67,3.33,-1.67,0.00,0.00,0.00,-1.67,3.33,0.00,6.67
35,Finished,8 November 2020  8:45 AM,8 November 2020  9:27 AM,41 mins 4 secs,0.0,-,-,-,-,-,-,-,-,-,-,-,-
36,Finished,8 November 2020  8:46 AM,8 November 2020  9:02 AM,15 mins 53 secs,36.67,-1.67,0.00,6.67,3.33,6.67,6.67,6.67,0.00,6.67,3.33,0.00,-1.67
23,Finished,8 November 2020  8:47 AM,8 November 2020  9:29 AM,41 mins 46 secs,0.0,-,-,-,-,-,-,-,-,-,-,-,-
15,Finished,8 November 2020  8:48 AM,8 November 2020  8:52 AM,3 mins 43 secs,51.67,6.67,13.33,-1.67,5.00,6.67,6.67,0.00,3.33,6.67,6.67,0.00,-1.67
37,Finished,8 November 2020  8:49 AM,8 November 2020  9:18 AM,28 mins 58 secs,18.33,-1.67,0.00,6.67,3.33,6.67,0.00,0.00,6.67,-1.67,0.00,0.00,-1.67
38,Finished,8 November 2020  8:50 AM,8 November 2020  9:09 AM,19 mins 10 secs,20.0,6.67,13.33,-1.67,3.33,-1.67,0.00,0.00,0.00,-1.67,3.33,0.00,-1.67
39,Finished,8 November 2020  8:51 AM,8 November 2020  9:31 AM,40 mins,11.67,6.67,0.00,-1.67,0.00,-1.67,-,0.00,3.33,6.67,0.00,0.00,-1.67
40,Finished,8 November 2020  8:51 AM,8 November 2020  9:11 AM,20 mins 41 secs,53.33,6.67,13.33,-1.67,0.00,-1.67,6.67,6.67,6.67,6.67,3.33,0.00,6.67
41,Finished,8 November 2020  8:54 AM,8 November 2020  9:01 AM,7 mins 12 secs,5.0,-1.67,0.00,6.67,3.33,-1.67,0.00,0.00,1.67,-1.67,0.00,0.00,-1.67
42,Finished,8 November 2020  8:54 AM,8 November 2020  9:30 AM,35 mins 52 secs,46.67,6.67,13.33,6.67,3.33,-1.67,6.67,6.67,0.00,6.67,0.00,0.00,-1.67
43,Finished,8 November 2020  8:54 AM,8 November 2020  9:24 AM,29 mins 15 secs,55.0,6.67,0.00,-1.67,6.67,6.67,6.67,6.67,6.67,6.67,3.33,0.00,6.67
44,Finished,8 November 2020  8:54 AM,8 November 2020  9:15 AM,20 mins 19 secs,6.67,-1.67,0.00,-1.67,3.33,-1.67,0.00,0.00,0.00,6.67,3.33,0.00,-1.67
45,Finished,8 November 2020  8:57 AM,8 November 2020  9:33 AM,36 mins 4 secs,48.33,-1.67,0.00,6.67,6.67,6.67,0.00,6.67,3.33,6.67,6.67,0.00,6.67
20,Finished,8 November 2020  8:58 AM,8 November 2020  9:40 AM,41 mins 50 secs,0.0,-,-,-,-,-,-,-,-,-,-,-,-
