Email address,State,Started on,Completed,Time taken,Grade/100.00,Q. 1 /25.00,Q. 2 /25.00,Q. 3 /25.00,Q. 4 /25.00
434,Finished,9 November 2020  7:30 AM,9 November 2020  7:36 AM,6 mins 43 secs,23.75,-5.00,-6.25,10.00,25.00
100,Finished,9 November 2020  7:30 AM,9 November 2020  7:40 AM,10 mins 18 secs,53.75,25.00,25.00,10.00,-6.25
293,Finished,9 November 2020  7:30 AM,9 November 2020  7:37 AM,7 mins 39 secs,-17.5,-5.00,-6.25,0.00,-6.25
268,Finished,9 November 2020  7:30 AM,9 November 2020  7:37 AM,7 mins 34 secs,-17.5,-5.00,-6.25,0.00,-6.25
200,Finished,9 November 2020  7:30 AM,9 November 2020  7:37 AM,7 mins 36 secs,13.75,-5.00,-6.25,0.00,25.00
1884,Finished,9 November 2020  7:30 AM,9 November 2020  7:38 AM,8 mins 29 secs,38.75,-5.00,25.00,25.00,-6.25
1885,Finished,9 November 2020  7:30 AM,9 November 2020  7:34 AM,4 mins 8 secs,-17.5,-5.00,-6.25,0.00,-6.25
242,Finished,9 November 2020  7:30 AM,9 November 2020  7:45 AM,15 mins,-10.0,-5.00,-6.25,7.50,-6.25
449,Finished,9 November 2020  7:30 AM,9 November 2020  7:45 AM,15 mins,25.0,-,25.00,0.00,-
397,Finished,9 November 2020  7:30 AM,9 November 2020  7:39 AM,8 mins 46 secs,13.75,-5.00,25.00,0.00,-6.25
1886,Finished,9 November 2020  7:30 AM,9 November 2020  7:43 AM,13 mins 27 secs,53.75,25.00,25.00,10.00,-6.25
182,Finished,9 November 2020  7:30 AM,9 November 2020  7:36 AM,6 mins 32 secs,38.75,-5.00,-6.25,25.00,25.00
21,Finished,9 November 2020  7:30 AM,9 November 2020  7:34 AM,4 mins 22 secs,23.75,-5.00,-6.25,10.00,25.00
336,Finished,9 November 2020  7:30 AM,9 November 2020  7:43 AM,13 mins 10 secs,12.5,25.00,-6.25,0.00,-6.25
321,Finished,9 November 2020  7:30 AM,9 November 2020  7:40 AM,10 mins 18 secs,13.75,-5.00,25.00,0.00,-6.25
1887,Finished,9 November 2020  7:30 AM,9 November 2020  7:43 AM,12 mins 59 secs,22.5,25.00,-6.25,10.00,-6.25
317,Finished,9 November 2020  7:30 AM,9 November 2020  7:34 AM,4 mins 10 secs,55.0,-5.00,25.00,10.00,25.00
1888,Finished,9 November 2020  7:30 AM,9 November 2020  7:38 AM,7 mins 59 secs,23.75,-5.00,-6.25,10.00,25.00
440,Finished,9 November 2020  7:30 AM,9 November 2020  7:35 AM,5 mins 25 secs,23.75,-5.00,25.00,10.00,-6.25
13,Finished,9 November 2020  7:30 AM,9 November 2020  7:35 AM,4 mins 59 secs,56.25,25.00,25.00,12.50,-6.25
1889,Finished,9 November 2020  7:30 AM,9 November 2020  7:38 AM,7 mins 49 secs,75.0,25.00,25.00,0.00,25.00
0,Finished,9 November 2020  7:30 AM,9 November 2020  7:45 AM,15 mins 1 sec,-17.5,-5.00,-6.25,0.00,-6.25
301,Finished,9 November 2020  7:30 AM,9 November 2020  7:45 AM,14 mins 58 secs,53.75,25.00,25.00,10.00,-6.25
191,Finished,9 November 2020  7:30 AM,9 November 2020  7:37 AM,7 mins 7 secs,-17.5,-5.00,-6.25,0.00,-6.25
25,Finished,9 November 2020  7:30 AM,9 November 2020  7:41 AM,11 mins 20 secs,22.5,25.00,-6.25,10.00,-6.25
98,Finished,9 November 2020  7:30 AM,9 November 2020  7:36 AM,6 mins 27 secs,-17.5,-5.00,-6.25,0.00,-6.25
294,Finished,9 November 2020  7:30 AM,9 November 2020  7:41 AM,10 mins 34 secs,-17.5,-5.00,-6.25,0.00,-6.25
78,Finished,9 November 2020  7:30 AM,9 November 2020  7:45 AM,14 mins 44 secs,53.75,25.00,25.00,10.00,-6.25
1890,Finished,9 November 2020  7:30 AM,9 November 2020  7:45 AM,14 mins 58 secs,53.75,25.00,25.00,10.00,-6.25
52,Finished,9 November 2020  7:30 AM,9 November 2020  7:43 AM,12 mins 27 secs,-7.5,-5.00,-6.25,10.00,-6.25
422,Finished,9 November 2020  7:30 AM,9 November 2020  7:41 AM,11 mins 8 secs,22.5,25.00,-6.25,10.00,-6.25
1891,Finished,9 November 2020  7:30 AM,9 November 2020  7:42 AM,11 mins 33 secs,53.75,25.00,25.00,10.00,-6.25
68,Finished,9 November 2020  7:30 AM,9 November 2020  7:43 AM,13 mins 20 secs,37.5,25.00,-6.25,25.00,-6.25
334,Finished,9 November 2020  7:30 AM,9 November 2020  7:41 AM,10 mins 30 secs,13.75,-5.00,-6.25,0.00,25.00
1892,Finished,9 November 2020  7:30 AM,9 November 2020  7:40 AM,9 mins 29 secs,43.75,25.00,-6.25,0.00,25.00
284,Finished,9 November 2020  7:30 AM,9 November 2020  7:38 AM,7 mins 34 secs,-7.5,-5.00,-6.25,10.00,-6.25
372,Finished,9 November 2020  7:30 AM,9 November 2020  7:36 AM,5 mins 27 secs,-7.5,-5.00,-6.25,10.00,-6.25
1893,Finished,9 November 2020  7:30 AM,9 November 2020  7:38 AM,7 mins 42 secs,13.75,-5.00,25.00,0.00,-6.25
89,Finished,9 November 2020  7:30 AM,9 November 2020  7:36 AM,5 mins 45 secs,-7.5,-5.00,-6.25,10.00,-6.25
5,Finished,9 November 2020  7:30 AM,9 November 2020  7:39 AM,8 mins 45 secs,-7.5,-5.00,-6.25,10.00,-6.25
1894,Finished,9 November 2020  7:30 AM,9 November 2020  7:35 AM,4 mins 35 secs,-7.5,-5.00,-6.25,10.00,-6.25
139,Finished,9 November 2020  7:30 AM,9 November 2020  7:41 AM,10 mins 38 secs,85.0,25.00,25.00,10.00,25.00
1895,Finished,9 November 2020  7:30 AM,9 November 2020  7:38 AM,8 mins 7 secs,-7.5,-5.00,-6.25,10.00,-6.25
1896,Finished,9 November 2020  7:30 AM,9 November 2020  7:44 AM,13 mins 44 secs,-17.5,-5.00,-6.25,0.00,-6.25
272,Finished,9 November 2020  7:30 AM,9 November 2020  7:45 AM,15 mins 1 sec,-17.5,-5.00,-6.25,0.00,-6.25
1897,Finished,9 November 2020  7:30 AM,9 November 2020  7:43 AM,12 mins 34 secs,-17.5,-5.00,-6.25,0.00,-6.25
1898,Finished,9 November 2020  7:30 AM,9 November 2020  7:41 AM,10 mins 38 secs,23.75,-5.00,25.00,10.00,-6.25
1899,Finished,9 November 2020  7:30 AM,9 November 2020  7:39 AM,8 mins 56 secs,68.75,25.00,-6.25,25.00,25.00
30,Finished,9 November 2020  7:30 AM,9 November 2020  7:38 AM,7 mins 45 secs,7.5,-5.00,-6.25,25.00,-6.25
347,Finished,9 November 2020  7:30 AM,9 November 2020  7:34 AM,3 mins 49 secs,15.0,25.00,-6.25,2.50,-6.25
1900,Finished,9 November 2020  7:30 AM,9 November 2020  7:35 AM,5 mins 11 secs,-17.5,-5.00,-6.25,0.00,-6.25
441,Finished,9 November 2020  7:30 AM,9 November 2020  7:38 AM,7 mins 45 secs,-17.5,-5.00,-6.25,0.00,-6.25
125,Finished,9 November 2020  7:30 AM,9 November 2020  7:38 AM,7 mins 56 secs,-7.5,-5.00,-6.25,10.00,-6.25
12,Finished,9 November 2020  7:30 AM,9 November 2020  7:38 AM,7 mins 48 secs,13.75,-5.00,25.00,0.00,-6.25
421,Finished,9 November 2020  7:30 AM,9 November 2020  7:37 AM,7 mins 1 sec,23.75,-5.00,-6.25,10.00,25.00
1901,Finished,9 November 2020  7:30 AM,9 November 2020  7:44 AM,14 mins 10 secs,43.75,25.00,25.00,0.00,-6.25
467,Finished,9 November 2020  7:30 AM,9 November 2020  7:39 AM,8 mins 40 secs,-7.5,-5.00,-6.25,10.00,-6.25
207,Finished,9 November 2020  7:30 AM,9 November 2020  7:40 AM,9 mins 27 secs,-7.5,-5.00,-6.25,10.00,-6.25
1902,Finished,9 November 2020  7:30 AM,9 November 2020  7:47 AM,16 mins 16 secs,-11.25,-5.00,-,-,-6.25
1903,Finished,9 November 2020  7:30 AM,9 November 2020  7:35 AM,5 mins 4 secs,43.75,25.00,25.00,0.00,-6.25
24,Finished,9 November 2020  7:30 AM,9 November 2020  7:40 AM,9 mins 51 secs,53.75,25.00,25.00,10.00,-6.25
186,Finished,9 November 2020  7:30 AM,9 November 2020  7:36 AM,6 mins 2 secs,36.25,-5.00,-6.25,22.50,25.00
168,Finished,9 November 2020  7:30 AM,9 November 2020  7:45 AM,15 mins,-1.25,-5.00,-,10.00,-6.25
86,Finished,9 November 2020  7:30 AM,9 November 2020  7:38 AM,7 mins 35 secs,13.75,-5.00,25.00,0.00,-6.25
296,Finished,9 November 2020  7:30 AM,9 November 2020  7:40 AM,10 mins 2 secs,23.75,-5.00,25.00,10.00,-6.25
1904,Finished,9 November 2020  7:30 AM,9 November 2020  7:37 AM,6 mins 30 secs,13.75,-5.00,-6.25,0.00,25.00
90,Finished,9 November 2020  7:30 AM,9 November 2020  7:38 AM,7 mins 10 secs,23.75,-5.00,25.00,10.00,-6.25
459,Finished,9 November 2020  7:30 AM,9 November 2020  7:40 AM,9 mins 26 secs,22.5,25.00,-6.25,10.00,-6.25
