Email address,State,Started on,Completed,Time taken,Grade/100.00,Q. 1 /12.50,Q. 2 /12.50,Q. 3 /12.50,Q. 4 /12.50,Q. 5 /12.50,Q. 6 /12.50,Q. 7 /12.50,Q. 8 /12.50
0,Finished,9 November 2020  7:30 AM,9 November 2020  7:52 AM,21 mins 57 secs,9.38,12.50,12.50,-3.13,-3.13,0.00,-3.13,-3.13,-3.13
1,Finished,9 November 2020  7:30 AM,9 November 2020  8:02 AM,31 mins 28 secs,9.38,-3.13,12.50,-3.13,-3.13,0.00,12.50,-3.13,-3.13
2,Finished,9 November 2020  7:30 AM,9 November 2020  7:47 AM,16 mins 51 secs,78.13,12.50,12.50,12.50,12.50,6.25,12.50,-3.13,12.50
3,Finished,9 November 2020  7:30 AM,9 November 2020  7:48 AM,17 mins 54 secs,78.13,12.50,12.50,12.50,12.50,6.25,12.50,-3.13,12.50
4,Finished,9 November 2020  7:31 AM,9 November 2020  7:49 AM,18 mins 47 secs,25.0,-3.13,12.50,-3.13,12.50,0.00,12.50,-3.13,-3.13
5,Finished,9 November 2020  7:31 AM,9 November 2020  7:42 AM,11 mins 30 secs,40.63,12.50,12.50,-3.13,12.50,0.00,-3.13,-3.13,12.50
6,Finished,9 November 2020  7:32 AM,9 November 2020  7:52 AM,20 mins 1 sec,0.0,-3.13,-3.13,-3.13,-3.13,6.25,-3.13,-3.13,12.50
7,Finished,9 November 2020  7:34 AM,9 November 2020  7:47 AM,12 mins 48 secs,15.63,-3.13,12.50,-3.13,-3.13,6.25,-3.13,-3.13,12.50
8,Finished,9 November 2020  7:35 AM,9 November 2020  8:04 AM,29 mins 18 secs,84.38,12.50,12.50,12.50,12.50,12.50,12.50,-3.13,12.50
9,Finished,9 November 2020  7:35 AM,9 November 2020  7:54 AM,19 mins 8 secs,15.63,-3.13,12.50,-3.13,-3.13,6.25,12.50,-3.13,-3.13
10,Finished,9 November 2020  7:35 AM,9 November 2020  7:46 AM,10 mins 28 secs,40.63,12.50,12.50,-3.13,12.50,0.00,12.50,-3.13,-3.13
11,Finished,9 November 2020  7:35 AM,9 November 2020  7:49 AM,13 mins 46 secs,25.0,12.50,12.50,-3.13,-3.13,0.00,-3.13,-3.13,12.50
12,Finished,9 November 2020  7:36 AM,9 November 2020  7:43 AM,7 mins 8 secs,-6.25,-3.13,12.50,-3.13,-3.13,0.00,-3.13,-3.13,-3.13
13,Finished,9 November 2020  7:37 AM,9 November 2020  7:52 AM,14 mins 44 secs,56.25,12.50,12.50,-3.13,12.50,0.00,12.50,-3.13,12.50
14,Finished,9 November 2020  7:37 AM,9 November 2020  8:07 AM,29 mins 52 secs,62.5,-3.13,12.50,12.50,12.50,6.25,-3.13,12.50,12.50
15,Finished,9 November 2020  7:38 AM,9 November 2020  7:51 AM,13 mins 16 secs,40.63,12.50,12.50,-3.13,-3.13,0.00,12.50,-3.13,12.50
16,Finished,9 November 2020  7:38 AM,9 November 2020  7:53 AM,15 mins 42 secs,62.5,12.50,12.50,12.50,-3.13,6.25,12.50,-3.13,12.50
17,Finished,9 November 2020  7:38 AM,9 November 2020  7:50 AM,11 mins 59 secs,-15.63,-3.13,-3.13,-3.13,-3.13,6.25,-3.13,-3.13,-3.13
18,Finished,9 November 2020  7:38 AM,9 November 2020  7:53 AM,14 mins 49 secs,87.5,12.50,12.50,12.50,12.50,0.00,12.50,12.50,12.50
19,Finished,9 November 2020  7:38 AM,9 November 2020  7:50 AM,11 mins 56 secs,31.25,-3.13,12.50,-3.13,-3.13,6.25,12.50,-3.13,12.50
20,Finished,9 November 2020  7:38 AM,9 November 2020  7:59 AM,21 mins 1 sec,15.63,12.50,-3.13,-3.13,-3.13,6.25,-3.13,-3.13,12.50
21,Finished,9 November 2020  7:38 AM,9 November 2020  7:52 AM,13 mins 31 secs,62.5,12.50,12.50,12.50,-3.13,6.25,-3.13,12.50,12.50
22,Finished,9 November 2020  7:38 AM,9 November 2020  7:52 AM,13 mins 10 secs,25.0,-3.13,12.50,-3.13,12.50,0.00,-3.13,-3.13,12.50
23,Finished,9 November 2020  7:38 AM,9 November 2020  7:49 AM,10 mins 57 secs,56.25,12.50,12.50,12.50,12.50,0.00,-3.13,-3.13,12.50
24,Finished,9 November 2020  7:39 AM,9 November 2020  8:03 AM,24 mins 37 secs,62.5,12.50,12.50,12.50,12.50,6.25,-3.13,-3.13,12.50
