Email address,State,Started on,Completed,Time taken,Grade/100.00,Q. 1 /12.50,Q. 2 /12.50,Q. 3 /12.50,Q. 4 /12.50,Q. 5 /12.50,Q. 6 /12.50,Q. 7 /12.50,Q. 8 /12.50
126,Finished,8 November 2020  7:50 AM,8 November 2020  8:20 AM,30 mins 1 sec,37.5,6.25,0.00,-3.13,12.50,12.50,-3.13,0.00,12.50
318,Finished,8 November 2020  8:05 AM,8 November 2020  8:35 AM,30 mins 1 sec,43.75,12.50,0.00,-3.13,12.50,12.50,-3.13,0.00,12.50
246,Finished,8 November 2020  8:08 AM,8 November 2020  8:18 AM,9 mins 21 secs,46.88,12.50,3.13,-3.13,9.38,12.50,12.50,0.00,0.00
58,Finished,8 November 2020  8:10 AM,8 November 2020  8:27 AM,16 mins 48 secs,21.88,6.25,0.00,-3.13,9.38,12.50,-3.13,0.00,-
246,Finished,8 November 2020  8:18 AM,8 November 2020  8:50 AM,31 mins 50 secs,0.0,-,-,-,-,-,-,-,-
424,Finished,8 November 2020  8:24 AM,8 November 2020  8:36 AM,12 mins 21 secs,32.29,4.17,6.25,-3.13,0.00,12.50,12.50,0.00,0.00
105,Finished,8 November 2020  8:27 AM,8 November 2020  8:59 AM,31 mins 54 secs,78.13,12.50,3.13,12.50,12.50,12.50,12.50,-,12.50
126,Finished,8 November 2020  8:27 AM,8 November 2020  8:44 AM,17 mins 12 secs,81.25,12.50,9.38,-3.13,12.50,12.50,12.50,12.50,12.50
58,Finished,8 November 2020  8:28 AM,8 November 2020  8:41 AM,13 mins 5 secs,18.75,6.25,0.00,-3.13,6.25,12.50,-3.13,0.00,0.00
136,Finished,8 November 2020  8:34 AM,8 November 2020  9:04 AM,30 mins,51.04,4.17,0.00,12.50,12.50,12.50,-3.13,0.00,12.50
141,Finished,8 November 2020  8:36 AM,8 November 2020  9:01 AM,24 mins 25 secs,30.21,2.08,9.38,-3.13,12.50,12.50,-3.13,0.00,0.00
318,Finished,8 November 2020  8:36 AM,8 November 2020  8:49 AM,12 mins 43 secs,53.13,12.50,9.38,-3.13,12.50,12.50,-3.13,0.00,12.50
424,Finished,8 November 2020  8:37 AM,8 November 2020  8:40 AM,3 mins 43 secs,44.79,4.17,3.13,12.50,0.00,12.50,12.50,0.00,0.00
333,Finished,8 November 2020  8:38 AM,8 November 2020  8:51 AM,12 mins 59 secs,18.75,9.37,3.13,-3.13,0.00,12.50,-3.13,0.00,0.00
252,Finished,8 November 2020  8:43 AM,8 November 2020  9:15 AM,31 mins 51 secs,12.5,-,-,-,-,12.50,-,-,0.00
37,Finished,8 November 2020  8:44 AM,8 November 2020  9:00 AM,16 mins 6 secs,59.38,6.25,9.38,-3.13,12.50,12.50,-3.13,12.50,12.50
104,Finished,8 November 2020  8:47 AM,8 November 2020  9:03 AM,16 mins 11 secs,56.25,6.25,9.38,-3.13,6.25,12.50,12.50,0.00,12.50
54,Finished,8 November 2020  8:48 AM,8 November 2020  9:16 AM,27 mins 9 secs,28.13,0.00,9.38,-3.13,12.50,12.50,-3.13,0.00,0.00
69,Finished,8 November 2020  8:49 AM,8 November 2020  9:02 AM,12 mins 56 secs,10.42,4.17,0.00,12.50,0.00,-3.13,-3.13,0.00,0.00
425,Finished,8 November 2020  8:55 AM,8 November 2020  9:27 AM,31 mins 48 secs,12.5,12.50,-,-,-,-,-,-,-
268,Finished,8 November 2020  8:57 AM,8 November 2020  9:24 AM,27 mins 7 secs,0.0,0.00,3.13,-3.13,6.25,-3.13,-3.13,0.00,0.00
58,Finished,8 November 2020  9:00 AM,8 November 2020  9:14 AM,14 mins 48 secs,18.75,0.00,6.25,-3.13,6.25,12.50,-3.13,0.00,0.00
193,Finished,8 November 2020  9:02 AM,8 November 2020  9:22 AM,20 mins 3 secs,31.25,12.50,0.00,-3.13,12.50,12.50,-3.13,0.00,0.00
426,Finished,8 November 2020  9:02 AM,8 November 2020  9:34 AM,31 mins 3 secs,12.5,-,0.00,-,-,-,12.50,0.00,-
333,Finished,8 November 2020  9:03 AM,8 November 2020  9:11 AM,8 mins 12 secs,46.88,6.25,6.25,-3.13,12.50,12.50,12.50,0.00,0.00
400,Finished,8 November 2020  9:04 AM,8 November 2020  9:26 AM,21 mins 39 secs,21.88,0.00,3.13,-3.13,0.00,12.50,-3.13,0.00,12.50
136,Finished,8 November 2020  9:06 AM,8 November 2020  9:14 AM,8 mins 40 secs,54.17,4.17,3.13,12.50,12.50,12.50,-3.13,0.00,12.50
427,Finished,8 November 2020  9:09 AM,8 November 2020  9:36 AM,26 mins 36 secs,37.5,6.25,0.00,-3.13,12.50,12.50,-3.13,0.00,12.50
302,Finished,8 November 2020  9:09 AM,8 November 2020  9:29 AM,19 mins 46 secs,44.79,4.17,12.50,-3.13,6.25,12.50,12.50,0.00,0.00
226,Finished,8 November 2020  9:10 AM,8 November 2020  9:36 AM,25 mins 47 secs,46.88,12.50,0.00,12.50,0.00,12.50,-3.13,0.00,12.50
152,Finished,8 November 2020  9:10 AM,8 November 2020  9:29 AM,18 mins 39 secs,53.13,12.50,9.38,-3.13,12.50,12.50,-3.13,0.00,12.50
210,Finished,8 November 2020  9:11 AM,8 November 2020  9:30 AM,18 mins 22 secs,34.38,6.25,9.38,-3.13,12.50,12.50,-3.13,0.00,0.00
21,Finished,8 November 2020  9:13 AM,8 November 2020  9:21 AM,8 mins 13 secs,31.25,6.25,3.13,-3.13,0.00,12.50,12.50,0.00,0.00
121,Finished,8 November 2020  9:13 AM,8 November 2020  9:31 AM,18 mins 2 secs,46.88,6.25,3.13,12.50,6.25,12.50,-3.13,0.00,9.38
21,Finished,8 November 2020  9:21 AM,8 November 2020  9:25 AM,3 mins 13 secs,27.08,2.08,3.13,-3.13,0.00,12.50,12.50,0.00,0.00
181,Finished,8 November 2020  9:25 AM,8 November 2020  9:45 AM,19 mins 55 secs,46.88,6.25,9.38,-3.13,12.50,12.50,-3.13,0.00,12.50
193,Finished,8 November 2020  9:25 AM,8 November 2020  9:43 AM,18 mins 7 secs,50.0,12.50,3.13,-3.13,12.50,12.50,12.50,0.00,0.00
21,Finished,8 November 2020  9:28 AM,8 November 2020  9:33 AM,5 mins 21 secs,37.5,6.25,9.38,-3.13,0.00,12.50,12.50,0.00,0.00
0,Finished,8 November 2020  9:30 AM,8 November 2020  10:00 AM,30 mins,3.13,-,3.13,-,-,-,-,0.00,-
368,Finished,8 November 2020  9:30 AM,8 November 2020  9:47 AM,16 mins 11 secs,34.38,6.25,0.00,12.50,6.25,12.50,-3.13,0.00,0.00
79,Finished,8 November 2020  9:32 AM,8 November 2020  10:02 AM,30 mins,35.42,1.04,6.25,-3.13,6.25,12.50,12.50,0.00,0.00
48,Finished,8 November 2020  9:34 AM,8 November 2020  9:51 AM,16 mins 36 secs,56.25,6.25,3.13,-3.13,12.50,12.50,12.50,0.00,12.50
262,Finished,8 November 2020  9:35 AM,8 November 2020  9:56 AM,21 mins 2 secs,53.13,6.25,9.38,-3.13,3.13,12.50,12.50,0.00,12.50
152,Finished,8 November 2020  9:36 AM,8 November 2020  10:08 AM,31 mins 52 secs,46.88,12.50,3.13,-3.13,12.50,12.50,-3.13,0.00,12.50
121,Finished,8 November 2020  9:37 AM,8 November 2020  10:09 AM,31 mins 37 secs,0.0,-,-,-,-,-,-,-,-
