Email address,State,Started on,Completed,Time taken,Grade/100.00,Q. 1 /25.00,Q. 2 /25.00,Q. 3 /25.00,Q. 4 /25.00
107,Finished,9 November 2020  7:30 AM,9 November 2020  7:44 AM,14 mins 2 secs,22.5,-6.25,10.00,25.00,-6.25
14,Finished,9 November 2020  7:30 AM,9 November 2020  7:37 AM,7 mins 1 sec,75.0,25.00,0.00,25.00,25.00
109,Finished,9 November 2020  7:30 AM,9 November 2020  7:40 AM,10 mins 32 secs,43.75,-6.25,0.00,25.00,25.00
19,Finished,9 November 2020  7:30 AM,9 November 2020  7:36 AM,6 mins 29 secs,43.75,-6.25,0.00,25.00,25.00
48,Finished,9 November 2020  7:30 AM,9 November 2020  7:41 AM,11 mins 27 secs,75.0,25.00,0.00,25.00,25.00
106,Finished,9 November 2020  7:30 AM,9 November 2020  7:43 AM,12 mins 51 secs,43.75,-6.25,0.00,25.00,25.00
16,Finished,9 November 2020  7:30 AM,9 November 2020  7:37 AM,7 mins 17 secs,12.5,-6.25,0.00,25.00,-6.25
47,Finished,9 November 2020  7:30 AM,9 November 2020  7:41 AM,10 mins 55 secs,43.75,-6.25,0.00,25.00,25.00
104,Finished,9 November 2020  7:30 AM,9 November 2020  7:45 AM,14 mins 59 secs,43.75,-6.25,0.00,25.00,25.00
25,Finished,9 November 2020  7:30 AM,9 November 2020  7:47 AM,16 mins 27 secs,43.75,-6.25,0.00,25.00,25.00
21,Finished,9 November 2020  7:30 AM,9 November 2020  7:38 AM,7 mins 53 secs,12.5,-6.25,0.00,25.00,-6.25
65,Finished,9 November 2020  7:30 AM,9 November 2020  7:42 AM,12 mins 1 sec,43.75,-6.25,0.00,25.00,25.00
45,Finished,9 November 2020  7:30 AM,9 November 2020  7:41 AM,10 mins 53 secs,37.5,-6.25,25.00,25.00,-6.25
46,Finished,9 November 2020  7:30 AM,9 November 2020  7:41 AM,10 mins 33 secs,43.75,-6.25,0.00,25.00,25.00
78,Finished,9 November 2020  7:30 AM,9 November 2020  7:41 AM,11 mins,43.75,-6.25,0.00,25.00,25.00
85,Finished,9 November 2020  7:30 AM,9 November 2020  7:44 AM,13 mins 21 secs,12.5,-6.25,0.00,25.00,-6.25
30,Finished,9 November 2020  7:30 AM,9 November 2020  7:39 AM,8 mins 24 secs,53.75,-6.25,10.00,25.00,25.00
198,Finished,9 November 2020  7:30 AM,9 November 2020  7:35 AM,4 mins 49 secs,68.75,-6.25,25.00,25.00,25.00
101,Finished,9 November 2020  7:30 AM,9 November 2020  7:45 AM,14 mins 42 secs,43.75,-6.25,0.00,25.00,25.00
102,Finished,9 November 2020  7:30 AM,9 November 2020  7:45 AM,14 mins 8 secs,75.0,25.00,0.00,25.00,25.00
53,Finished,9 November 2020  7:30 AM,9 November 2020  7:41 AM,10 mins 44 secs,56.25,-6.25,12.50,25.00,25.00
59,Finished,9 November 2020  7:30 AM,9 November 2020  7:38 AM,7 mins 30 secs,43.75,-6.25,0.00,25.00,25.00
28,Finished,9 November 2020  7:31 AM,9 November 2020  7:39 AM,8 mins 43 secs,22.5,-6.25,10.00,25.00,-6.25
105,Finished,9 November 2020  7:31 AM,9 November 2020  7:45 AM,14 mins 32 secs,68.75,25.00,25.00,25.00,-6.25
86,Finished,9 November 2020  7:31 AM,9 November 2020  7:44 AM,13 mins 40 secs,75.0,25.00,0.00,25.00,25.00
91,Finished,9 November 2020  7:31 AM,9 November 2020  7:44 AM,13 mins 17 secs,75.0,25.00,0.00,25.00,25.00
62,Finished,9 November 2020  7:31 AM,9 November 2020  7:42 AM,11 mins 4 secs,75.0,25.00,0.00,25.00,25.00
185,Finished,9 November 2020  7:31 AM,9 November 2020  7:42 AM,11 mins 44 secs,53.75,-6.25,10.00,25.00,25.00
142,Finished,9 November 2020  7:31 AM,9 November 2020  7:46 AM,15 mins,75.0,25.00,0.00,25.00,25.00
15,Finished,9 November 2020  7:31 AM,9 November 2020  7:37 AM,6 mins 41 secs,12.5,-6.25,0.00,25.00,-6.25
60,Finished,9 November 2020  7:31 AM,9 November 2020  7:42 AM,11 mins 17 secs,43.75,-6.25,0.00,25.00,25.00
95,Finished,9 November 2020  7:31 AM,9 November 2020  7:44 AM,13 mins 11 secs,43.75,25.00,0.00,25.00,-6.25
92,Finished,9 November 2020  7:31 AM,9 November 2020  7:40 AM,9 mins 6 secs,75.0,25.00,0.00,25.00,25.00
138,Finished,9 November 2020  7:31 AM,9 November 2020  7:46 AM,15 mins,12.5,-6.25,0.00,25.00,-6.25
23,Finished,9 November 2020  7:31 AM,9 November 2020  7:38 AM,7 mins 22 secs,22.5,-6.25,10.00,25.00,-6.25
114,Finished,9 November 2020  7:31 AM,9 November 2020  7:46 AM,14 mins 51 secs,53.75,25.00,10.00,25.00,-6.25
94,Finished,9 November 2020  7:31 AM,9 November 2020  7:44 AM,12 mins 47 secs,43.75,-6.25,0.00,25.00,25.00
93,Finished,9 November 2020  7:31 AM,9 November 2020  7:43 AM,12 mins 4 secs,75.0,25.00,0.00,25.00,25.00
126,Finished,9 November 2020  7:31 AM,9 November 2020  7:46 AM,15 mins 19 secs,-2.5,-6.25,10.00,-,-6.25
113,Finished,9 November 2020  7:31 AM,9 November 2020  7:46 AM,15 mins,25.0,-,0.00,25.00,-
145,Finished,9 November 2020  7:31 AM,9 November 2020  7:45 AM,13 mins 29 secs,12.5,-6.25,0.00,25.00,-6.25
121,Finished,9 November 2020  7:31 AM,9 November 2020  7:43 AM,11 mins 46 secs,20.0,-6.25,7.50,25.00,-6.25
177,Finished,9 November 2020  7:31 AM,9 November 2020  7:46 AM,15 mins,50.0,-,25.00,25.00,-
82,Finished,9 November 2020  7:31 AM,9 November 2020  7:43 AM,12 mins 9 secs,12.5,-6.25,0.00,25.00,-6.25
13,Finished,9 November 2020  7:31 AM,9 November 2020  7:37 AM,5 mins 31 secs,53.75,-6.25,10.00,25.00,25.00
39,Finished,9 November 2020  7:31 AM,9 November 2020  7:41 AM,9 mins 28 secs,53.75,-6.25,10.00,25.00,25.00
54,Finished,9 November 2020  7:31 AM,9 November 2020  7:42 AM,10 mins 9 secs,43.75,-6.25,0.00,25.00,25.00
