Email address,State,Started on,Completed,Time taken,Grade/100.00,Q. 1 /12.50,Q. 2 /12.50,Q. 3 /12.50,Q. 4 /12.50,Q. 5 /12.50,Q. 6 /12.50,Q. 7 /12.50,Q. 8 /12.50
1649,Finished,9 November 2020  7:30 AM,9 November 2020  7:48 AM,18 mins 4 secs,46.88,12.50,12.50,12.50,12.50,6.25,-3.13,-3.13,-3.13
1618,Finished,9 November 2020  7:30 AM,9 November 2020  7:44 AM,14 mins 20 secs,46.88,12.50,12.50,-3.13,-3.13,6.25,12.50,-3.13,12.50
943,Finished,9 November 2020  7:30 AM,9 November 2020  7:39 AM,9 mins 1 sec,9.38,-3.13,12.50,12.50,-3.13,0.00,-3.13,-3.13,-3.13
2111,Finished,9 November 2020  7:30 AM,9 November 2020  7:32 AM,1 min 43 secs,0.0,12.50,-3.13,-3.13,-3.13,6.25,-3.13,-3.13,-3.13
1556,Finished,9 November 2020  7:31 AM,9 November 2020  7:41 AM,10 mins 3 secs,78.13,12.50,12.50,12.50,12.50,6.25,12.50,-3.13,12.50
2112,Finished,9 November 2020  7:31 AM,9 November 2020  7:55 AM,24 mins,46.88,12.50,12.50,-3.13,-3.13,6.25,12.50,-3.13,12.50
2113,Finished,9 November 2020  7:31 AM,9 November 2020  7:47 AM,16 mins 17 secs,93.75,12.50,12.50,12.50,12.50,6.25,12.50,12.50,12.50
1585,Finished,9 November 2020  7:31 AM,9 November 2020  7:46 AM,14 mins 51 secs,31.25,12.50,12.50,-3.13,12.50,6.25,-3.13,-3.13,-3.13
2114,Finished,9 November 2020  7:31 AM,9 November 2020  7:44 AM,13 mins 12 secs,31.25,-3.13,12.50,-3.13,-3.13,6.25,12.50,-3.13,12.50
997,Finished,9 November 2020  7:31 AM,9 November 2020  7:47 AM,16 mins 12 secs,93.75,12.50,12.50,12.50,12.50,6.25,12.50,12.50,12.50
1621,Finished,9 November 2020  7:31 AM,9 November 2020  7:52 AM,20 mins 27 secs,93.75,12.50,12.50,12.50,12.50,6.25,12.50,12.50,12.50
2115,Finished,9 November 2020  7:31 AM,9 November 2020  7:57 AM,25 mins 27 secs,40.63,12.50,12.50,-3.13,12.50,0.00,-3.13,-3.13,12.50
950,Finished,9 November 2020  7:31 AM,9 November 2020  7:51 AM,19 mins 11 secs,15.63,12.50,12.50,-3.13,-3.13,6.25,-3.13,-3.13,-3.13
1075,Finished,9 November 2020  7:31 AM,9 November 2020  7:52 AM,20 mins 31 secs,84.38,12.50,12.50,-3.13,12.50,12.50,12.50,12.50,12.50
1596,Finished,9 November 2020  7:32 AM,9 November 2020  7:46 AM,14 mins 2 secs,37.5,-3.13,12.50,-3.13,-3.13,12.50,12.50,-3.13,12.50
2116,Finished,9 November 2020  7:32 AM,9 November 2020  8:01 AM,29 mins 37 secs,62.5,12.50,12.50,12.50,-3.13,6.25,12.50,12.50,-3.13
2117,Finished,9 November 2020  7:32 AM,9 November 2020  8:01 AM,29 mins 42 secs,62.5,12.50,12.50,12.50,-3.13,6.25,12.50,12.50,-3.13
2118,Finished,9 November 2020  7:32 AM,9 November 2020  8:04 AM,31 mins 50 secs,46.88,-3.13,12.50,12.50,12.50,6.25,12.50,-3.13,-3.13
1668,Finished,9 November 2020  7:32 AM,9 November 2020  8:02 AM,29 mins 40 secs,62.5,12.50,12.50,12.50,-3.13,6.25,12.50,-3.13,12.50
2119,Finished,9 November 2020  7:32 AM,9 November 2020  8:00 AM,28 mins 2 secs,25.0,-3.13,12.50,12.50,-3.13,0.00,12.50,-3.13,-3.13
1646,Finished,9 November 2020  7:32 AM,9 November 2020  7:47 AM,14 mins 40 secs,62.5,12.50,12.50,12.50,12.50,6.25,-3.13,-3.13,12.50
2120,Finished,9 November 2020  7:32 AM,9 November 2020  7:56 AM,24 mins 17 secs,62.5,12.50,12.50,12.50,12.50,6.25,-3.13,-3.13,12.50
1652,Finished,9 November 2020  7:32 AM,9 November 2020  7:56 AM,24 mins 14 secs,40.63,12.50,12.50,12.50,-3.13,0.00,12.50,-3.13,-3.13
1604,Finished,9 November 2020  7:32 AM,9 November 2020  7:44 AM,11 mins 6 secs,31.25,-3.13,12.50,12.50,12.50,6.25,-3.13,-3.13,-3.13
1641,Finished,9 November 2020  7:32 AM,9 November 2020  7:51 AM,18 mins 21 secs,62.5,12.50,12.50,12.50,-3.13,6.25,12.50,-3.13,12.50
2121,Finished,9 November 2020  7:33 AM,9 November 2020  7:47 AM,14 mins 43 secs,25.0,12.50,12.50,-3.13,12.50,0.00,-3.13,-3.13,-3.13
1725,Finished,9 November 2020  7:33 AM,9 November 2020  7:40 AM,7 mins 23 secs,31.25,12.50,12.50,12.50,-3.13,6.25,-3.13,-3.13,-3.13
2122,Finished,9 November 2020  7:33 AM,9 November 2020  7:51 AM,18 mins 23 secs,62.5,12.50,12.50,12.50,-3.13,6.25,12.50,-3.13,12.50
1655,Finished,9 November 2020  7:33 AM,9 November 2020  7:56 AM,22 mins 37 secs,15.63,-3.13,12.50,12.50,-3.13,6.25,-3.13,-3.13,-3.13
1743,Finished,9 November 2020  7:33 AM,9 November 2020  7:56 AM,22 mins 45 secs,31.25,12.50,12.50,-3.13,-3.13,6.25,-3.13,-3.13,12.50
2123,Finished,9 November 2020  7:33 AM,9 November 2020  8:04 AM,30 mins 1 sec,62.5,12.50,12.50,12.50,12.50,6.25,-3.13,-3.13,12.50
2124,Finished,9 November 2020  7:34 AM,9 November 2020  8:04 AM,30 mins,50.0,-3.13,12.50,-,-3.13,6.25,12.50,12.50,12.50
994,Finished,9 November 2020  7:34 AM,9 November 2020  7:44 AM,10 mins 7 secs,46.88,12.50,12.50,-3.13,12.50,6.25,-3.13,-3.13,12.50
1055,Finished,9 November 2020  7:34 AM,9 November 2020  7:47 AM,12 mins 25 secs,40.63,12.50,12.50,-3.13,12.50,0.00,12.50,-3.13,-3.13
1263,Finished,9 November 2020  7:34 AM,9 November 2020  7:56 AM,21 mins 46 secs,78.13,12.50,12.50,12.50,12.50,6.25,-3.13,12.50,12.50
1067,Finished,9 November 2020  7:35 AM,9 November 2020  8:05 AM,30 mins 1 sec,31.25,-3.13,12.50,12.50,-3.13,6.25,-3.13,-3.13,12.50
1637,Finished,9 November 2020  7:35 AM,9 November 2020  7:55 AM,20 mins 11 secs,40.63,12.50,12.50,-3.13,-3.13,0.00,-3.13,12.50,12.50
2125,Finished,9 November 2020  7:35 AM,9 November 2020  8:05 AM,30 mins,62.5,12.50,12.50,-3.13,12.50,6.25,-3.13,12.50,12.50
938,Finished,9 November 2020  7:35 AM,9 November 2020  7:56 AM,21 mins 29 secs,93.75,12.50,12.50,12.50,12.50,6.25,12.50,12.50,12.50
939,Finished,9 November 2020  7:35 AM,9 November 2020  7:45 AM,10 mins,78.13,12.50,12.50,12.50,12.50,6.25,12.50,-3.13,12.50
1085,Finished,9 November 2020  7:35 AM,9 November 2020  7:47 AM,11 mins 37 secs,31.25,-3.13,12.50,-3.13,-3.13,6.25,12.50,-3.13,12.50
1093,Finished,9 November 2020  7:35 AM,9 November 2020  7:46 AM,10 mins 12 secs,25.0,-3.13,12.50,12.50,-3.13,0.00,-3.13,-3.13,12.50
2126,Finished,9 November 2020  7:35 AM,9 November 2020  7:49 AM,13 mins 33 secs,9.38,-3.13,12.50,-3.13,-3.13,0.00,-3.13,-3.13,12.50
1644,Finished,9 November 2020  7:36 AM,9 November 2020  7:55 AM,19 mins 56 secs,31.25,-3.13,12.50,12.50,-3.13,6.25,-3.13,-3.13,12.50
2127,Finished,9 November 2020  7:36 AM,9 November 2020  7:45 AM,9 mins 3 secs,40.63,-3.13,12.50,-3.13,12.50,0.00,12.50,-3.13,12.50
953,Finished,9 November 2020  7:36 AM,9 November 2020  7:52 AM,16 mins 6 secs,46.88,-3.13,12.50,12.50,-3.13,6.25,12.50,-3.13,12.50
983,Finished,9 November 2020  7:36 AM,9 November 2020  8:06 AM,30 mins,50.0,12.50,12.50,12.50,-3.13,6.25,-,-3.13,12.50
1084,Finished,9 November 2020  7:36 AM,9 November 2020  7:48 AM,12 mins 13 secs,78.13,12.50,12.50,12.50,12.50,6.25,12.50,-3.13,12.50
1137,Finished,9 November 2020  7:36 AM,9 November 2020  7:45 AM,9 mins 35 secs,25.0,-3.13,12.50,12.50,-3.13,0.00,12.50,-3.13,-3.13
966,Finished,9 November 2020  7:36 AM,9 November 2020  7:47 AM,11 mins 34 secs,25.0,-3.13,12.50,12.50,-3.13,0.00,-3.13,-3.13,12.50
978,Finished,9 November 2020  7:36 AM,9 November 2020  7:45 AM,9 mins 24 secs,53.13,12.50,12.50,-3.13,-3.13,12.50,12.50,-3.13,12.50
1047,Finished,9 November 2020  7:36 AM,9 November 2020  7:47 AM,11 mins 16 secs,40.63,-3.13,-3.13,12.50,12.50,0.00,12.50,-3.13,12.50
1081,Finished,9 November 2020  7:36 AM,9 November 2020  7:52 AM,15 mins 42 secs,46.88,-3.13,12.50,12.50,-3.13,6.25,12.50,-3.13,12.50
970,Finished,9 November 2020  7:36 AM,9 November 2020  7:45 AM,9 mins 17 secs,9.38,-3.13,12.50,-3.13,-3.13,0.00,12.50,-3.13,-3.13
