Email address,State,Started on,Completed,Time taken,Grade/100.00,Q. 1 /12.50,Q. 2 /12.50,Q. 3 /12.50,Q. 4 /12.50,Q. 5 /12.50,Q. 6 /12.50,Q. 7 /12.50,Q. 8 /12.50
0,Finished,11 November 2020  12:00 PM,11 November 2020  12:15 PM,15 mins 23 secs,68.75,0.00,12.50,6.25,12.50,12.50,12.50,12.50,0.00
1,Finished,11 November 2020  12:01 PM,11 November 2020  12:18 PM,16 mins 35 secs,87.5,12.50,12.50,12.50,12.50,12.50,12.50,12.50,0.00
2,Finished,11 November 2020  12:01 PM,11 November 2020  12:31 PM,30 mins 1 sec,50.0,12.50,-3.13,12.50,12.50,6.25,12.50,-3.13,0.00
3,Finished,11 November 2020  12:02 PM,11 November 2020  12:21 PM,19 mins 52 secs,62.5,3.13,-3.13,12.50,12.50,12.50,12.50,12.50,0.00
4,Finished,11 November 2020  12:02 PM,11 November 2020  12:18 PM,16 mins 39 secs,50.0,12.50,-3.13,12.50,12.50,6.25,12.50,-3.13,0.00
5,Finished,11 November 2020  12:02 PM,11 November 2020  12:32 PM,30 mins 1 sec,53.13,0.00,-3.13,6.25,12.50,12.50,12.50,12.50,0.00
6,Finished,11 November 2020  12:02 PM,11 November 2020  12:34 PM,31 mins 11 secs,10.42,6.25,-,4.17,-,-,-,-,-
7,Finished,11 November 2020  12:02 PM,11 November 2020  12:19 PM,16 mins 53 secs,47.92,3.13,-3.13,4.17,12.50,6.25,12.50,12.50,0.00
8,Finished,11 November 2020  12:03 PM,11 November 2020  12:14 PM,11 mins 27 secs,42.71,0.00,12.50,8.33,0.00,12.50,12.50,-3.13,0.00
9,Finished,11 November 2020  12:03 PM,11 November 2020  12:23 PM,20 mins 3 secs,75.0,12.50,12.50,12.50,0.00,12.50,12.50,12.50,0.00
10,Finished,11 November 2020  12:03 PM,11 November 2020  12:15 PM,11 mins 51 secs,62.5,0.00,12.50,6.25,12.50,6.25,12.50,12.50,0.00
11,Finished,11 November 2020  12:03 PM,11 November 2020  12:24 PM,21 mins 12 secs,59.38,0.00,-3.13,12.50,12.50,12.50,12.50,12.50,0.00
12,Finished,11 November 2020  12:03 PM,11 November 2020  12:20 PM,17 mins 26 secs,65.63,3.13,12.50,6.25,12.50,6.25,12.50,12.50,0.00
