Email address,State,Started on,Completed,Time taken,Grade/100.00,Q. 1 /25.00,Q. 2 /25.00,Q. 3 /25.00,Q. 4 /25.00
935,Finished,9 November 2020  7:30 AM,9 November 2020  7:43 AM,13 mins 33 secs,75.0,25.00,0.00,25.00,25.00
936,Finished,9 November 2020  7:30 AM,9 November 2020  7:41 AM,11 mins 8 secs,43.75,-6.25,0.00,25.00,25.00
937,Finished,9 November 2020  7:30 AM,9 November 2020  7:44 AM,14 mins 6 secs,85.0,25.00,10.00,25.00,25.00
938,Finished,9 November 2020  7:30 AM,9 November 2020  7:35 AM,5 mins 1 sec,37.5,-6.25,25.00,25.00,-6.25
939,Finished,9 November 2020  7:30 AM,9 November 2020  7:34 AM,4 mins 34 secs,80.0,25.00,5.00,25.00,25.00
940,Finished,9 November 2020  7:30 AM,9 November 2020  7:42 AM,12 mins 29 secs,85.0,25.00,10.00,25.00,25.00
941,Finished,9 November 2020  7:30 AM,9 November 2020  7:42 AM,12 mins 15 secs,68.75,-6.25,25.00,25.00,25.00
942,Finished,9 November 2020  7:30 AM,9 November 2020  7:37 AM,6 mins 48 secs,22.5,-6.25,10.00,25.00,-6.25
943,Finished,9 November 2020  7:30 AM,9 November 2020  7:47 AM,16 mins 42 secs,0.0,-,-,-,-
944,Finished,9 November 2020  7:30 AM,9 November 2020  7:38 AM,7 mins 54 secs,56.25,-6.25,12.50,25.00,25.00
945,Finished,9 November 2020  7:30 AM,9 November 2020  7:38 AM,7 mins 37 secs,75.0,25.00,0.00,25.00,25.00
946,Finished,9 November 2020  7:30 AM,9 November 2020  7:42 AM,11 mins 39 secs,85.0,25.00,10.00,25.00,25.00
947,Finished,9 November 2020  7:30 AM,9 November 2020  7:35 AM,5 mins 19 secs,43.75,-6.25,0.00,25.00,25.00
948,Finished,9 November 2020  7:30 AM,9 November 2020  7:42 AM,12 mins 19 secs,85.0,25.00,10.00,25.00,25.00
949,Finished,9 November 2020  7:30 AM,9 November 2020  7:39 AM,9 mins 15 secs,75.0,25.00,0.00,25.00,25.00
950,Finished,9 November 2020  7:30 AM,9 November 2020  7:47 AM,16 mins 37 secs,0.0,-,-,-,-
951,Finished,9 November 2020  7:30 AM,9 November 2020  7:39 AM,9 mins 27 secs,53.75,-6.25,10.00,25.00,25.00
952,Finished,9 November 2020  7:30 AM,9 November 2020  7:37 AM,7 mins 6 secs,53.75,-6.25,10.00,25.00,25.00
953,Finished,9 November 2020  7:30 AM,9 November 2020  7:35 AM,5 mins 10 secs,53.75,-6.25,10.00,25.00,25.00
954,Finished,9 November 2020  7:30 AM,9 November 2020  7:42 AM,12 mins 12 secs,53.75,-6.25,10.00,25.00,25.00
955,Finished,9 November 2020  7:30 AM,9 November 2020  7:47 AM,16 mins 35 secs,53.75,-6.25,10.00,25.00,25.00
956,Finished,9 November 2020  7:30 AM,9 November 2020  7:41 AM,11 mins 1 sec,53.75,-6.25,10.00,25.00,25.00
957,Finished,9 November 2020  7:30 AM,9 November 2020  7:40 AM,9 mins 59 secs,75.0,25.00,0.00,25.00,25.00
958,Finished,9 November 2020  7:30 AM,9 November 2020  7:45 AM,15 mins,62.5,25.00,12.50,25.00,-
959,Finished,9 November 2020  7:30 AM,9 November 2020  7:38 AM,8 mins 2 secs,22.5,-6.25,10.00,25.00,-6.25
960,Finished,9 November 2020  7:30 AM,9 November 2020  7:41 AM,11 mins 10 secs,43.75,-6.25,0.00,25.00,25.00
961,Finished,9 November 2020  7:30 AM,9 November 2020  7:42 AM,12 mins 13 secs,22.5,-6.25,10.00,25.00,-6.25
962,Finished,9 November 2020  7:30 AM,9 November 2020  7:43 AM,12 mins 31 secs,43.75,-6.25,0.00,25.00,25.00
963,Finished,9 November 2020  7:30 AM,9 November 2020  7:38 AM,8 mins 13 secs,75.0,25.00,0.00,25.00,25.00
964,Finished,9 November 2020  7:30 AM,9 November 2020  7:41 AM,11 mins 26 secs,22.5,-6.25,10.00,25.00,-6.25
965,Finished,9 November 2020  7:30 AM,9 November 2020  7:38 AM,7 mins 47 secs,53.75,-6.25,10.00,25.00,25.00
966,Finished,9 November 2020  7:30 AM,9 November 2020  7:35 AM,5 mins 16 secs,6.25,-6.25,25.00,-6.25,-6.25
967,Finished,9 November 2020  7:30 AM,9 November 2020  7:36 AM,6 mins 15 secs,56.25,-6.25,12.50,25.00,25.00
968,Finished,9 November 2020  7:30 AM,9 November 2020  7:43 AM,12 mins 25 secs,85.0,25.00,10.00,25.00,25.00
969,Finished,9 November 2020  7:30 AM,9 November 2020  7:36 AM,6 mins 15 secs,68.75,-6.25,25.00,25.00,25.00
970,Finished,9 November 2020  7:30 AM,9 November 2020  7:35 AM,5 mins 4 secs,22.5,-6.25,10.00,25.00,-6.25
971,Finished,9 November 2020  7:30 AM,9 November 2020  7:42 AM,12 mins 20 secs,85.0,25.00,10.00,25.00,25.00
972,Finished,9 November 2020  7:30 AM,9 November 2020  7:45 AM,15 mins 1 sec,28.75,25.00,10.00,-,-6.25
973,Finished,9 November 2020  7:30 AM,9 November 2020  7:40 AM,9 mins 37 secs,53.75,-6.25,10.00,25.00,25.00
974,Finished,9 November 2020  7:30 AM,9 November 2020  7:43 AM,12 mins 24 secs,43.75,-6.25,0.00,25.00,25.00
975,Finished,9 November 2020  7:30 AM,9 November 2020  7:38 AM,8 mins 5 secs,85.0,25.00,10.00,25.00,25.00
976,Finished,9 November 2020  7:30 AM,9 November 2020  7:36 AM,5 mins 46 secs,75.0,25.00,0.00,25.00,25.00
977,Finished,9 November 2020  7:30 AM,9 November 2020  7:36 AM,5 mins 48 secs,85.0,25.00,10.00,25.00,25.00
978,Finished,9 November 2020  7:30 AM,9 November 2020  7:36 AM,5 mins 28 secs,22.5,-6.25,10.00,-6.25,25.00
979,Finished,9 November 2020  7:30 AM,9 November 2020  7:39 AM,9 mins 16 secs,100.0,25.00,25.00,25.00,25.00
980,Finished,9 November 2020  7:30 AM,9 November 2020  7:42 AM,11 mins 35 secs,43.75,-6.25,0.00,25.00,25.00
981,Finished,9 November 2020  7:30 AM,9 November 2020  7:40 AM,10 mins 8 secs,43.75,-6.25,0.00,25.00,25.00
982,Finished,9 November 2020  7:30 AM,9 November 2020  7:45 AM,15 mins,50.0,25.00,0.00,-,25.00
983,Finished,9 November 2020  7:30 AM,9 November 2020  7:35 AM,5 mins 16 secs,53.75,-6.25,10.00,25.00,25.00
984,Finished,9 November 2020  7:30 AM,9 November 2020  7:40 AM,10 mins 2 secs,85.0,25.00,10.00,25.00,25.00
985,Finished,9 November 2020  7:30 AM,9 November 2020  7:43 AM,12 mins 35 secs,22.5,-6.25,10.00,25.00,-6.25
986,Finished,9 November 2020  7:30 AM,9 November 2020  7:40 AM,10 mins 3 secs,100.0,25.00,25.00,25.00,25.00
987,Finished,9 November 2020  7:30 AM,9 November 2020  7:37 AM,6 mins 33 secs,53.75,-6.25,10.00,25.00,25.00
988,Finished,9 November 2020  7:30 AM,9 November 2020  7:39 AM,8 mins 23 secs,22.5,-6.25,10.00,25.00,-6.25
989,Finished,9 November 2020  7:30 AM,9 November 2020  7:39 AM,9 mins 4 secs,75.0,25.00,0.00,25.00,25.00
990,Finished,9 November 2020  7:30 AM,9 November 2020  7:45 AM,15 mins 1 sec,85.0,25.00,10.00,25.00,25.00
991,Finished,9 November 2020  7:30 AM,9 November 2020  7:37 AM,6 mins 24 secs,53.75,-6.25,10.00,25.00,25.00
992,Finished,9 November 2020  7:30 AM,9 November 2020  7:39 AM,8 mins 49 secs,85.0,25.00,10.00,25.00,25.00
993,Finished,9 November 2020  7:30 AM,9 November 2020  7:45 AM,15 mins,75.0,25.00,0.00,25.00,25.00
994,Finished,9 November 2020  7:30 AM,9 November 2020  7:34 AM,3 mins 27 secs,25.0,-6.25,12.50,25.00,-6.25
995,Finished,9 November 2020  7:30 AM,9 November 2020  7:37 AM,6 mins 52 secs,85.0,25.00,10.00,25.00,25.00
996,Finished,9 November 2020  7:30 AM,9 November 2020  7:35 AM,4 mins 49 secs,12.5,-6.25,0.00,25.00,-6.25
997,Finished,9 November 2020  7:30 AM,9 November 2020  7:47 AM,16 mins 17 secs,0.0,-,-,-,-
998,Finished,9 November 2020  7:30 AM,9 November 2020  7:36 AM,5 mins 38 secs,53.75,-6.25,10.00,25.00,25.00
999,Finished,9 November 2020  7:30 AM,9 November 2020  7:38 AM,7 mins 15 secs,85.0,25.00,10.00,25.00,25.00
1000,Finished,9 November 2020  7:30 AM,9 November 2020  7:44 AM,13 mins 43 secs,75.0,25.00,0.00,25.00,25.00
1001,Finished,9 November 2020  7:30 AM,9 November 2020  7:47 AM,16 mins 16 secs,50.0,25.00,-,-,25.00
1002,Finished,9 November 2020  7:30 AM,9 November 2020  7:43 AM,12 mins 39 secs,53.75,-6.25,10.00,25.00,25.00
1003,Finished,9 November 2020  7:30 AM,9 November 2020  7:38 AM,7 mins 45 secs,22.5,-6.25,10.00,25.00,-6.25
1004,Finished,9 November 2020  7:30 AM,9 November 2020  7:36 AM,5 mins 43 secs,43.75,25.00,0.00,-6.25,25.00
1005,Finished,9 November 2020  7:30 AM,9 November 2020  7:39 AM,8 mins 41 secs,85.0,25.00,10.00,25.00,25.00
1006,Finished,9 November 2020  7:30 AM,9 November 2020  7:42 AM,11 mins 16 secs,85.0,25.00,10.00,25.00,25.00
1007,Finished,9 November 2020  7:30 AM,9 November 2020  7:42 AM,11 mins 22 secs,85.0,25.00,10.00,25.00,25.00
1008,Finished,9 November 2020  7:30 AM,9 November 2020  7:38 AM,7 mins 51 secs,85.0,25.00,10.00,25.00,25.00
1009,Finished,9 November 2020  7:30 AM,9 November 2020  7:43 AM,12 mins 23 secs,43.75,-6.25,0.00,25.00,25.00
1010,Finished,9 November 2020  7:30 AM,9 November 2020  7:39 AM,8 mins 32 secs,43.75,-6.25,0.00,25.00,25.00
1011,Finished,9 November 2020  7:30 AM,9 November 2020  7:44 AM,13 mins 23 secs,85.0,25.00,10.00,25.00,25.00
1012,Finished,9 November 2020  7:30 AM,9 November 2020  7:44 AM,13 mins 36 secs,53.75,-6.25,10.00,25.00,25.00
1013,Finished,9 November 2020  7:30 AM,9 November 2020  7:38 AM,7 mins 37 secs,75.0,25.00,0.00,25.00,25.00
1014,Finished,9 November 2020  7:30 AM,9 November 2020  7:37 AM,7 mins 5 secs,53.75,-6.25,10.00,25.00,25.00
1015,Finished,9 November 2020  7:30 AM,9 November 2020  7:37 AM,6 mins 56 secs,12.5,-6.25,0.00,25.00,-6.25
1016,Finished,9 November 2020  7:30 AM,9 November 2020  7:38 AM,7 mins 49 secs,85.0,25.00,10.00,25.00,25.00
1017,Finished,9 November 2020  7:30 AM,9 November 2020  7:39 AM,8 mins 42 secs,85.0,25.00,10.00,25.00,25.00
1018,Finished,9 November 2020  7:30 AM,9 November 2020  7:37 AM,7 mins 3 secs,85.0,25.00,10.00,25.00,25.00
1019,Finished,9 November 2020  7:30 AM,9 November 2020  7:37 AM,7 mins 2 secs,85.0,25.00,10.00,25.00,25.00
1020,Finished,9 November 2020  7:30 AM,9 November 2020  7:39 AM,8 mins 12 secs,43.75,-6.25,0.00,25.00,25.00
1021,Finished,9 November 2020  7:30 AM,9 November 2020  7:39 AM,8 mins 58 secs,43.75,-6.25,0.00,25.00,25.00
1022,Finished,9 November 2020  7:30 AM,9 November 2020  7:42 AM,12 mins,53.75,-6.25,10.00,25.00,25.00
1023,Finished,9 November 2020  7:30 AM,9 November 2020  7:38 AM,7 mins 43 secs,85.0,25.00,10.00,25.00,25.00
1024,Finished,9 November 2020  7:30 AM,9 November 2020  7:43 AM,12 mins 18 secs,85.0,25.00,10.00,25.00,25.00
1025,Finished,9 November 2020  7:30 AM,9 November 2020  7:43 AM,12 mins 19 secs,85.0,25.00,10.00,25.00,25.00
1026,Finished,9 November 2020  7:31 AM,9 November 2020  7:45 AM,14 mins 25 secs,22.5,-6.25,10.00,25.00,-6.25
1027,Finished,9 November 2020  7:31 AM,9 November 2020  7:37 AM,6 mins 34 secs,87.5,25.00,12.50,25.00,25.00
1028,Finished,9 November 2020  7:31 AM,9 November 2020  7:41 AM,10 mins 52 secs,85.0,25.00,10.00,25.00,25.00
1029,Finished,9 November 2020  7:31 AM,9 November 2020  7:37 AM,6 mins 30 secs,87.5,25.00,12.50,25.00,25.00
1030,Finished,9 November 2020  7:31 AM,9 November 2020  7:38 AM,7 mins 22 secs,53.75,-6.25,10.00,25.00,25.00
1031,Finished,9 November 2020  7:31 AM,9 November 2020  7:46 AM,15 mins,28.75,-,10.00,25.00,-6.25
1032,Finished,9 November 2020  7:31 AM,9 November 2020  7:44 AM,13 mins 34 secs,85.0,25.00,10.00,25.00,25.00
1033,Finished,9 November 2020  7:31 AM,9 November 2020  7:48 AM,16 mins 59 secs,43.75,-6.25,0.00,25.00,25.00
1034,Finished,9 November 2020  7:31 AM,9 November 2020  7:43 AM,12 mins 40 secs,22.5,-6.25,10.00,-6.25,25.00
1035,Finished,9 November 2020  7:31 AM,9 November 2020  7:38 AM,7 mins 41 secs,22.5,-6.25,10.00,25.00,-6.25
1036,Finished,9 November 2020  7:31 AM,9 November 2020  7:44 AM,13 mins 4 secs,85.0,25.00,10.00,25.00,25.00
1037,Finished,9 November 2020  7:31 AM,9 November 2020  7:40 AM,9 mins 42 secs,68.75,-6.25,25.00,25.00,25.00
1038,Finished,9 November 2020  7:31 AM,9 November 2020  7:38 AM,7 mins 54 secs,68.75,25.00,25.00,25.00,-6.25
1039,Finished,9 November 2020  7:31 AM,9 November 2020  7:39 AM,7 mins 59 secs,53.75,-6.25,10.00,25.00,25.00
1040,Finished,9 November 2020  7:31 AM,9 November 2020  7:41 AM,10 mins 26 secs,53.75,-6.25,10.00,25.00,25.00
1041,Finished,9 November 2020  7:31 AM,9 November 2020  7:46 AM,15 mins,50.0,25.00,-,-,25.00
1042,Finished,9 November 2020  7:31 AM,9 November 2020  7:39 AM,8 mins 47 secs,53.75,25.00,10.00,-6.25,25.00
1043,Finished,9 November 2020  7:31 AM,9 November 2020  7:46 AM,15 mins,25.0,-,0.00,-,25.00
1044,Finished,9 November 2020  7:31 AM,9 November 2020  7:40 AM,9 mins 12 secs,22.5,-6.25,10.00,25.00,-6.25
1045,Finished,9 November 2020  7:31 AM,9 November 2020  7:43 AM,12 mins 44 secs,85.0,25.00,10.00,25.00,25.00
1046,Finished,9 November 2020  7:31 AM,9 November 2020  7:41 AM,10 mins 13 secs,12.5,-6.25,0.00,25.00,-6.25
1047,Finished,9 November 2020  7:31 AM,9 November 2020  7:36 AM,5 mins 4 secs,12.5,-6.25,0.00,-6.25,25.00
1048,Finished,9 November 2020  7:31 AM,9 November 2020  7:38 AM,7 mins 8 secs,22.5,-6.25,10.00,25.00,-6.25
1049,Finished,9 November 2020  7:31 AM,9 November 2020  7:38 AM,7 mins 42 secs,75.0,25.00,0.00,25.00,25.00
1050,Finished,9 November 2020  7:31 AM,9 November 2020  7:39 AM,8 mins 48 secs,53.75,25.00,10.00,25.00,-6.25
1051,Finished,9 November 2020  7:31 AM,9 November 2020  7:36 AM,5 mins 38 secs,53.75,-6.25,10.00,25.00,25.00
1052,Finished,9 November 2020  7:31 AM,9 November 2020  7:39 AM,8 mins 15 secs,53.75,25.00,10.00,25.00,-6.25
1053,Finished,9 November 2020  7:31 AM,9 November 2020  7:38 AM,6 mins 54 secs,68.75,-6.25,25.00,25.00,25.00
1054,Finished,9 November 2020  7:31 AM,9 November 2020  7:45 AM,14 mins 6 secs,85.0,25.00,10.00,25.00,25.00
1055,Finished,9 November 2020  7:31 AM,9 November 2020  7:34 AM,3 mins 9 secs,12.5,-6.25,0.00,25.00,-6.25
1056,Finished,9 November 2020  7:31 AM,9 November 2020  7:38 AM,7 mins 44 secs,43.75,-6.25,0.00,25.00,25.00
1057,Finished,9 November 2020  7:31 AM,9 November 2020  7:40 AM,9 mins 27 secs,43.75,-6.25,0.00,25.00,25.00
1058,Finished,9 November 2020  7:31 AM,9 November 2020  7:40 AM,9 mins 6 secs,85.0,25.00,10.00,25.00,25.00
1059,Finished,9 November 2020  7:31 AM,9 November 2020  7:41 AM,10 mins 13 secs,75.0,25.00,0.00,25.00,25.00
1060,Finished,9 November 2020  7:31 AM,9 November 2020  7:41 AM,10 mins 36 secs,85.0,25.00,10.00,25.00,25.00
1061,Finished,9 November 2020  7:31 AM,9 November 2020  7:44 AM,13 mins 17 secs,85.0,25.00,10.00,25.00,25.00
1062,Finished,9 November 2020  7:31 AM,9 November 2020  7:42 AM,10 mins 45 secs,12.5,25.00,0.00,-6.25,-6.25
1063,Finished,9 November 2020  7:31 AM,9 November 2020  7:39 AM,7 mins 47 secs,85.0,25.00,10.00,25.00,25.00
1064,Finished,9 November 2020  7:31 AM,9 November 2020  7:35 AM,4 mins 23 secs,43.75,-6.25,0.00,25.00,25.00
1065,Finished,9 November 2020  7:31 AM,9 November 2020  7:38 AM,7 mins 1 sec,53.75,-6.25,10.00,25.00,25.00
1066,Finished,9 November 2020  7:31 AM,9 November 2020  7:44 AM,12 mins 56 secs,-18.75,-6.25,0.00,-6.25,-6.25
1067,Finished,9 November 2020  7:31 AM,9 November 2020  7:33 AM,2 mins 6 secs,48.75,25.00,5.00,25.00,-6.25
1068,Finished,9 November 2020  7:31 AM,9 November 2020  7:45 AM,13 mins 51 secs,53.75,-6.25,10.00,25.00,25.00
1069,Finished,9 November 2020  7:31 AM,9 November 2020  7:42 AM,11 mins 27 secs,85.0,25.00,10.00,25.00,25.00
1070,Finished,9 November 2020  7:31 AM,9 November 2020  7:37 AM,6 mins 4 secs,43.75,-6.25,0.00,25.00,25.00
1071,Finished,9 November 2020  7:31 AM,9 November 2020  7:46 AM,15 mins,60.0,-,10.00,25.00,25.00
1072,Finished,9 November 2020  7:31 AM,9 November 2020  7:46 AM,15 mins 1 sec,35.0,25.00,10.00,-,-
1073,Finished,9 November 2020  7:31 AM,9 November 2020  7:44 AM,13 mins 31 secs,53.75,25.00,10.00,25.00,-6.25
1074,Finished,9 November 2020  7:31 AM,9 November 2020  7:41 AM,10 mins 26 secs,53.75,-6.25,10.00,25.00,25.00
1075,Finished,9 November 2020  7:31 AM,9 November 2020  7:48 AM,16 mins 41 secs,0.0,-,-,-,-
1076,Finished,9 November 2020  7:31 AM,9 November 2020  7:44 AM,13 mins 16 secs,53.75,-6.25,10.00,25.00,25.00
1077,Finished,9 November 2020  7:31 AM,9 November 2020  7:40 AM,9 mins 11 secs,53.75,-6.25,10.00,25.00,25.00
1078,Finished,9 November 2020  7:31 AM,9 November 2020  7:42 AM,10 mins 47 secs,53.75,-6.25,10.00,25.00,25.00
1079,Finished,9 November 2020  7:31 AM,9 November 2020  7:44 AM,13 mins 17 secs,85.0,25.00,10.00,25.00,25.00
1080,Finished,9 November 2020  7:31 AM,9 November 2020  7:39 AM,8 mins 31 secs,53.75,-6.25,10.00,25.00,25.00
1081,Finished,9 November 2020  7:31 AM,9 November 2020  7:35 AM,4 mins 12 secs,22.5,-6.25,10.00,25.00,-6.25
1082,Finished,9 November 2020  7:31 AM,9 November 2020  7:48 AM,16 mins 39 secs,22.5,-6.25,10.00,25.00,-6.25
1083,Finished,9 November 2020  7:31 AM,9 November 2020  7:37 AM,5 mins 58 secs,12.5,-6.25,0.00,25.00,-6.25
1084,Finished,9 November 2020  7:31 AM,9 November 2020  7:35 AM,3 mins 53 secs,85.0,25.00,10.00,25.00,25.00
1085,Finished,9 November 2020  7:31 AM,9 November 2020  7:35 AM,4 mins 7 secs,12.5,-6.25,0.00,25.00,-6.25
1086,Finished,9 November 2020  7:31 AM,9 November 2020  7:38 AM,6 mins 53 secs,37.5,-6.25,25.00,25.00,-6.25
1087,Finished,9 November 2020  7:31 AM,9 November 2020  7:41 AM,9 mins 51 secs,85.0,25.00,10.00,25.00,25.00
1088,Finished,9 November 2020  7:31 AM,9 November 2020  7:46 AM,15 mins,28.75,-6.25,10.00,25.00,-
1089,Finished,9 November 2020  7:31 AM,9 November 2020  7:38 AM,6 mins 37 secs,43.75,-6.25,0.00,25.00,25.00
1090,Finished,9 November 2020  7:31 AM,9 November 2020  7:42 AM,10 mins 48 secs,85.0,25.00,10.00,25.00,25.00
1091,Finished,9 November 2020  7:31 AM,9 November 2020  7:41 AM,10 mins 4 secs,85.0,25.00,10.00,25.00,25.00
1092,Finished,9 November 2020  7:31 AM,9 November 2020  7:40 AM,9 mins 13 secs,85.0,25.00,10.00,25.00,25.00
1093,Finished,9 November 2020  7:31 AM,9 November 2020  7:34 AM,3 mins 14 secs,43.75,25.00,0.00,25.00,-6.25
1094,Finished,9 November 2020  7:31 AM,9 November 2020  7:41 AM,10 mins 13 secs,100.0,25.00,25.00,25.00,25.00
1095,Finished,9 November 2020  7:31 AM,9 November 2020  7:44 AM,12 mins 59 secs,53.75,-6.25,10.00,25.00,25.00
