Email address,State,Started on,Completed,Time taken,Grade/100.00,Q. 1 /6.67,Q. 2 /6.67,Q. 3 /6.67,Q. 4 /6.67,Q. 5 /6.67,Q. 6 /6.67,Q. 7 /6.67,Q. 8 /6.67,Q. 9 /6.67,Q. 10 /6.67,Q. 11 /6.67,Q. 12 /6.67,Q. 13 /6.67,Q. 14 /6.67,Q. 15 /6.67
383,Finished,11 November 2021  8:00 AM,11 November 2021  8:44 AM,44 mins 34 secs,19.22,6.67,-1.33,6.67,-1.67,-1.11,-1.67,-1.67,6.67,6.67,0.00,0.00,0.00,0.00,0.00,0.00
384,Finished,11 November 2021  8:00 AM,11 November 2021  8:44 AM,44 mins 13 secs,19.22,-1.67,-1.33,6.67,6.67,-1.11,-1.67,6.67,-,-1.67,-,0.00,0.00,-,0.00,6.67
385,Finished,11 November 2021  8:00 AM,11 November 2021  8:45 AM,45 mins 1 sec,2.56,-,-1.33,-,-,-1.11,-,-,6.67,-1.67,-,0.00,0.00,0.00,-,0.00
386,Finished,11 November 2021  8:00 AM,11 November 2021  8:29 AM,29 mins 18 secs,18.89,-1.67,6.67,6.67,6.67,-1.11,-1.67,6.67,-1.67,-1.67,0.00,0.00,0.00,0.00,0.00,0.00
387,Finished,11 November 2021  8:00 AM,11 November 2021  8:45 AM,44 mins 56 secs,41.67,6.67,6.67,6.67,-1.67,6.67,-1.67,-1.67,6.67,6.67,-,-,-,0.00,0.00,6.67
388,Finished,11 November 2021  8:00 AM,11 November 2021  8:45 AM,45 mins,2.0,-1.67,-1.33,-,-,-,-,-,6.67,-1.67,0.00,0.00,0.00,-,-,-
389,Finished,11 November 2021  8:00 AM,11 November 2021  8:42 AM,41 mins 44 secs,27.22,6.67,6.67,-1.67,6.67,-1.11,-1.67,-1.67,6.67,6.67,0.00,0.00,0.00,0.00,0.00,0.00
390,Finished,11 November 2021  8:00 AM,11 November 2021  8:45 AM,45 mins,58.33,6.67,6.67,6.67,6.67,6.67,-1.67,6.67,6.67,6.67,-,0.00,-,0.00,0.00,6.67
391,Finished,11 November 2021  8:00 AM,11 November 2021  8:45 AM,44 mins 58 secs,33.33,6.67,6.67,6.67,-1.67,6.67,-1.67,-1.67,-1.67,6.67,-,0.00,-,0.00,-,6.67
392,Finished,11 November 2021  8:00 AM,11 November 2021  8:45 AM,45 mins 1 sec,10.89,6.67,-1.33,-1.67,-1.67,-1.11,6.67,6.67,-1.67,-1.67,0.00,0.00,0.00,0.00,0.00,0.00
393,Finished,11 November 2021  8:00 AM,11 November 2021  8:45 AM,45 mins,28.67,6.67,-1.33,-1.67,-,6.67,-1.67,6.67,-,6.67,-,-,-,0.00,0.00,6.67
394,Finished,11 November 2021  8:00 AM,11 November 2021  8:45 AM,45 mins 1 sec,0.0,-1.67,-,-1.67,-,6.67,-,-1.67,-1.67,-,-,0.00,-,-,-,-
395,Finished,11 November 2021  8:00 AM,11 November 2021  8:45 AM,45 mins 1 sec,40.89,6.67,-1.33,6.67,6.67,-1.11,-1.67,6.67,6.67,-1.67,0.00,0.00,0.00,6.67,0.00,6.67
396,Finished,11 November 2021  8:00 AM,11 November 2021  8:45 AM,44 mins 39 secs,41.67,6.67,6.67,-1.67,6.67,6.67,-1.67,6.67,6.67,-1.67,0.00,0.00,0.00,6.67,0.00,0.00
