Email address,State,Started on,Completed,Time taken,Grade/100.00,Q. 1 /6.67,Q. 2 /6.67,Q. 3 /6.67,Q. 4 /6.67,Q. 5 /6.67,Q. 6 /6.67,Q. 7 /6.67,Q. 8 /6.67,Q. 9 /6.67,Q. 10 /6.67,Q. 11 /6.67,Q. 12 /6.67,Q. 13 /6.67,Q. 14 /6.67,Q. 15 /6.67
0,Finished,13 November 2021  8:00 AM,13 November 2021  8:44 AM,44 mins 16 secs,-14.11,-1.67,-1.33,-1.67,-1.67,-1.11,-1.67,-1.67,-1.67,-1.67,0.00,0.00,0.00,0.00,0.00,0.00
1,Finished,13 November 2021  8:00 AM,13 November 2021  8:21 AM,20 mins 40 secs,18.89,-1.67,6.67,6.67,6.67,-1.11,6.67,-1.67,-1.67,-1.67,0.00,0.00,0.00,0.00,0.00,0.00
2,Finished,13 November 2021  8:00 AM,13 November 2021  8:18 AM,17 mins 29 secs,18.67,-1.67,-1.33,-1.67,6.67,6.67,6.67,-1.67,6.67,-1.67,0.00,0.00,0.00,0.00,0.00,0.00
3,Finished,13 November 2021  8:00 AM,13 November 2021  8:45 AM,44 mins 56 secs,43.67,6.67,-1.33,-1.67,6.67,6.67,6.67,6.67,6.67,6.67,0.00,0.00,0.00,0.00,0.00,0.00
4,Finished,13 November 2021  8:01 AM,13 November 2021  8:42 AM,41 mins 28 secs,35.89,6.67,-1.33,6.67,6.67,-1.11,6.67,-1.67,6.67,6.67,0.00,0.00,0.00,0.00,0.00,0.00
5,Finished,13 November 2021  8:01 AM,13 November 2021  8:43 AM,41 mins 25 secs,34.22,6.67,-1.33,6.67,-1.67,-1.11,6.67,-1.67,6.67,6.67,0.00,0.00,0.00,0.00,0.00,6.67
6,Finished,13 November 2021  8:02 AM,13 November 2021  8:47 AM,44 mins 59 secs,36.67,-,-,6.67,6.67,6.67,-,-1.67,6.67,-1.67,-,0.00,-,6.67,-,6.67
7,Finished,13 November 2021  8:02 AM,13 November 2021  8:45 AM,43 mins 23 secs,25.33,-1.67,-1.33,6.67,-1.67,6.67,-1.67,6.67,6.67,-1.67,6.67,0.00,0.00,0.00,0.00,0.00
8,Finished,13 November 2021  8:02 AM,13 November 2021  8:47 AM,45 mins,30.33,-,-1.33,6.67,-,6.67,-1.67,6.67,-,6.67,6.67,0.00,-,-,0.00,-
9,Finished,13 November 2021  8:02 AM,13 November 2021  8:45 AM,43 mins 23 secs,25.33,-1.67,-1.33,6.67,-1.67,6.67,-1.67,6.67,6.67,-1.67,6.67,0.00,0.00,0.00,0.00,0.00
