Email address,State,Started on,Completed,Time taken,Grade/100.00,Q. 1 /6.67,Q. 2 /6.67,Q. 3 /6.67,Q. 4 /6.67,Q. 5 /6.67,Q. 6 /6.67,Q. 7 /6.67,Q. 8 /6.67,Q. 9 /6.67,Q. 10 /6.67,Q. 11 /6.67,Q. 12 /6.67,Q. 13 /6.67,Q. 14 /6.67,Q. 15 /6.67
0,Finished,10 November 2021  8:00 AM,10 November 2021  8:45 AM,44 mins 41 secs,28.67,-1.67,-1.67,-1.67,6.67,6.67,-1.67,6.67,6.67,6.67,-1.33,6.67,-1.67,-1.67,0.00,0.00
1,Finished,10 November 2021  8:00 AM,10 November 2021  8:45 AM,44 mins 59 secs,42.0,6.67,-1.67,-1.67,6.67,6.67,-1.67,6.67,6.67,-1.67,-1.33,6.67,-1.67,-1.67,6.67,6.67
2,Finished,10 November 2021  8:00 AM,10 November 2021  8:45 AM,44 mins 23 secs,43.33,-1.67,-1.67,-1.67,6.67,6.67,-1.67,6.67,6.67,-1.67,6.67,6.67,6.67,-1.67,0.00,6.67
3,Finished,10 November 2021  8:01 AM,10 November 2021  8:46 AM,45 mins,53.67,6.67,-,-1.67,6.67,6.67,6.67,6.67,6.67,6.67,-1.33,6.67,-1.67,-1.67,0.00,6.67
4,Finished,10 November 2021  8:02 AM,10 November 2021  8:47 AM,45 mins,76.67,-1.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,-1.67,6.67,6.67,-,6.67,6.67,6.67
5,Finished,10 November 2021  8:03 AM,10 November 2021  8:48 AM,45 mins,30.33,6.67,-1.67,-1.67,6.67,-1.33,6.67,6.67,6.67,-,6.67,-1.67,-1.67,-1.67,-,0.00
6,Finished,10 November 2021  8:04 AM,10 November 2021  8:35 AM,31 mins 8 secs,4.0,-1.67,6.67,-1.67,6.67,-1.33,-1.67,-1.67,-1.67,-1.67,-1.33,6.67,-1.67,-1.67,0.00,0.00
7,Finished,10 November 2021  8:04 AM,10 November 2021  8:45 AM,41 mins 11 secs,45.0,6.67,-1.67,-1.67,6.67,6.67,-1.67,6.67,6.67,6.67,6.67,6.67,-1.67,-1.67,0.00,0.00
8,Finished,10 November 2021  8:04 AM,10 November 2021  8:47 AM,42 mins 51 secs,45.33,6.67,6.67,-1.67,6.67,6.67,6.67,6.67,6.67,-1.67,-1.33,-1.67,6.67,-1.67,0.00,0.00
9,Finished,10 November 2021  8:04 AM,10 November 2021  8:49 AM,45 mins,38.67,-1.67,-,6.67,6.67,6.67,6.67,6.67,6.67,-1.67,-1.33,6.67,-1.67,-1.67,0.00,0.00
