Email address,State,Started on,Completed,Time taken,Grade/100.00,Q. 1 /20.00,Q. 2 /20.00,Q. 3 /20.00,Q. 4 /20.00,Q. 5 /20.00
0,Finished,6 November 2021  7:44 AM,6 November 2021  8:03 AM,19 mins 7 secs,35.0,20.00,-5.00,20.00,-,0.00
1,Finished,6 November 2021  8:09 AM,6 November 2021  8:41 AM,31 mins 37 secs,60.0,20.00,20.00,20.00,0.00,0.00
2,Finished,6 November 2021  8:19 AM,6 November 2021  8:40 AM,20 mins 13 secs,35.0,20.00,20.00,-5.00,0.00,0.00
3,Finished,6 November 2021  8:21 AM,6 November 2021  8:32 AM,11 mins 17 secs,35.0,20.00,20.00,-5.00,0.00,0.00
4,Finished,6 November 2021  8:23 AM,6 November 2021  9:02 AM,39 mins 14 secs,80.0,20.00,20.00,20.00,20.00,0.00
5,Finished,6 November 2021  8:23 AM,6 November 2021  9:23 AM,59 mins 38 secs,31.67,16.67,20.00,-5.00,0.00,-
6,Finished,6 November 2021  8:24 AM,6 November 2021  8:40 AM,16 mins 9 secs,0.0,0.00,-,-,-,-
7,Finished,6 November 2021  8:25 AM,6 November 2021  9:03 AM,37 mins 25 secs,80.0,20.00,20.00,20.00,20.00,0.00
8,Finished,6 November 2021  8:26 AM,6 November 2021  8:43 AM,16 mins 55 secs,35.0,20.00,20.00,-5.00,0.00,0.00
9,Finished,6 November 2021  8:26 AM,6 November 2021  8:44 AM,17 mins 23 secs,35.0,20.00,20.00,-5.00,0.00,0.00
10,Finished,6 November 2021  8:29 AM,6 November 2021  8:55 AM,26 mins 5 secs,60.0,20.00,20.00,20.00,0.00,0.00
11,Finished,6 November 2021  8:33 AM,6 November 2021  8:45 AM,12 mins,21.67,6.67,20.00,-5.00,0.00,0.00
12,Finished,6 November 2021  8:33 AM,6 November 2021  8:44 AM,10 mins 27 secs,35.0,20.00,20.00,-5.00,0.00,0.00
13,Finished,6 November 2021  8:37 AM,6 November 2021  9:12 AM,34 mins 43 secs,80.0,20.00,20.00,20.00,20.00,0.00
14,Finished,6 November 2021  8:38 AM,6 November 2021  8:50 AM,12 mins 7 secs,80.0,20.00,20.00,20.00,20.00,0.00
15,Finished,6 November 2021  8:38 AM,6 November 2021  8:47 AM,9 mins 12 secs,15.0,0.00,-5.00,20.00,0.00,0.00
16,Finished,6 November 2021  8:40 AM,6 November 2021  9:42 AM,1 hour 1 min,0.0,-,-,-,-,-
17,Finished,6 November 2021  8:41 AM,6 November 2021  9:15 AM,34 mins 32 secs,60.0,20.00,20.00,20.00,0.00,0.00
18,Finished,6 November 2021  8:41 AM,6 November 2021  8:54 AM,13 mins 32 secs,10.0,20.00,-5.00,-5.00,0.00,0.00
19,Finished,6 November 2021  8:45 AM,6 November 2021  9:12 AM,27 mins 27 secs,80.0,20.00,20.00,20.00,20.00,0.00
20,Finished,6 November 2021  8:46 AM,6 November 2021  9:28 AM,42 mins 11 secs,35.0,20.00,-5.00,20.00,0.00,0.00
21,Finished,6 November 2021  8:51 AM,6 November 2021  9:38 AM,46 mins 50 secs,30.0,20.00,-5.00,-5.00,20.00,0.00
22,Finished,6 November 2021  8:54 AM,6 November 2021  9:21 AM,26 mins 50 secs,80.0,20.00,20.00,20.00,20.00,0.00
23,Finished,6 November 2021  8:56 AM,6 November 2021  9:18 AM,21 mins 28 secs,31.67,16.67,-5.00,20.00,0.00,0.00
24,Finished,6 November 2021  8:57 AM,6 November 2021  9:41 AM,43 mins 57 secs,0.0,10.00,-5.00,-5.00,0.00,0.00
25,Finished,6 November 2021  8:57 AM,6 November 2021  9:07 AM,10 mins 4 secs,25.0,10.00,20.00,-5.00,0.00,0.00
26,Finished,6 November 2021  8:58 AM,6 November 2021  9:12 AM,13 mins 40 secs,60.0,20.00,20.00,20.00,0.00,0.00
27,Finished,6 November 2021  8:58 AM,6 November 2021  9:37 AM,38 mins 44 secs,80.0,20.00,20.00,20.00,20.00,0.00
28,Finished,6 November 2021  8:59 AM,6 November 2021  9:13 AM,13 mins 54 secs,-3.33,6.67,-5.00,-5.00,0.00,0.00
29,Finished,6 November 2021  9:00 AM,6 November 2021  9:19 AM,19 mins 52 secs,60.0,20.00,20.00,20.00,0.00,0.00
30,Finished,6 November 2021  9:00 AM,6 November 2021  9:30 AM,30 mins 5 secs,55.0,20.00,-5.00,20.00,20.00,0.00
31,Finished,6 November 2021  9:00 AM,6 November 2021  9:20 AM,20 mins 6 secs,80.0,20.00,20.00,20.00,20.00,0.00
32,Finished,6 November 2021  9:00 AM,6 November 2021  9:18 AM,18 mins 49 secs,31.67,16.67,20.00,-5.00,0.00,0.00
33,Finished,6 November 2021  9:00 AM,6 November 2021  9:31 AM,30 mins 48 secs,60.0,20.00,20.00,20.00,0.00,0.00
34,Finished,6 November 2021  9:00 AM,6 November 2021  10:00 AM,1 hour,53.33,13.33,20.00,20.00,0.00,-
35,Finished,6 November 2021  9:00 AM,6 November 2021  9:05 AM,4 mins 29 secs,25.0,10.00,20.00,-5.00,0.00,0.00
36,Finished,6 November 2021  9:00 AM,6 November 2021  9:26 AM,25 mins 47 secs,60.0,20.00,20.00,20.00,0.00,0.00
37,Finished,6 November 2021  9:00 AM,6 November 2021  9:38 AM,37 mins 43 secs,46.67,6.67,20.00,20.00,0.00,0.00
38,Finished,6 November 2021  9:00 AM,6 November 2021  9:23 AM,22 mins 34 secs,80.0,20.00,20.00,20.00,20.00,0.00
39,Finished,6 November 2021  9:00 AM,6 November 2021  9:48 AM,48 mins 10 secs,55.0,20.00,20.00,-5.00,20.00,0.00
40,Finished,6 November 2021  9:00 AM,6 November 2021  9:26 AM,25 mins 16 secs,51.67,16.67,20.00,-5.00,20.00,0.00
41,Finished,6 November 2021  9:00 AM,6 November 2021  9:40 AM,39 mins 13 secs,80.0,20.00,20.00,20.00,20.00,0.00
42,Finished,6 November 2021  9:00 AM,6 November 2021  9:19 AM,19 mins 3 secs,35.0,20.00,20.00,-5.00,0.00,0.00
43,Finished,6 November 2021  9:00 AM,6 November 2021  9:19 AM,19 mins 5 secs,60.0,20.00,20.00,20.00,0.00,0.00
