Email address,State,Started on,Completed,Time taken,Grade/100.00,Q. 1 /6.67,Q. 2 /6.67,Q. 3 /6.67,Q. 4 /6.67,Q. 5 /6.67,Q. 6 /6.67,Q. 7 /6.67,Q. 8 /6.67,Q. 9 /6.67,Q. 10 /6.67,Q. 11 /6.67,Q. 12 /6.67,Q. 13 /6.67,Q. 14 /6.67,Q. 15 /6.67
9963,Finished,13 November 2021  8:00 AM,13 November 2021  8:21 AM,21 mins 20 secs,20.67,-1.67,-1.67,6.67,6.67,-1.33,-1.67,-1.67,-1.67,-1.67,-1.33,6.67,6.67,6.67,0.00,0.00
3580,Finished,13 November 2021  8:00 AM,13 November 2021  8:29 AM,29 mins 20 secs,27.33,-1.67,-1.67,6.67,6.67,-1.33,6.67,-1.67,6.67,-1.67,-1.33,-1.67,6.67,-1.67,0.00,6.67
5269,Finished,13 November 2021  8:00 AM,13 November 2021  8:43 AM,43 mins 28 secs,36.67,-1.67,6.67,-1.67,6.67,6.67,-1.67,6.67,6.67,6.67,6.67,-1.67,-1.67,-1.67,0.00,0.00
5592,Finished,13 November 2021  8:00 AM,13 November 2021  8:44 AM,44 mins 7 secs,50.67,-1.67,6.67,-1.67,6.67,-1.33,6.67,6.67,6.67,-1.67,-1.33,6.67,6.67,-1.67,6.67,6.67
9964,Finished,13 November 2021  8:00 AM,13 November 2021  8:44 AM,43 mins 43 secs,37.0,-1.67,6.67,-1.67,6.67,6.67,-1.67,6.67,6.67,6.67,-1.33,6.67,-1.67,-1.67,0.00,0.00
9965,Finished,13 November 2021  8:00 AM,13 November 2021  8:41 AM,41 mins 24 secs,2.33,-1.67,-1.67,-1.67,-1.67,-1.33,-1.67,-1.67,6.67,-1.67,-1.33,6.67,-1.67,-1.67,0.00,6.67
3596,Finished,13 November 2021  8:00 AM,13 November 2021  8:42 AM,41 mins 58 secs,35.33,-1.67,-1.67,-1.67,6.67,6.67,-1.67,6.67,6.67,-1.67,-1.33,6.67,6.67,-1.67,0.00,6.67
4332,Finished,13 November 2021  8:00 AM,13 November 2021  8:44 AM,43 mins 31 secs,43.67,-1.67,6.67,-1.67,6.67,6.67,-1.67,6.67,6.67,6.67,-1.33,-1.67,6.67,-1.67,6.67,0.00
9966,Finished,13 November 2021  8:00 AM,13 November 2021  8:45 AM,45 mins,43.67,6.67,-1.67,6.67,-1.67,6.67,6.67,6.67,6.67,-1.67,-1.33,6.67,-1.67,-1.67,6.67,0.00
5265,Finished,13 November 2021  8:01 AM,13 November 2021  8:45 AM,44 mins 16 secs,28.67,-1.67,-1.67,6.67,6.67,6.67,-1.67,6.67,6.67,-1.67,-1.33,6.67,-1.67,-1.67,0.00,0.00
3456,Finished,13 November 2021  8:01 AM,13 November 2021  8:47 AM,45 mins 2 secs,12.0,-1.67,-1.67,-1.67,6.67,-1.33,-1.67,-1.67,6.67,-1.67,6.67,6.67,-1.67,-1.67,0.00,0.00
6064,Finished,13 November 2021  8:02 AM,13 November 2021  8:43 AM,40 mins 50 secs,60.0,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,-1.67,6.67,-1.67,-1.67,-1.67,0.00,6.67
6284,Finished,13 November 2021  8:02 AM,13 November 2021  8:41 AM,39 mins 28 secs,10.67,-1.67,-1.67,-1.67,6.67,-1.33,-1.67,6.67,6.67,-1.67,-1.33,-1.67,-1.67,-1.67,0.00,6.67
9967,Finished,13 November 2021  8:02 AM,13 November 2021  8:42 AM,39 mins 47 secs,45.33,6.67,-1.67,6.67,6.67,6.67,6.67,6.67,6.67,-1.67,-1.33,6.67,-1.67,-1.67,0.00,0.00
9968,Finished,13 November 2021  8:03 AM,13 November 2021  8:48 AM,45 mins 50 secs,-1.67,-,-,-,-,-,-,-,-,-,-,-1.67,-,-,0.00,-
6373,Finished,13 November 2021  8:03 AM,13 November 2021  8:48 AM,45 mins 1 sec,70.0,6.67,-,6.67,6.67,6.67,6.67,6.67,6.67,-1.67,6.67,6.67,-1.67,6.67,0.00,6.67
5602,Finished,13 November 2021  8:03 AM,13 November 2021  8:46 AM,42 mins 39 secs,4.0,-1.67,-1.67,-1.67,-1.67,-1.33,6.67,6.67,6.67,-1.67,-1.33,-1.67,-1.67,-1.67,0.00,0.00
9969,Finished,13 November 2021  8:03 AM,13 November 2021  8:48 AM,45 mins,60.33,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,-1.67,-1.33,6.67,-1.67,-1.67,0.00,6.67
1405,Finished,13 November 2021  8:03 AM,13 November 2021  8:24 AM,20 mins 34 secs,-4.67,-1.67,-1.67,-1.67,-1.67,-1.33,-1.67,-1.67,6.67,-1.67,6.67,-1.67,-1.67,-1.67,0.00,0.00
9970,Finished,13 November 2021  8:03 AM,13 November 2021  8:40 AM,36 mins 41 secs,53.33,-1.67,6.67,-1.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,-1.67,-1.67,0.00,0.00
9971,Finished,13 November 2021  8:03 AM,13 November 2021  8:12 AM,8 mins 38 secs,-21.0,-1.67,-1.67,-1.67,-1.67,-1.33,-1.67,-1.67,-1.67,-1.67,-1.33,-1.67,-1.67,-1.67,0.00,0.00
9972,Finished,13 November 2021  8:04 AM,13 November 2021  8:46 AM,42 mins 23 secs,4.0,-1.67,-1.67,-1.67,-1.67,-1.33,-1.67,-1.67,6.67,6.67,-1.33,-1.67,-1.67,6.67,0.00,0.00
9973,Finished,13 November 2021  8:04 AM,13 November 2021  8:21 AM,16 mins 44 secs,-4.33,-1.67,-1.67,-1.67,-1.67,-1.33,-1.67,-1.67,6.67,-1.67,-1.33,6.67,-1.67,-1.67,0.00,0.00
6205,Finished,13 November 2021  8:04 AM,13 November 2021  8:15 AM,11 mins 14 secs,4.0,-1.67,-1.67,-1.67,-1.67,-1.33,6.67,-1.67,6.67,6.67,-1.33,-1.67,-1.67,-1.67,0.00,0.00
9974,Finished,13 November 2021  8:04 AM,13 November 2021  8:49 AM,45 mins 1 sec,12.33,-1.67,-1.67,6.67,-1.67,-1.33,-1.67,-1.67,6.67,-1.67,-1.33,6.67,-1.67,6.67,0.00,0.00
9975,Finished,13 November 2021  8:04 AM,13 November 2021  8:49 AM,44 mins 43 secs,45.33,-,-1.67,-1.67,6.67,6.67,6.67,6.67,6.67,-1.67,-1.33,6.67,-1.67,6.67,-,6.67
2206,Finished,13 November 2021  8:04 AM,13 November 2021  8:32 AM,27 mins 59 secs,-4.33,-1.67,-1.67,-1.67,-1.67,-1.33,-1.67,6.67,6.67,-1.67,-1.33,-1.67,-1.67,-1.67,0.00,0.00
1892,Finished,13 November 2021  8:05 AM,13 November 2021  8:36 AM,30 mins 44 secs,37.0,-1.67,-1.67,-1.67,6.67,-1.33,-1.67,6.67,6.67,6.67,6.67,6.67,-1.67,6.67,0.00,0.00
