Email address,State,Started on,Completed,Time taken,Grade/100.00,Q. 1 /8.33,Q. 2 /8.33,Q. 3 /8.33,Q. 4 /8.33,Q. 5 /8.33,Q. 6 /8.33,Q. 7 /8.33,Q. 8 /8.33,Q. 9 /8.33,Q. 10 /8.33,Q. 11 /8.33,Q. 12 /8.33
2,Finished,9 November 2021  8:01 AM,9 November 2021  8:26 AM,25 mins 12 secs,15.97,-2.08,-2.78,-2.08,-2.08,8.33,8.33,-2.08,-2.08,-2.08,-2.08,8.33,8.33
3,Finished,9 November 2021  8:01 AM,9 November 2021  8:28 AM,26 mins 38 secs,47.92,-2.08,8.33,-2.08,8.33,8.33,8.33,-2.08,-2.08,8.33,8.33,-2.08,8.33
4,Finished,9 November 2021  8:02 AM,9 November 2021  8:38 AM,35 mins 30 secs,57.64,-2.08,-2.78,8.33,8.33,8.33,8.33,8.33,-2.08,8.33,8.33,8.33,-2.08
5,Finished,9 November 2021  8:03 AM,9 November 2021  8:34 AM,30 mins 34 secs,68.06,-2.08,-2.78,8.33,8.33,8.33,8.33,8.33,8.33,8.33,-2.08,8.33,8.33
6,Finished,9 November 2021  8:03 AM,9 November 2021  8:26 AM,23 mins 1 sec,57.64,8.33,-2.78,8.33,8.33,8.33,-2.08,-2.08,-2.08,8.33,8.33,8.33,8.33
7,Finished,9 November 2021  8:04 AM,9 November 2021  8:36 AM,32 mins 7 secs,37.22,8.33,-2.78,8.33,8.33,-1.67,-2.08,-2.08,-2.08,8.33,8.33,8.33,-2.08
8,Finished,9 November 2021  8:07 AM,9 November 2021  8:27 AM,19 mins 51 secs,48.33,-2.08,8.33,8.33,8.33,-1.67,8.33,8.33,-2.08,8.33,-2.08,8.33,-2.08
9,Finished,9 November 2021  8:07 AM,9 November 2021  8:23 AM,16 mins 2 secs,47.22,8.33,-2.78,-2.08,8.33,8.33,8.33,8.33,-2.08,8.33,-2.08,-2.08,8.33
10,Finished,9 November 2021  8:07 AM,9 November 2021  8:32 AM,24 mins 55 secs,47.92,-2.08,8.33,8.33,8.33,8.33,-2.08,8.33,-2.08,8.33,-2.08,8.33,-2.08
11,Finished,9 November 2021  8:07 AM,9 November 2021  8:40 AM,32 mins 9 secs,68.06,8.33,-2.78,8.33,8.33,8.33,8.33,-2.08,8.33,8.33,8.33,8.33,-2.08
12,Finished,9 November 2021  8:08 AM,9 November 2021  8:47 AM,39 mins 53 secs,27.5,-2.08,8.33,-2.08,-2.08,-1.67,8.33,8.33,-2.08,8.33,-2.08,8.33,-2.08
