Email address,State,Started on,Completed,Time taken,Grade/100.00,Q. 1 /8.33,Q. 2 /8.33,Q. 3 /8.33,Q. 4 /8.33,Q. 5 /8.33,Q. 6 /8.33,Q. 7 /8.33,Q. 8 /8.33,Q. 9 /8.33,Q. 10 /8.33,Q. 11 /8.33,Q. 12 /8.33
0,Finished,13 November 2021  8:01 AM,13 November 2021  8:32 AM,31 mins 3 secs,37.22,8.33,-2.08,-2.78,8.33,-2.08,-1.67,8.33,-2.08,8.33,8.33,8.33,-2.08
1,Finished,13 November 2021  8:01 AM,13 November 2021  8:40 AM,39 mins 18 secs,26.39,8.33,-2.08,-2.78,8.33,-2.08,8.33,-2.08,8.33,-2.08,8.33,-2.08,-2.08
2,Finished,13 November 2021  8:02 AM,13 November 2021  8:03 AM,1 min 53 secs,6.25,-2.08,-2.08,8.33,-2.08,-2.08,8.33,8.33,-2.08,-2.08,-2.08,-2.08,-2.08
3,Finished,13 November 2021  8:03 AM,13 November 2021  8:20 AM,17 mins 18 secs,48.33,-2.08,-2.08,8.33,8.33,8.33,-1.67,8.33,-2.08,-2.08,8.33,8.33,8.33
4,Finished,13 November 2021  8:04 AM,13 November 2021  8:17 AM,12 mins 58 secs,-14.86,-2.08,-2.08,-2.78,-2.08,-2.08,-1.67,8.33,-2.08,-2.08,-2.08,-2.08,-2.08
5,Finished,13 November 2021  8:04 AM,13 November 2021  8:17 AM,13 mins 1 sec,6.67,-2.08,-2.08,8.33,-2.08,-2.08,-1.67,8.33,8.33,-2.08,-2.08,-2.08,-2.08
6,Finished,13 November 2021  8:05 AM,13 November 2021  8:19 AM,13 mins 15 secs,27.08,-2.08,8.33,8.33,-2.08,-2.08,8.33,8.33,-2.08,8.33,-2.08,-2.08,-2.08
7,Finished,13 November 2021  8:07 AM,13 November 2021  8:22 AM,14 mins 58 secs,26.81,8.33,-2.08,-2.78,-2.08,-2.08,-1.67,-2.08,8.33,-2.08,8.33,8.33,8.33
8,Finished,13 November 2021  8:09 AM,13 November 2021  8:26 AM,17 mins 43 secs,15.97,-2.08,-2.08,-2.78,-2.08,-2.08,8.33,-2.08,-2.08,-2.08,8.33,8.33,8.33
9,Finished,13 November 2021  8:10 AM,13 November 2021  8:47 AM,37 mins 9 secs,68.75,8.33,-2.08,8.33,8.33,8.33,8.33,-2.08,8.33,-2.08,8.33,8.33,8.33
10,Finished,13 November 2021  8:10 AM,13 November 2021  8:37 AM,27 mins 34 secs,17.08,-2.08,8.33,8.33,-2.08,-2.08,-1.67,8.33,-2.08,-2.08,8.33,-2.08,-2.08
11,Finished,13 November 2021  8:17 AM,13 November 2021  8:45 AM,28 mins 19 secs,58.06,-2.08,8.33,-2.78,8.33,8.33,-1.67,-2.08,8.33,8.33,8.33,8.33,8.33
12,Finished,13 November 2021  8:21 AM,13 November 2021  8:41 AM,19 mins 53 secs,37.5,-2.08,8.33,8.33,8.33,-2.08,8.33,8.33,-2.08,-2.08,8.33,-2.08,-2.08
13,Finished,13 November 2021  8:22 AM,13 November 2021  8:43 AM,20 mins 51 secs,26.39,-2.08,-2.08,-2.78,8.33,-2.08,8.33,-2.08,8.33,8.33,-2.08,-2.08,8.33
14,Finished,13 November 2021  8:22 AM,13 November 2021  8:42 AM,20 mins 17 secs,26.39,-2.08,-2.08,-2.78,8.33,-2.08,8.33,-2.08,8.33,8.33,-2.08,-2.08,8.33
15,Finished,13 November 2021  8:22 AM,13 November 2021  8:46 AM,24 mins 11 secs,5.97,-2.08,-2.08,-2.78,-2.08,-2.08,-1.67,8.33,8.33,8.33,-2.08,-2.08,-2.08
16,Finished,13 November 2021  8:22 AM,13 November 2021  8:45 AM,22 mins 50 secs,26.39,-2.08,-2.08,-2.78,8.33,-2.08,8.33,8.33,8.33,8.33,-2.08,-2.08,-2.08
17,Finished,13 November 2021  8:22 AM,13 November 2021  8:56 AM,33 mins 36 secs,37.5,-2.08,8.33,8.33,-2.08,-2.08,8.33,-2.08,-2.08,-2.08,8.33,8.33,8.33
18,Finished,13 November 2021  8:27 AM,13 November 2021  9:06 AM,39 mins 2 secs,79.17,8.33,-2.08,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,-2.08,8.33
19,Finished,13 November 2021  8:33 AM,13 November 2021  9:07 AM,33 mins 23 secs,79.17,-2.08,8.33,8.33,8.33,8.33,8.33,8.33,8.33,-2.08,8.33,8.33,8.33
20,Finished,13 November 2021  8:38 AM,13 November 2021  8:57 AM,19 mins 10 secs,15.97,-2.08,-2.08,-2.78,-2.08,-2.08,8.33,-2.08,-2.08,-2.08,8.33,8.33,8.33
21,Finished,13 November 2021  8:44 AM,13 November 2021  9:15 AM,31 mins 25 secs,26.39,-2.08,-2.08,-2.78,8.33,-2.08,8.33,-2.08,-2.08,-2.08,8.33,8.33,8.33
22,Finished,13 November 2021  8:52 AM,13 November 2021  9:30 AM,37 mins 50 secs,79.17,8.33,8.33,8.33,8.33,8.33,8.33,8.33,-2.08,-2.08,8.33,8.33,8.33
23,Finished,13 November 2021  8:53 AM,13 November 2021  9:33 AM,40 mins 1 sec,79.17,8.33,8.33,8.33,-2.08,8.33,8.33,8.33,8.33,-2.08,8.33,8.33,8.33
24,Finished,13 November 2021  9:15 AM,13 November 2021  9:55 AM,40 mins,68.75,-2.08,-2.08,8.33,8.33,8.33,8.33,-2.08,8.33,8.33,8.33,8.33,8.33
25,Finished,13 November 2021  9:19 AM,13 November 2021  9:23 AM,4 mins 8 secs,47.22,8.33,-2.08,-2.78,8.33,-2.08,8.33,8.33,8.33,-2.08,8.33,-2.08,8.33
26,Finished,13 November 2021  9:33 AM,13 November 2021  10:10 AM,36 mins 53 secs,36.81,-2.08,8.33,-2.78,8.33,-2.08,8.33,-2.08,8.33,-2.08,8.33,-2.08,8.33
27,Finished,13 November 2021  9:42 AM,13 November 2021  10:10 AM,28 mins,89.58,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,-2.08,8.33,8.33,8.33
28,Finished,13 November 2021  9:47 AM,13 November 2021  10:27 AM,40 mins 1 sec,58.33,-2.08,-2.08,8.33,8.33,8.33,8.33,8.33,8.33,-2.08,-2.08,8.33,8.33
29,Finished,13 November 2021  9:51 AM,13 November 2021  10:29 AM,38 mins 29 secs,88.89,8.33,8.33,-2.78,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33
30,Finished,13 November 2021  10:02 AM,13 November 2021  10:10 AM,7 mins 20 secs,6.67,-2.08,-2.08,8.33,-2.08,-2.08,-1.67,-2.08,-2.08,-2.08,8.33,8.33,-2.08
31,Finished,13 November 2021  10:09 AM,13 November 2021  10:25 AM,16 mins 27 secs,16.67,-2.08,-2.08,8.33,-2.08,-2.08,8.33,8.33,8.33,-2.08,-2.08,-2.08,-2.08
32,Finished,13 November 2021  10:11 AM,13 November 2021  10:29 AM,18 mins 12 secs,37.22,8.33,-2.08,-2.78,-2.08,8.33,-1.67,-2.08,8.33,8.33,8.33,-2.08,8.33
33,Finished,13 November 2021  10:22 AM,13 November 2021  10:44 AM,21 mins 56 secs,5.56,-2.08,-2.08,-2.78,-2.08,-2.08,8.33,-2.08,8.33,-2.08,8.33,-2.08,-2.08
34,Finished,13 November 2021  10:31 AM,13 November 2021  10:41 AM,10 mins 4 secs,16.67,-2.08,-2.08,8.33,-2.08,-2.08,8.33,-2.08,8.33,-2.08,-2.08,-2.08,8.33
35,Finished,13 November 2021  10:32 AM,13 November 2021  10:40 AM,7 mins 42 secs,-14.86,-2.08,-2.08,-2.78,-2.08,-2.08,-1.67,-2.08,-2.08,-2.08,8.33,-2.08,-2.08
36,Finished,13 November 2021  10:35 AM,13 November 2021  10:41 AM,5 mins 11 secs,47.92,-2.08,8.33,8.33,-2.08,-2.08,8.33,8.33,8.33,-2.08,8.33,8.33,-2.08
37,Finished,13 November 2021  10:36 AM,13 November 2021  10:44 AM,8 mins 21 secs,16.39,-2.08,-2.08,-2.78,-2.08,8.33,-1.67,8.33,8.33,-2.08,8.33,-2.08,-2.08
38,Finished,13 November 2021  10:36 AM,13 November 2021  10:43 AM,7 mins 3 secs,5.97,-2.08,-2.08,-2.78,8.33,-2.08,-1.67,-2.08,-2.08,-2.08,8.33,-2.08,8.33
39,Finished,13 November 2021  10:41 AM,13 November 2021  11:13 AM,32 mins 57 secs,68.75,-2.08,-2.08,8.33,-2.08,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33
40,Finished,13 November 2021  10:43 AM,13 November 2021  10:52 AM,9 mins 11 secs,16.39,-2.08,-2.08,-2.78,8.33,-2.08,-1.67,-2.08,8.33,8.33,8.33,-2.08,-2.08
41,Finished,13 November 2021  10:44 AM,13 November 2021  10:48 AM,3 mins 43 secs,47.92,-2.08,8.33,8.33,-2.08,-2.08,8.33,8.33,8.33,-2.08,8.33,8.33,-2.08
