Email address,State,Started on,Completed,Time taken,Grade/100.00,Q. 1 /8.33,Q. 2 /8.33,Q. 3 /8.33,Q. 4 /8.33,Q. 5 /8.33,Q. 6 /8.33,Q. 7 /8.33,Q. 8 /8.33,Q. 9 /8.33,Q. 10 /8.33,Q. 11 /8.33,Q. 12 /8.33
2401,Finished,9 November 2021  8:00 AM,9 November 2021  8:28 AM,28 mins 4 secs,18.06,8.33,-2.08,-2.78,8.33,8.33,8.33,-,-2.08,-2.08,-2.08,-2.08,-2.08
4035,Finished,9 November 2021  8:00 AM,9 November 2021  8:24 AM,24 mins 5 secs,68.75,-2.08,8.33,8.33,-2.08,-2.08,8.33,8.33,8.33,8.33,8.33,8.33,8.33
414,Finished,9 November 2021  8:00 AM,9 November 2021  8:31 AM,31 mins 22 secs,89.58,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,-2.08,8.33,8.33,8.33
2905,Finished,9 November 2021  8:00 AM,9 November 2021  8:35 AM,34 mins 50 secs,79.58,8.33,8.33,8.33,8.33,8.33,-1.67,-2.08,8.33,8.33,8.33,8.33,8.33
714,Finished,9 November 2021  8:00 AM,9 November 2021  8:37 AM,36 mins 54 secs,88.89,8.33,8.33,-2.78,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33
2364,Finished,9 November 2021  8:00 AM,9 November 2021  8:35 AM,35 mins 35 secs,68.75,-2.08,8.33,8.33,8.33,8.33,8.33,-2.08,8.33,-2.08,8.33,8.33,8.33
2736,Finished,9 November 2021  8:00 AM,9 November 2021  8:21 AM,20 mins 53 secs,15.97,-2.08,8.33,-2.78,-2.08,-2.08,8.33,8.33,-2.08,-2.08,8.33,-2.08,-2.08
2743,Finished,9 November 2021  8:00 AM,9 November 2021  8:36 AM,36 mins 25 secs,89.58,-2.08,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33
447,Finished,9 November 2021  8:00 AM,9 November 2021  8:33 AM,33 mins 35 secs,57.64,-2.08,8.33,-2.78,8.33,8.33,8.33,8.33,8.33,-2.08,8.33,8.33,-2.08
2233,Finished,9 November 2021  8:00 AM,9 November 2021  8:24 AM,24 mins 34 secs,5.56,-2.08,-2.08,-2.78,-2.08,-2.08,8.33,-2.08,-2.08,8.33,8.33,-2.08,-2.08
3520,Finished,9 November 2021  8:00 AM,9 November 2021  8:35 AM,35 mins 2 secs,68.06,-2.08,8.33,-2.78,8.33,8.33,8.33,8.33,-2.08,8.33,8.33,8.33,8.33
2677,Finished,9 November 2021  8:00 AM,9 November 2021  8:38 AM,38 mins 1 sec,69.17,-2.08,-2.08,8.33,8.33,8.33,-1.67,8.33,8.33,8.33,8.33,8.33,8.33
1950,Finished,9 November 2021  8:00 AM,9 November 2021  8:17 AM,17 mins 18 secs,27.5,-2.08,-2.08,8.33,-2.08,-2.08,-1.67,8.33,8.33,8.33,8.33,-2.08,-2.08
1295,Finished,9 November 2021  8:00 AM,9 November 2021  8:33 AM,33 mins 37 secs,100.0,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33
393,Finished,9 November 2021  8:00 AM,9 November 2021  8:35 AM,35 mins 6 secs,89.58,-2.08,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33
