Email address,State,Started on,Completed,Time taken,Grade/100.00,Q. 1 /12.50,Q. 2 /12.50,Q. 3 /12.50,Q. 4 /12.50,Q. 5 /12.50,Q. 6 /12.50,Q. 7 /12.50,Q. 8 /12.50
0,Finished,9 November 2021  8:00 AM,9 November 2021  8:21 AM,20 mins 31 secs,53.65,12.50,-4.17,12.50,12.50,12.50,-3.13,-1.56,12.50
1,Finished,9 November 2021  8:01 AM,9 November 2021  8:17 AM,16 mins 40 secs,100.0,12.50,12.50,12.50,12.50,12.50,12.50,12.50,12.50
2,Finished,9 November 2021  8:01 AM,9 November 2021  8:14 AM,13 mins 22 secs,100.0,12.50,12.50,12.50,12.50,12.50,12.50,12.50,12.50
3,Finished,9 November 2021  8:02 AM,9 November 2021  8:22 AM,20 mins 23 secs,84.38,12.50,12.50,12.50,-3.13,12.50,12.50,12.50,12.50
4,Finished,9 November 2021  8:02 AM,9 November 2021  8:10 AM,7 mins 47 secs,25.52,12.50,-4.17,12.50,-3.13,12.50,-3.13,-1.56,0.00
5,Finished,9 November 2021  8:02 AM,9 November 2021  8:19 AM,16 mins 39 secs,55.21,12.50,-4.17,12.50,12.50,12.50,-3.13,12.50,0.00
6,Finished,9 November 2021  8:04 AM,9 November 2021  8:12 AM,7 mins 55 secs,55.21,12.50,-4.17,12.50,12.50,12.50,-3.13,12.50,0.00
7,Finished,9 November 2021  8:06 AM,9 November 2021  8:15 AM,8 mins 40 secs,25.52,-3.13,-4.17,-3.13,12.50,12.50,12.50,-1.56,0.00
8,Finished,9 November 2021  8:07 AM,9 November 2021  8:24 AM,17 mins 34 secs,67.71,12.50,-4.17,12.50,12.50,12.50,-3.13,12.50,12.50
9,Finished,9 November 2021  8:07 AM,9 November 2021  8:29 AM,22 mins 5 secs,25.52,12.50,12.50,12.50,-3.13,-4.17,-3.13,-1.56,0.00
10,Finished,9 November 2021  8:08 AM,9 November 2021  8:24 AM,16 mins 41 secs,83.33,12.50,-4.17,12.50,12.50,12.50,12.50,12.50,12.50
11,Finished,9 November 2021  8:08 AM,9 November 2021  8:31 AM,23 mins 35 secs,39.58,12.50,-4.17,12.50,-3.13,12.50,-3.13,12.50,0.00
12,Finished,9 November 2021  8:08 AM,9 November 2021  8:25 AM,17 mins 37 secs,67.71,12.50,-4.17,12.50,-3.13,12.50,12.50,12.50,12.50
13,Finished,9 November 2021  8:08 AM,9 November 2021  8:22 AM,14 mins 33 secs,-7.29,-3.13,-4.17,-3.13,-3.13,12.50,-3.13,-3.13,0.00
14,Finished,9 November 2021  8:08 AM,9 November 2021  8:37 AM,29 mins 14 secs,100.0,12.50,12.50,12.50,12.50,12.50,12.50,12.50,12.50
15,Finished,9 November 2021  8:08 AM,9 November 2021  8:26 AM,18 mins 6 secs,84.38,12.50,12.50,12.50,-3.13,12.50,12.50,12.50,12.50
16,Finished,9 November 2021  8:08 AM,9 November 2021  8:25 AM,17 mins 38 secs,38.54,12.50,-4.17,12.50,12.50,-4.17,12.50,-3.13,0.00
17,Finished,9 November 2021  8:08 AM,9 November 2021  8:24 AM,15 mins 35 secs,23.96,12.50,-4.17,12.50,-3.13,12.50,-3.13,-3.13,0.00
18,Finished,9 November 2021  8:08 AM,9 November 2021  8:24 AM,16 mins,83.33,12.50,-4.17,12.50,12.50,12.50,12.50,12.50,12.50
19,Finished,9 November 2021  8:08 AM,9 November 2021  8:33 AM,24 mins 48 secs,68.75,12.50,12.50,12.50,-3.13,12.50,-3.13,12.50,12.50
20,Finished,9 November 2021  8:09 AM,9 November 2021  8:22 AM,13 mins 33 secs,36.46,-3.13,-4.17,12.50,-3.13,12.50,-3.13,12.50,12.50
21,Finished,9 November 2021  8:09 AM,9 November 2021  8:28 AM,19 mins 4 secs,57.81,12.50,12.50,12.50,12.50,12.50,-3.13,-1.56,0.00
22,Finished,9 November 2021  8:13 AM,9 November 2021  8:17 AM,4 mins 44 secs,55.21,12.50,12.50,12.50,-3.13,-4.17,12.50,12.50,0.00
23,Finished,9 November 2021  8:17 AM,9 November 2021  8:25 AM,8 mins 38 secs,67.71,12.50,-4.17,12.50,12.50,12.50,12.50,-3.13,12.50
24,Finished,9 November 2021  8:18 AM,9 November 2021  8:31 AM,13 mins 16 secs,7.29,12.50,-4.17,12.50,-3.13,-4.17,-3.13,-3.13,0.00
25,Finished,9 November 2021  8:20 AM,9 November 2021  8:33 AM,13 mins 20 secs,100.0,12.50,12.50,12.50,12.50,12.50,12.50,12.50,12.50
26,Finished,9 November 2021  8:23 AM,9 November 2021  8:53 AM,29 mins 37 secs,56.25,12.50,12.50,12.50,-3.13,12.50,-3.13,12.50,0.00
27,Finished,9 November 2021  8:27 AM,9 November 2021  8:40 AM,13 mins 11 secs,70.83,12.50,-4.17,12.50,12.50,12.50,12.50,12.50,0.00
28,Finished,9 November 2021  8:29 AM,9 November 2021  8:59 AM,29 mins 38 secs,53.65,12.50,-4.17,12.50,-3.13,12.50,12.50,-1.56,12.50
29,Finished,9 November 2021  10:01 AM,9 November 2021  10:28 AM,26 mins 59 secs,53.65,12.50,-4.17,12.50,-3.13,12.50,12.50,-1.56,12.50
30,Finished,9 November 2021  10:02 AM,9 November 2021  10:21 AM,19 mins 51 secs,52.08,12.50,-4.17,12.50,-3.13,12.50,-3.13,12.50,12.50
31,Finished,9 November 2021  10:04 AM,9 November 2021  10:19 AM,15 mins 8 secs,100.0,12.50,12.50,12.50,12.50,12.50,12.50,12.50,12.50
32,Finished,9 November 2021  10:04 AM,9 November 2021  10:25 AM,21 mins 28 secs,84.38,12.50,12.50,12.50,12.50,12.50,-3.13,12.50,12.50
33,Finished,9 November 2021  10:10 AM,9 November 2021  10:40 AM,30 mins 1 sec,46.88,12.50,-,-,12.50,12.50,-3.13,12.50,0.00
34,Finished,9 November 2021  10:11 AM,9 November 2021  10:31 AM,20 mins 31 secs,22.92,12.50,-4.17,12.50,-3.13,-4.17,-3.13,12.50,0.00
35,Finished,9 November 2021  10:12 AM,9 November 2021  10:26 AM,14 mins 29 secs,87.5,12.50,12.50,12.50,12.50,12.50,12.50,12.50,0.00
36,Finished,9 November 2021  10:18 AM,9 November 2021  10:39 AM,20 mins 25 secs,83.33,12.50,-4.17,12.50,12.50,12.50,12.50,12.50,12.50
37,Finished,9 November 2021  10:20 AM,9 November 2021  10:40 AM,20 mins 5 secs,55.21,12.50,-4.17,12.50,12.50,12.50,-3.13,12.50,0.00
38,Finished,9 November 2021  10:57 AM,9 November 2021  11:29 AM,31 mins 41 secs,67.71,12.50,-4.17,12.50,12.50,12.50,-3.13,12.50,12.50
39,Finished,9 November 2021  11:19 AM,9 November 2021  11:49 AM,30 mins,62.5,12.50,12.50,-,-,12.50,12.50,12.50,0.00
40,Finished,9 November 2021  11:54 AM,9 November 2021  12:04 PM,9 mins 58 secs,55.21,12.50,-4.17,12.50,-3.13,12.50,12.50,12.50,0.00
41,Finished,9 November 2021  11:56 AM,9 November 2021  12:07 PM,11 mins 15 secs,70.83,12.50,-4.17,12.50,12.50,12.50,12.50,12.50,0.00
42,Finished,9 November 2021  12:01 PM,9 November 2021  12:12 PM,11 mins 8 secs,39.58,12.50,-4.17,12.50,-3.13,12.50,-3.13,12.50,0.00
43,Finished,9 November 2021  12:05 PM,9 November 2021  12:35 PM,30 mins 1 sec,0.0,-,-,-,-,-,-,-,-
