Email address,State,Started on,Completed,Time taken,Grade/100.00,Q. 1 /12.50,Q. 2 /12.50,Q. 3 /12.50,Q. 4 /12.50,Q. 5 /12.50,Q. 6 /12.50,Q. 7 /12.50,Q. 8 /12.50
3597,Finished,13 November 2021  8:02 AM,13 November 2021  8:19 AM,17 mins 1 sec,39.58,12.50,-4.17,12.5,-3.13,12.50,-3.13,12.50,0.00
3598,Finished,13 November 2021  8:22 AM,13 November 2021  8:32 AM,9 mins 29 secs,70.83,12.50,-4.17,12.5,12.50,12.50,12.50,12.50,0.00
3599,Finished,13 November 2021  8:25 AM,13 November 2021  8:54 AM,28 mins 47 secs,22.92,12.50,-4.17,12.5,-3.13,-4.17,-3.13,12.50,0.00
2686,Finished,13 November 2021  8:33 AM,13 November 2021  8:57 AM,23 mins 55 secs,8.33,12.50,-4.17,-3.13,-3.13,12.50,-3.13,-3.13,0.00
3600,Finished,13 November 2021  9:17 AM,13 November 2021  9:35 AM,17 mins 15 secs,71.88,12.50,12.50,12.5,12.50,12.50,-3.13,12.50,0.00
3601,Finished,13 November 2021  9:54 AM,13 November 2021  10:20 AM,25 mins 38 secs,83.33,12.50,-4.17,12.5,12.50,12.50,12.50,12.50,12.50
593,Finished,13 November 2021  10:11 AM,13 November 2021  10:22 AM,11 mins 12 secs,22.92,-3.13,-4.17,12.5,-3.13,-4.17,12.50,12.50,0.00
3602,Finished,13 November 2021  10:48 AM,13 November 2021  11:16 AM,28 mins 30 secs,41.15,12.50,-4.17,12.5,12.50,12.50,-3.13,-1.56,0.00
3603,Finished,13 November 2021  10:56 AM,13 November 2021  11:22 AM,25 mins 40 secs,41.15,12.50,-4.17,12.5,12.50,12.50,-3.13,-1.56,0.00
1342,Finished,13 November 2021  11:03 AM,13 November 2021  11:16 AM,13 mins 5 secs,24.48,12.50,-4.17,-3.13,12.50,-4.17,12.50,-1.56,0.00
2521,Finished,13 November 2021  11:47 AM,13 November 2021  11:55 AM,7 mins 40 secs,39.58,12.50,-4.17,-3.13,12.50,12.50,-3.13,12.50,0.00
3604,Finished,13 November 2021  12:10 PM,13 November 2021  12:40 PM,30 mins 1 sec,60.94,12.50,12.50,12.5,12.50,12.50,-,-1.56,0.00
3605,Finished,13 November 2021  1:30 PM,13 November 2021  2:00 PM,30 mins,12.5,-,-,12.5,-,-,-,-,-
3585,Finished,13 November 2021  1:41 PM,13 November 2021  1:45 PM,4 mins 13 secs,100.0,12.50,12.50,12.5,12.50,12.50,12.50,12.50,12.50
0,Finished,9 November 2021  8:00 AM,9 November 2021  8:09 AM,9 mins 4 secs,5.73,-3.13,-4.17,12.50,-3.13,-4.17,-3.13,-1.56,12.50
1,Finished,9 November 2021  8:00 AM,9 November 2021  8:12 AM,12 mins 36 secs,55.21,12.50,-4.17,12.50,-3.13,12.50,12.50,12.50,0.00
2,Finished,9 November 2021  8:00 AM,9 November 2021  8:09 AM,9 mins 1 sec,22.92,12.50,-4.17,12.50,-3.13,-4.17,-3.13,12.50,0.00
3,Finished,9 November 2021  8:00 AM,9 November 2021  8:23 AM,23 mins 33 secs,100.0,12.50,12.50,12.50,12.50,12.50,12.50,12.50,12.50
4,Finished,9 November 2021  8:00 AM,9 November 2021  8:16 AM,16 mins 5 secs,51.04,12.50,-4.17,12.50,12.50,-4.17,-3.13,12.50,12.50
5,Finished,9 November 2021  8:00 AM,9 November 2021  8:24 AM,24 mins 8 secs,39.58,12.50,-4.17,12.50,-3.13,12.50,-3.13,12.50,0.00
6,Finished,9 November 2021  8:00 AM,9 November 2021  8:18 AM,18 mins 34 secs,70.83,12.50,-4.17,12.50,12.50,12.50,12.50,12.50,0.00
7,Finished,9 November 2021  8:00 AM,9 November 2021  8:30 AM,30 mins 1 sec,-7.29,-,-4.17,-,-,-,-,-3.13,0.00
8,Finished,9 November 2021  8:00 AM,9 November 2021  8:15 AM,15 mins 21 secs,100.0,12.50,12.50,12.50,12.50,12.50,12.50,12.50,12.50
9,Finished,9 November 2021  8:00 AM,9 November 2021  8:27 AM,27 mins 35 secs,40.63,12.50,12.50,12.50,-3.13,12.50,-3.13,-3.13,0.00
10,Finished,9 November 2021  8:00 AM,9 November 2021  8:20 AM,20 mins,22.92,12.50,-4.17,12.50,-3.13,-4.17,-3.13,12.50,0.00
11,Finished,9 November 2021  8:00 AM,9 November 2021  8:30 AM,29 mins 47 secs,71.88,12.50,12.50,12.50,12.50,12.50,-3.13,12.50,0.00
12,Finished,9 November 2021  8:00 AM,9 November 2021  8:21 AM,21 mins 24 secs,7.29,12.50,-4.17,12.50,-3.13,-4.17,-3.13,-3.13,0.00
13,Finished,9 November 2021  8:00 AM,9 November 2021  8:30 AM,29 mins 40 secs,100.0,12.50,12.50,12.50,12.50,12.50,12.50,12.50,12.50
14,Finished,9 November 2021  8:00 AM,9 November 2021  8:12 AM,12 mins,55.21,12.50,-4.17,12.50,12.50,12.50,-3.13,12.50,0.00
15,Finished,9 November 2021  8:00 AM,9 November 2021  8:30 AM,30 mins 1 sec,70.83,12.50,-4.17,12.50,12.50,12.50,12.50,12.50,-
16,Finished,9 November 2021  8:00 AM,9 November 2021  8:30 AM,30 mins,83.33,12.50,-4.17,12.50,12.50,12.50,12.50,12.50,12.50
17,Finished,9 November 2021  8:00 AM,9 November 2021  8:19 AM,18 mins 31 secs,71.88,12.50,12.50,12.50,12.50,12.50,-3.13,12.50,0.00
18,Finished,9 November 2021  8:00 AM,9 November 2021  8:27 AM,26 mins 32 secs,56.25,12.50,12.50,12.50,-3.13,12.50,-3.13,12.50,0.00
19,Finished,9 November 2021  8:00 AM,9 November 2021  8:20 AM,20 mins 1 sec,39.58,12.50,-4.17,12.50,-3.13,12.50,-3.13,12.50,0.00
20,Finished,9 November 2021  8:00 AM,9 November 2021  8:09 AM,9 mins 14 secs,39.58,12.50,-4.17,-3.13,-3.13,12.50,12.50,12.50,0.00
21,Finished,9 November 2021  8:00 AM,9 November 2021  8:20 AM,19 mins 20 secs,70.83,12.50,-4.17,12.50,12.50,12.50,12.50,12.50,0.00
22,Finished,9 November 2021  8:00 AM,9 November 2021  8:17 AM,16 mins 34 secs,67.71,12.50,-4.17,12.50,12.50,12.50,-3.13,12.50,12.50
23,Finished,9 November 2021  8:00 AM,9 November 2021  8:25 AM,25 mins 2 secs,56.25,12.50,12.50,-3.13,12.50,12.50,-3.13,12.50,0.00
24,Finished,9 November 2021  8:00 AM,9 November 2021  8:17 AM,16 mins 27 secs,83.33,12.50,-4.17,12.50,12.50,12.50,12.50,12.50,12.50
25,Finished,9 November 2021  8:00 AM,9 November 2021  8:25 AM,24 mins 37 secs,54.17,12.50,-4.17,12.50,12.50,-4.17,12.50,12.50,0.00
26,Finished,9 November 2021  8:00 AM,9 November 2021  8:26 AM,25 mins 58 secs,13.02,12.50,-4.17,-,-3.13,12.50,-3.13,-1.56,0.00
27,Finished,9 November 2021  8:00 AM,9 November 2021  8:16 AM,15 mins 47 secs,56.77,12.50,-4.17,12.50,12.50,12.50,12.50,-1.56,0.00
28,Finished,9 November 2021  8:00 AM,9 November 2021  8:17 AM,17 mins 7 secs,56.25,12.50,12.50,-3.13,12.50,12.50,-3.13,12.50,0.00
